,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:0e:98,74:da:da:c1:25:e6,74:da:da:c1:25:a1,74:da:da:c1:25:e5,74:da:da:c1:25:69,0c:73:eb:d0:2a:40,0c:73:eb:d0:2a:68,74:da:da:c1:25:9e,74:da:da:c0:d8:7d,0c:73:eb:d0:0e:a8,74:da:da:c1:25:6a,0c:73:eb:d0:0e:a0,74:da:da:c1:3d:35,74:da:da:c1:25:9d,0c:73:eb:d0:0e:b8,74:da:da:c1:25:a2,74:da:da:c0:f3:5a,74:da:da:c1:04:45,74:da:da:c1:25:d9,74:da:da:c1:03:61,0c:73:eb:d0:13:a0,0c:73:eb:d0:2a:30,74:da:da:c0:de:2e,0c:73:eb:d0:2a:60,74:da:da:c0:f3:59,0c:73:eb:d0:0e:90,74:da:da:c0:d8:7e,0c:73:eb:d0:2a:90,74:da:da:c0:de:2d,74:da:da:c1:5e:ed,74:da:da:c1:3d:85,74:da:da:c1:3d:0d,74:da:da:c1:3b:c9,74:da:da:c1:04:49,0c:73:eb:d0:0e:d8,0c:73:eb:d0:0e:b0,74:da:da:c1:04:4e,0c:73:eb:d0:2a:10,74:da:da:c1:03:62,74:da:da:c0:d7:81,74:da:da:c1:25:da,0c:73:eb:d0:2a:88,0c:73:eb:d0:76:50,74:da:da:c0:f3:05,74:da:da:c1:3c:cd,74:da:da:c1:04:46,74:da:da:c1:5e:ee,74:da:da:c1:04:4a,74:da:da:c0:d7:e9,0c:73:eb:d0:0e:c8,74:da:da:c1:4a:6a,0c:73:eb:d0:2a:48,0c:73:eb:d0:76:30,74:da:da:c0:e0:6d,74:da:da:c0:d8:1d,74:da:da:c0:d7:9d,74:da:da:c1:4a:85,74:da:da:98:ea:54,74:da:da:c1:3d:09,0c:73:eb:d0:19:a0,0c:73:eb:d0:19:80,0c:73:eb:d0:76:48,0c:73:eb:d0:76:10,74:da:da:c1:04:4d,74:da:da:c1:4a:69,0c:73:eb:d0:19:b8,74:da:da:c1:3d:36,74:da:da:c0:d7:dd,0c:73:eb:d0:2a:58,74:da:da:c1:3b:79,0c:73:eb:d0:76:28,0c:73:eb:d0:19:88,74:da:da:c0:d8:25,74:da:da:c0:d7:01,c0:61:18:93:3e:54,0c:73:eb:d0:19:c8,74:da:da:c0:d8:05,74:da:da:c1:02:95,74:da:da:c1:3c:8d
1526454306662,-46,-47,-48,-49,-50,-57,-57,-57,-57,-57,-59,-59,-59,-60,-62,-63,-64,-64,-64,-65,-65,-66,-66,-67,-67,-68,-71,-71,-71,-71,-73,-75,-75,-75,-76,-76,-78,-78,-78,-79,-79,-80,-80,-81,-81,-82,-82,-84,-85,-85,-86,-86,-86,-86,-87,-88,-88,-88,-90,-90,-90,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454309695,-60,-52,-47,-44,-53,-47,-58,-64,-55,-52,-66,-62,-71,-58,-65,-59,-67,-64,-200,-71,-51,-71,-58,-62,-67,-68,-67,-65,-53,-78,-83,-75,-82,-75,-76,-80,-85,-81,-78,-76,-77,-80,-80,-76,-81,-82,-82,-84,-85,-74,-86,-86,-200,-86,-200,-85,-86,-88,-90,-200,-90,-200,-93,-67,-78,-85,-86,-87,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454312727,-55,-48,-47,-50,-55,-50,-54,-57,-55,-52,-72,-60,-66,-58,-68,-74,-68,-69,-68,-71,-51,-74,-53,-62,-200,-200,-74,-63,-55,-70,-79,-76,-82,-76,-76,-80,-85,-81,-200,-76,-83,-200,-72,-76,-200,-80,-81,-200,-200,-74,-86,-200,-200,-200,-200,-85,-86,-200,-88,-87,-200,-200,-200,-67,-78,-82,-86,-87,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454315754,-55,-49,-45,-45,-55,-47,-54,-59,-61,-56,-70,-61,-70,-58,-62,-69,-68,-69,-68,-69,-53,-66,-54,-69,-200,-69,-69,-70,-53,-70,-82,-76,-81,-76,-79,-80,-80,-81,-200,-76,-74,-200,-74,-76,-200,-80,-81,-79,-200,-75,-86,-200,-90,-200,-200,-85,-86,-200,-88,-87,-200,-200,-200,-71,-82,-82,-86,-87,-88,-91,-85,-90,-200,-200,-200,-200,-200,-200,-200
1526454318785,-53,-44,-54,-51,-57,-51,-58,-63,-61,-59,-62,-62,-74,-62,-62,-64,-60,-69,-68,-69,-55,-66,-50,-69,-60,-69,-70,-68,-59,-70,-77,-76,-86,-76,-79,-80,-83,-89,-200,-84,-74,-200,-78,-76,-84,-86,-84,-79,-200,-75,-86,-200,-90,-200,-200,-85,-86,-91,-89,-87,-200,-200,-200,-71,-82,-80,-86,-89,-88,-91,-85,-90,-200,-200,-200,-200,-200,-200,-200
1526454321815,-55,-47,-50,-55,-55,-50,-52,-66,-61,-54,-66,-62,-79,-62,-67,-65,-66,-69,-67,-72,-55,-75,-52,-69,-61,-72,-64,-74,-59,-70,-77,-76,-86,-76,-76,-85,-77,-89,-82,-84,-75,-200,-75,-200,-84,-86,-84,-80,-200,-75,-86,-200,-85,-200,-200,-90,-85,-91,-87,-86,-200,-200,-200,-71,-83,-80,-200,-89,-200,-200,-85,-90,-200,-200,-200,-200,-200,-200,-200
1526454324825,-54,-48,-47,-48,-57,-49,-54,-61,-60,-59,-69,-61,-71,-61,-61,-72,-65,-200,-67,-72,-54,-71,-51,-69,-61,-72,-65,-74,-55,-70,-78,-200,-87,-200,-75,-82,-79,-87,-82,-77,-75,-200,-76,-82,-87,-83,-76,-80,-90,-75,-86,-200,-86,-200,-200,-90,-85,-91,-87,-86,-200,-200,-200,-71,-84,-80,-200,-89,-200,-200,-86,-89,-88,-89,-91,-200,-200,-200,-200
1526454327861,-56,-46,-51,-48,-57,-49,-53,-60,-59,-58,-70,-64,-75,-61,-59,-71,-66,-200,-73,-70,-50,-70,-52,-69,-65,-72,-64,-66,-56,-70,-77,-69,-87,-70,-75,-86,-80,-87,-84,-80,-75,-200,-75,-82,-87,-83,-76,-81,-90,-76,-86,-200,-86,-200,-200,-90,-85,-91,-87,-86,-200,-200,-200,-200,-85,-80,-200,-89,-200,-200,-86,-89,-88,-89,-91,-200,-200,-200,-200
1526454330897,-54,-46,-51,-47,-53,-49,-57,-57,-59,-55,-69,-64,-72,-61,-60,-69,-67,-200,-70,-70,-51,-70,-55,-69,-62,-72,-68,-67,-56,-200,-79,-69,-88,-72,-80,-86,-80,-87,-84,-78,-81,-200,-75,-79,-87,-83,-79,-81,-90,-77,-200,-200,-86,-200,-200,-90,-85,-200,-88,-86,-200,-200,-200,-200,-85,-80,-200,-200,-89,-200,-86,-89,-88,-89,-91,-88,-200,-200,-200
