,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:2a:30,74:da:da:c1:04:45,0c:73:eb:d0:2a:60,74:da:da:c1:25:9d,74:da:da:c1:04:4d,74:da:da:c1:25:9e,74:da:da:c1:04:49,74:da:da:c1:04:4a,0c:73:eb:d0:2a:58,74:da:da:c1:25:e5,74:da:da:c1:04:46,0c:73:eb:d0:0e:98,74:da:da:c0:d8:05,74:da:da:c1:02:95,0c:73:eb:d0:2a:88,74:da:da:c1:03:61,74:da:da:c1:04:4e,74:da:da:c1:25:a1,74:da:da:c1:5e:ee,74:da:da:c0:d8:7d,74:da:da:c1:3b:79,0c:73:eb:d0:0e:b8,74:da:da:c1:25:a2,74:da:da:c0:de:2d,74:da:da:c1:5e:ed,0c:73:eb:d0:0e:c0,74:da:da:c1:03:62,74:da:da:c0:d8:59,74:da:da:c0:d7:e9,0c:73:eb:d0:2a:68,0c:73:eb:d0:2a:98,74:da:da:98:8f:34,74:da:da:c1:02:96,0c:73:eb:d0:2a:90,74:da:da:c1:25:69,0c:73:eb:d0:2a:10,0c:73:eb:d0:0e:a8,0c:73:eb:d0:0e:d8,74:da:da:c0:d8:7e,0c:73:eb:d0:2a:40,0c:73:eb:d0:0e:a0,74:da:da:c0:f3:5a,74:da:da:c1:47:cd,74:da:da:c1:3b:7a,74:da:da:c1:3d:09,74:da:da:c1:25:e6,74:da:da:c0:de:2e,0c:73:eb:d0:2a:18,74:da:da:c1:25:d9,74:da:da:c0:f3:59,74:da:da:c1:25:6a,0c:73:eb:d0:76:48,0c:73:eb:d0:0e:90,0c:73:eb:d0:13:a0,74:da:da:c1:3d:85,74:da:da:c0:d7:ed,0c:73:eb:d0:0e:b0,74:da:da:c1:3c:8d,74:da:da:c1:14:99,74:da:da:c1:3b:45,74:da:da:c1:17:75,0c:73:eb:d0:2a:28,74:da:da:98:ea:4c,74:da:da:c0:d8:25,74:da:da:c0:d7:dd,0c:73:eb:d0:2a:38,0c:73:eb:d0:7e:e8,74:da:da:c1:4a:7d,74:da:da:c1:4a:c9,0c:73:eb:d0:19:c8,0c:73:eb:d0:2a:48,0c:73:eb:d0:19:98,74:da:da:c0:d8:1d,0c:73:eb:d0:2a:20,74:da:da:c1:3b:65,74:da:da:c0:f3:05,74:da:da:c0:d7:81,74:da:da:c1:4a:85,74:da:da:c1:3d:05
1526455648224,-34,-37,-38,-39,-42,-45,-45,-47,-49,-50,-53,-53,-54,-55,-56,-56,-57,-57,-58,-58,-59,-60,-60,-60,-61,-62,-64,-65,-65,-66,-66,-66,-68,-68,-68,-69,-69,-70,-71,-72,-72,-73,-74,-75,-75,-76,-76,-76,-76,-78,-79,-80,-80,-83,-83,-83,-83,-84,-84,-85,-85,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455651282,-34,-43,-39,-35,-47,-41,-48,-46,-56,-50,-58,-61,-54,-55,-60,-52,-56,-64,-46,-61,-63,-56,-70,-60,-61,-200,-64,-69,-69,-62,-74,-66,-72,-68,-68,-69,-69,-79,-72,-69,-74,-73,-74,-86,-76,-72,-76,-81,-76,-78,-75,-80,-80,-83,-77,-83,-83,-84,-84,-85,-85,-83,-87,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455654359,-34,-47,-45,-35,-46,-41,-48,-47,-52,-45,-58,-60,-72,-200,-64,-54,-55,-64,-42,-61,-67,-52,-73,-60,-200,-67,-64,-69,-69,-62,-74,-66,-73,-200,-200,-66,-69,-75,-72,-69,-67,-73,-74,-86,-76,-70,-76,-81,-200,-75,-75,-200,-200,-200,-81,-83,-83,-200,-200,-200,-85,-83,-87,-66,-56,-82,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455657430,-32,-45,-43,-37,-45,-40,-47,-47,-53,-40,-58,-63,-72,-58,-64,-54,-54,-69,-42,-65,-65,-48,-73,-60,-200,-62,-63,-72,-71,-64,-66,-66,-72,-200,-200,-66,-69,-75,-72,-55,-67,-73,-84,-89,-76,-70,-76,-80,-78,-73,-75,-78,-200,-200,-78,-83,-83,-200,-200,-200,-85,-81,-87,-69,-52,-82,-93,-80,-89,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455660493,-34,-44,-43,-36,-56,-41,-46,-48,-57,-44,-58,-60,-71,-58,-62,-54,-57,-64,-42,-65,-65,-51,-71,-72,-54,-62,-62,-70,-71,-60,-70,-66,-72,-200,-200,-70,-69,-81,-74,-59,-69,-73,-84,-89,-76,-71,-81,-80,-78,-73,-75,-78,-200,-200,-78,-88,-83,-200,-200,-200,-82,-77,-87,-65,-52,-82,-93,-80,-89,-92,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526455663547,-38,-44,-43,-32,-56,-43,-46,-44,-57,-41,-60,-59,-67,-58,-60,-54,-59,-64,-42,-65,-65,-44,-72,-72,-54,-62,-62,-70,-81,-64,-70,-200,-70,-200,-200,-70,-200,-81,-74,-59,-69,-200,-84,-89,-76,-71,-81,-80,-78,-73,-75,-83,-200,-200,-78,-88,-200,-200,-200,-200,-82,-75,-87,-67,-52,-82,-93,-80,-89,-95,-84,-88,-200,-200,-200,-200,-200,-200,-200
1526455666603,-32,-45,-43,-33,-48,-42,-51,-46,-55,-45,-58,-53,-65,-58,-61,-54,-59,-64,-41,-58,-66,-41,-68,-72,-51,-62,-63,-69,-66,-64,-68,-200,-69,-200,-66,-68,-200,-81,-74,-71,-68,-78,-80,-89,-77,-72,-81,-80,-78,-73,-75,-83,-200,-90,-78,-88,-200,-200,-200,-200,-82,-75,-200,-68,-52,-82,-93,-80,-89,-91,-82,-88,-200,-200,-200,-200,-200,-200,-200
1526455669666,-38,-44,-45,-34,-47,-42,-49,-46,-52,-45,-57,-56,-65,-55,-56,-54,-58,-64,-41,-58,-66,-41,-68,-72,-55,-62,-63,-67,-67,-60,-72,-200,-73,-200,-66,-72,-200,-81,-74,-71,-68,-78,-80,-89,-77,-73,-81,-78,-78,-73,-75,-83,-200,-90,-76,-88,-200,-81,-200,-200,-82,-70,-200,-68,-52,-82,-200,-80,-89,-91,-82,-88,-77,-200,-200,-200,-200,-200,-200
1526455672730,-33,-45,-45,-34,-47,-41,-45,-45,-54,-44,-58,-52,-69,-55,-65,-200,-55,-67,-41,-62,-66,-45,-71,-73,-51,-200,-62,-68,-67,-62,-67,-200,-73,-200,-66,-70,-200,-81,-74,-61,-68,-79,-80,-90,-77,-74,-81,-75,-79,-200,-75,-82,-200,-90,-72,-84,-200,-81,-200,-200,-81,-78,-86,-68,-200,-82,-200,-200,-200,-91,-82,-88,-77,-200,-200,-200,-200,-200,-200
