,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:7c:40,74:da:da:c1:6b:4d,74:da:da:c1:02:8d,d8:15:0d:6c:13:98,0c:73:eb:d0:7c:28,0c:73:eb:d0:11:d8,74:da:da:c1:3a:81,74:da:da:c1:03:2d,0c:73:eb:d0:11:f8,74:da:da:c1:3c:f5,74:da:da:c1:3a:dd,74:da:da:c1:3a:8d,0c:73:eb:d0:7a:68,74:da:da:98:85:4c,0c:73:eb:d0:7e:d0,74:da:da:c0:d7:0d,0c:73:eb:d0:13:b8,0c:73:eb:d0:7f:18,74:da:da:c1:02:8e,74:da:da:c0:f4:69,74:da:da:c1:48:bd,0c:73:eb:d0:7c:00,74:da:da:c1:3a:82,74:da:da:c0:f3:01,0c:73:eb:d0:7f:00,74:da:da:98:91:d4,74:da:da:c1:3a:8e,74:da:da:c0:d7:b9,74:da:da:98:85:60,74:da:da:c1:6b:4e,74:da:da:c1:3a:de,0c:73:eb:d0:13:90,74:da:da:c1:03:1d,74:da:da:c1:48:be,0c:73:eb:d0:7c:08,0c:73:eb:d0:11:c8,0c:73:eb:d0:13:d8,74:da:da:c1:03:2e,74:da:da:c1:3c:f6,0c:73:eb:d0:7f:08,74:da:da:c1:02:91,74:da:da:c0:d7:19,74:da:da:c1:03:21,74:da:da:c0:d7:ba,74:da:da:98:90:94,74:da:da:98:74:34,74:da:da:c1:3c:51,0c:73:eb:d0:11:c0,0c:73:eb:d0:11:e0,74:da:da:c1:3c:55,0c:73:eb:d0:19:90,74:da:da:98:ea:54,0c:73:eb:d0:7e:f8,0c:73:eb:d0:19:c0,74:da:da:98:85:1c,74:da:da:c0:e2:d9,74:da:da:c1:56:a1,74:da:da:c0:f6:15,74:da:da:c1:3c:4d,74:da:da:c1:25:e5,0c:73:eb:d0:13:c8,0c:73:eb:d0:76:28,74:da:da:c0:d7:11,ec:26:ca:0b:d4:1e,74:da:da:c1:56:ed,74:da:da:98:92:14,74:da:da:c1:3c:45,74:da:da:c1:3b:29,74:da:da:c1:25:d9,74:da:da:98:74:80
1526446439970,-34,-42,-43,-45,-50,-56,-59,-59,-61,-62,-64,-65,-67,-68,-69,-69,-71,-72,-73,-73,-73,-74,-74,-74,-75,-75,-76,-76,-76,-77,-77,-77,-78,-80,-80,-80,-82,-82,-82,-82,-83,-84,-84,-85,-85,-86,-86,-87,-87,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446443026,-41,-44,-59,-43,-53,-58,-55,-64,-62,-62,-64,-61,-67,-68,-72,-69,-67,-72,-85,-200,-73,-74,-75,-74,-75,-75,-73,-76,-76,-78,-81,-73,-71,-80,-80,-80,-63,-88,-82,-74,-78,-84,-76,-87,-69,-83,-86,-200,-87,-85,-93,-82,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446446087,-45,-44,-63,-45,-53,-58,-58,-63,-62,-62,-56,-64,-63,-68,-68,-69,-67,-72,-83,-200,-200,-74,-74,-74,-71,-200,-75,-76,-200,-76,-85,-77,-70,-200,-82,-200,-63,-88,-86,-71,-78,-79,-76,-86,-68,-71,-200,-200,-200,-87,-87,-80,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446449139,-41,-44,-65,-39,-50,-58,-61,-59,-59,-62,-56,-61,-64,-72,-69,-69,-67,-75,-83,-200,-200,-74,-76,-74,-71,-200,-72,-76,-77,-77,-81,-77,-71,-200,-84,-67,-57,-84,-90,-74,-74,-75,-76,-86,-68,-71,-200,-200,-200,-87,-87,-80,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446452166,-49,-44,-66,-39,-54,-58,-61,-61,-62,-62,-60,-61,-67,-69,-71,-76,-68,-75,-83,-200,-200,-74,-76,-74,-71,-200,-73,-76,-77,-78,-82,-68,-74,-200,-84,-67,-58,-84,-87,-74,-74,-75,-76,-86,-83,-72,-200,-200,-200,-87,-91,-80,-88,-88,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446455215,-45,-45,-70,-45,-55,-61,-61,-61,-62,-200,-60,-57,-66,-69,-74,-76,-68,-75,-83,-80,-200,-200,-78,-74,-71,-200,-74,-83,-77,-78,-84,-68,-74,-200,-84,-67,-57,-84,-87,-74,-74,-75,-76,-86,-83,-72,-200,-200,-200,-87,-91,-80,-88,-88,-88,-89,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446458229,-44,-45,-64,-39,-51,-60,-62,-61,-62,-200,-56,-61,-67,-70,-71,-76,-67,-74,-83,-84,-200,-200,-76,-200,-73,-200,-73,-82,-77,-77,-82,-77,-74,-88,-84,-71,-63,-84,-87,-75,-77,-70,-200,-86,-69,-77,-200,-200,-200,-85,-91,-80,-200,-88,-88,-89,-88,-83,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446461274,-40,-46,-60,-39,-55,-63,-58,-61,-64,-200,-60,-60,-66,-66,-74,-70,-63,-74,-82,-84,-200,-200,-76,-200,-69,-200,-76,-82,-77,-79,-84,-70,-77,-89,-84,-71,-59,-87,-87,-75,-78,-70,-79,-200,-70,-72,-200,-200,-200,-85,-91,-78,-200,-200,-88,-89,-88,-83,-85,-82,-87,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526446464330,-37,-46,-60,-39,-51,-60,-61,-62,-65,-200,-58,-58,-67,-66,-74,-70,-67,-74,-80,-84,-83,-200,-75,-200,-73,-200,-73,-82,-81,-77,-82,-81,-77,-89,-200,-71,-59,-87,-87,-75,-74,-73,-75,-200,-68,-72,-200,-200,-200,-85,-91,-76,-200,-200,-88,-89,-88,-83,-85,-82,-87,-92,-89,-200,-200,-200,-200,-200,-200,-200
