,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A30,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018
,0c:73:eb:d0:0e:a0,74:da:da:c1:25:da,74:da:da:c1:25:d9,0c:73:eb:d0:2a:40,74:da:da:c1:25:69,0c:73:eb:d0:2a:90,0c:73:eb:d0:0e:c8,74:da:da:c1:25:a1,74:da:da:c1:25:6a,74:da:da:c1:4a:69,74:da:da:c1:4a:85,74:da:da:c1:25:e5,74:da:da:c0:d7:9d,0c:73:eb:d0:0e:a8,74:da:da:c0:f3:59,0c:73:eb:d0:0e:98,74:da:da:c1:25:9d,74:da:da:c1:4a:86,74:da:da:c0:e0:6d,0c:73:eb:d0:76:28,0c:73:eb:d0:76:10,74:da:da:c0:d7:01,74:da:da:c1:25:a2,0c:73:eb:d0:2a:68,74:da:da:c0:f3:5a,74:da:da:98:ea:64,74:da:da:c1:25:e6,0c:73:eb:d0:19:c8,74:da:da:98:ea:54,74:da:da:c0:d8:7e,74:da:da:c0:f3:05,74:da:da:c1:25:9e,74:da:da:c1:4a:6a,74:da:da:c0:de:2e,0c:73:eb:d0:13:a0,0c:73:eb:d0:2a:30,0c:73:eb:d0:19:80,0c:73:eb:d0:0e:d8,74:da:da:c0:d6:ed,0c:73:eb:d0:2a:60,74:da:da:c1:3d:35,74:da:da:c0:d6:f5,0c:73:eb:d0:76:50,0c:73:eb:d0:19:c0,74:da:da:c0:e0:6e,74:da:da:c0:de:2d,74:da:da:c1:04:4e,74:da:da:c1:3c:55,74:da:da:c0:d9:39,74:da:da:c1:3b:19,0c:73:eb:d0:13:c8,74:da:da:c1:04:4d,0c:73:eb:d0:19:a0,0c:73:eb:d0:2a:50,74:da:da:c1:04:45,74:da:da:c1:3d:85,74:da:da:c1:5e:ed,74:da:da:c1:3c:4d,0c:73:eb:d0:19:90,74:da:da:c1:3a:dd,0c:73:eb:d0:0e:b8,0c:73:eb:d0:0e:b0,74:da:da:c0:d8:1d,74:da:da:c0:d8:7d,0c:73:eb:d0:7f:08,74:da:da:98:ea:50,74:da:da:c0:d7:81,0c:73:eb:d0:2a:88,0c:73:eb:d0:13:d8
1526449520163,-28,-34,-36,-39,-39,-41,-51,-51,-53,-55,-55,-55,-56,-56,-57,-58,-58,-59,-59,-60,-62,-67,-69,-69,-70,-70,-73,-73,-74,-75,-75,-75,-77,-77,-78,-78,-81,-81,-82,-84,-84,-84,-86,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449523212,-28,-37,-32,-48,-40,-43,-51,-63,-56,-55,-52,-50,-50,-48,-57,-62,-58,-61,-60,-61,-61,-61,-69,-68,-62,-70,-74,-73,-74,-75,-72,-75,-79,-73,-78,-200,-81,-200,-82,-79,-78,-84,-77,-200,-86,-52,-79,-83,-87,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449526280,-28,-40,-31,-52,-50,-47,-53,-53,-58,-55,-52,-50,-53,-48,-53,-63,-58,-64,-60,-61,-64,-69,-69,-68,-62,-200,-75,-84,-84,-78,-72,-75,-79,-74,-77,-200,-86,-200,-200,-75,-78,-86,-77,-200,-86,-52,-79,-83,-87,-89,-90,-76,-78,-78,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449529322,-28,-37,-33,-46,-43,-48,-53,-52,-56,-55,-64,-50,-54,-46,-53,-62,-73,-63,-60,-61,-60,-63,-69,-63,-61,-200,-75,-84,-84,-76,-72,-75,-79,-73,-77,-83,-86,-200,-200,-75,-78,-86,-77,-200,-86,-52,-79,-83,-87,-89,-90,-77,-81,-78,-85,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449532374,-24,-38,-33,-42,-43,-48,-54,-53,-58,-52,-52,-50,-55,-47,-53,-64,-73,-63,-60,-61,-64,-66,-69,-63,-60,-83,-75,-83,-81,-76,-72,-75,-80,-73,-78,-83,-84,-200,-200,-76,-78,-86,-80,-200,-83,-52,-79,-83,-87,-89,-90,-77,-77,-78,-85,-85,-76,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449535448,-27,-38,-37,-42,-47,-46,-58,-53,-56,-48,-52,-50,-55,-45,-53,-64,-73,-59,-60,-61,-64,-62,-68,-70,-60,-83,-74,-81,-81,-76,-72,-75,-79,-73,-78,-85,-84,-200,-200,-76,-78,-86,-80,-200,-83,-52,-79,-83,-87,-89,-90,-77,-77,-78,-85,-85,-76,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449538499,-25,-37,-39,-45,-47,-46,-54,-61,-54,-48,-54,-50,-53,-45,-53,-67,-68,-59,-60,-200,-65,-70,-72,-69,-61,-83,-74,-83,-81,-77,-200,-75,-81,-75,-78,-85,-84,-200,-200,-72,-81,-85,-80,-200,-85,-64,-200,-200,-200,-89,-200,-77,-75,-78,-85,-85,-76,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449541539,-23,-35,-38,-48,-39,-44,-52,-61,-55,-48,-46,-63,-73,-43,-200,-68,-68,-62,-200,-200,-69,-67,-72,-65,-62,-81,-77,-83,-81,-77,-200,-75,-77,-75,-82,-77,-84,-200,-200,-76,-81,-85,-78,-200,-85,-64,-200,-200,-200,-200,-200,-77,-77,-200,-83,-85,-76,-80,-82,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449544607,-24,-36,-37,-40,-38,-43,-51,-51,-55,-51,-44,-63,-56,-53,-59,-71,-72,-65,-200,-57,-69,-67,-71,-65,-62,-81,-77,-83,-81,-77,-200,-75,-81,-77,-82,-82,-86,-83,-200,-76,-80,-85,-76,-200,-85,-64,-200,-200,-200,-200,-200,-89,-81,-200,-83,-85,-76,-80,-82,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
