,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,DLINK_D02A58,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,WHU-2018
,74:da:da:c1:04:45,74:da:da:c1:04:4a,0c:73:eb:d0:2a:30,74:da:da:c1:04:49,74:da:da:c1:04:46,74:da:da:c1:25:9d,0c:73:eb:d0:2a:60,74:da:da:c1:25:9e,74:da:da:c1:02:95,74:da:da:c1:04:4e,0c:73:eb:d0:0e:98,0c:73:eb:d0:2a:58,0c:73:eb:d0:0e:b8,74:da:da:c0:d8:05,74:da:da:c1:04:4d,0c:73:eb:d0:2a:88,74:da:da:c1:02:96,74:da:da:c1:3b:79,74:da:da:c1:5e:ee,74:da:da:c1:25:a1,74:da:da:c0:d8:59,74:da:da:c1:5e:ed,74:da:da:c0:de:2d,74:da:da:c0:d8:7d,74:da:da:c1:25:a2,74:da:da:c1:47:cd,74:da:da:98:8f:34,0c:73:eb:d0:2a:68,0c:73:eb:d0:0e:a8,74:da:da:c1:03:61,74:da:da:c1:03:62,74:da:da:c0:d8:7e,74:da:da:c1:25:e6,0c:73:eb:d0:2a:98,0c:73:eb:d0:0e:a0,0c:73:eb:d0:2a:10,74:da:da:c0:d7:ed,0c:73:eb:d0:2a:40,0c:73:eb:d0:0e:d8,0c:73:eb:d0:2a:48,74:da:da:c0:de:2e,74:da:da:c1:25:6a,74:da:da:98:ea:4c,74:da:da:c1:25:69,0c:73:eb:d0:19:a8,0c:73:eb:d0:76:48,74:da:da:c0:f3:59,74:da:da:c1:17:75,0c:73:eb:d0:2a:28,0c:73:eb:d0:0e:c0,0c:73:eb:d0:13:a0,74:da:da:c1:3d:09,74:da:da:c1:4a:c9,74:da:da:c1:3b:7a,74:da:da:c1:3c:99,0c:73:eb:d0:0e:d0,74:da:da:c1:3d:85,0c:73:eb:d0:2a:18,74:da:da:c1:3b:45,0c:73:eb:d0:7e:e8,74:da:da:c1:14:99,74:da:da:c0:f3:5a,74:da:da:c1:3c:8d,74:da:da:c0:d7:09,74:da:da:c0:d8:25,74:da:da:98:db:44,74:da:da:c0:f3:05,74:da:da:c1:3b:9d,74:da:da:c1:4a:a5,74:da:da:c0:d7:e9,74:da:da:c1:25:d9,74:da:da:c1:3d:05,0c:73:eb:d0:2a:20,74:da:da:c1:25:e5,74:da:da:c1:4a:7d,0c:73:eb:d0:2a:38,0c:73:eb:d0:2a:90
1526455265943,-29,-35,-38,-40,-45,-49,-49,-51,-51,-52,-52,-53,-54,-54,-55,-61,-62,-62,-64,-64,-65,-65,-67,-68,-69,-69,-69,-70,-70,-71,-72,-74,-75,-75,-75,-76,-77,-78,-78,-78,-80,-81,-81,-81,-81,-82,-82,-82,-82,-83,-85,-85,-85,-86,-86,-86,-86,-87,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455268971,-33,-35,-42,-34,-52,-47,-56,-54,-48,-53,-58,-57,-51,-62,-48,-57,-66,-70,-67,-64,-52,-65,-63,-68,-60,-69,-69,-72,-70,-64,-65,-74,-75,-67,-79,-77,-77,-78,-78,-75,-78,-81,-81,-81,-81,-85,-80,-82,-82,-83,-85,-85,-85,-86,-86,-86,-86,-87,-90,-93,-75,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455272002,-35,-35,-42,-38,-53,-47,-52,-55,-45,-53,-58,-58,-48,-64,-50,-56,-67,-72,-67,-200,-47,-200,-63,-200,-59,-68,-69,-73,-70,-64,-63,-74,-75,-63,-79,-76,-200,-65,-80,-75,-77,-200,-71,-81,-81,-85,-80,-82,-200,-83,-87,-81,-85,-86,-200,-200,-86,-87,-200,-200,-77,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455275030,-35,-37,-43,-38,-56,-52,-53,-55,-46,-53,-57,-55,-51,-64,-50,-61,-65,-72,-66,-200,-47,-62,-63,-200,-59,-68,-69,-73,-84,-64,-63,-75,-76,-62,-79,-75,-77,-65,-80,-75,-77,-200,-71,-64,-81,-85,-77,-82,-200,-83,-87,-80,-85,-91,-200,-87,-85,-87,-200,-200,-77,-80,-87,-82,-86,-88,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455278069,-35,-38,-43,-38,-54,-52,-61,-57,-44,-53,-61,-55,-49,-64,-47,-58,-63,-72,-66,-200,-47,-62,-64,-69,-59,-63,-69,-74,-84,-59,-63,-75,-75,-72,-79,-78,-74,-65,-82,-75,-78,-200,-71,-64,-81,-85,-77,-82,-200,-83,-85,-81,-85,-91,-200,-87,-85,-80,-89,-200,-85,-80,-86,-82,-86,-88,-93,-82,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526455281129,-37,-37,-44,-34,-55,-49,-57,-59,-44,-53,-58,-57,-52,-64,-44,-58,-62,-69,-65,-200,-49,-62,-64,-69,-59,-63,-200,-74,-84,-59,-64,-76,-76,-72,-79,-78,-74,-65,-82,-75,-78,-200,-71,-64,-200,-85,-77,-82,-200,-200,-85,-81,-200,-90,-200,-87,-85,-80,-89,-200,-85,-79,-86,-82,-86,-88,-93,-82,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526455284230,-37,-37,-46,-36,-53,-57,-57,-60,-46,-53,-58,-57,-52,-65,-49,-58,-62,-69,-65,-200,-47,-62,-64,-69,-59,-64,-200,-69,-84,-65,-64,-75,-76,-64,-200,-79,-76,-65,-80,-78,-79,-80,-71,-67,-200,-85,-77,-82,-200,-200,-85,-81,-85,-90,-200,-87,-85,-80,-88,-200,-75,-79,-86,-82,-86,-88,-93,-82,-83,-71,-73,-88,-200,-200,-200,-200,-200
1526455287273,-37,-37,-44,-36,-56,-59,-59,-60,-48,-52,-58,-57,-49,-64,-49,-58,-63,-69,-65,-86,-45,-66,-66,-69,-59,-64,-200,-73,-84,-63,-64,-78,-76,-63,-80,-79,-72,-70,-80,-78,-78,-80,-71,-67,-200,-81,-77,-83,-200,-200,-85,-81,-85,-90,-200,-83,-85,-80,-88,-200,-75,-79,-86,-82,-86,-88,-93,-82,-83,-74,-73,-88,-85,-200,-200,-200,-200
1526455290313,-36,-36,-41,-36,-53,-59,-58,-60,-44,-52,-55,-60,-56,-66,-46,-58,-63,-75,-65,-86,-48,-66,-66,-69,-59,-64,-200,-69,-200,-63,-64,-77,-75,-75,-80,-79,-72,-71,-80,-78,-78,-80,-71,-67,-200,-81,-77,-82,-88,-200,-82,-83,-85,-88,-200,-83,-200,-80,-88,-200,-78,-79,-85,-82,-200,-88,-200,-83,-83,-74,-72,-88,-82,-200,-200,-200,-200
