,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98
,0c:73:eb:d0:2a:68,74:da:da:c0:de:2e,74:da:da:c0:d8:7e,74:da:da:c0:de:2d,74:da:da:c1:5e:ed,0c:73:eb:d0:0e:b0,74:da:da:c0:d8:7d,0c:73:eb:d0:0e:a8,0c:73:eb:d0:0e:98,74:da:da:c1:25:a2,74:da:da:c1:25:a1,74:da:da:c0:f3:5a,0c:73:eb:d0:2a:60,0c:73:eb:d0:2a:40,74:da:da:c1:03:61,0c:73:eb:d0:0e:b8,74:da:da:c1:3d:05,74:da:da:c1:3d:0d,74:da:da:c0:f3:59,74:da:da:c1:25:9d,74:da:da:c1:03:62,74:da:da:c1:25:9e,74:da:da:c1:25:e5,0c:73:eb:d0:0e:a0,74:da:da:c1:5e:ee,74:da:da:c1:3b:79,0c:73:eb:d0:0e:d8,0c:73:eb:d0:2a:30,74:da:da:c0:d7:81,74:da:da:c0:f3:05,74:da:da:c1:04:4e,0c:73:eb:d0:2a:90,74:da:da:c1:25:e6,74:da:da:c1:25:6a,74:da:da:c1:25:69,0c:73:eb:d0:0e:90,0c:73:eb:d0:2a:88,74:da:da:c1:3b:69,0c:73:eb:d0:2a:18,74:da:da:c1:04:4a,74:da:da:c0:d8:25,0c:73:eb:d0:13:a0,0c:73:eb:d0:0e:c8,0c:73:eb:d0:76:38,74:da:da:c1:02:95,74:da:da:c0:e0:6d,74:da:da:c1:25:da,74:da:da:c1:3d:35,0c:73:eb:d0:76:50,74:da:da:c1:3d:09,74:da:da:c1:4a:69,0c:73:eb:d0:2a:58,74:da:da:c0:d7:e9,74:da:da:c1:3b:19,0c:73:eb:d0:19:c8,74:da:da:c1:3b:45,0c:73:eb:d0:2a:10,74:da:da:c1:3b:85,74:da:da:c1:3d:85,74:da:da:c1:47:cd,74:da:da:c1:04:46,74:da:da:c1:4a:86,74:da:da:c1:25:d9,74:da:da:c0:d7:c5,74:da:da:c1:02:96,74:da:da:98:ea:64,74:da:da:98:ea:54,74:da:da:c1:04:4d,74:da:da:c0:d7:9d,74:da:da:98:ea:5c,0c:73:eb:d0:19:b8,74:da:da:c1:3b:c9,74:da:da:c1:04:49,74:da:da:c0:d8:3d,0c:73:eb:d0:76:30,74:da:da:c0:d8:59,74:da:da:c1:04:45,74:da:da:c0:d8:1d,0c:73:eb:d0:2a:98
1526452853457,-21,-34,-36,-43,-46,-47,-47,-48,-48,-49,-50,-52,-52,-53,-53,-54,-55,-56,-59,-61,-62,-64,-64,-65,-66,-67,-68,-69,-70,-70,-71,-71,-72,-74,-75,-76,-77,-77,-77,-77,-77,-78,-78,-78,-78,-78,-78,-80,-81,-83,-83,-83,-84,-84,-86,-86,-86,-86,-86,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452856516,-33,-32,-43,-42,-50,-58,-47,-39,-51,-41,-46,-53,-54,-65,-52,-45,-64,-63,-53,-61,-62,-65,-48,-61,-65,-67,-76,-73,-70,-74,-66,-87,-64,-66,-75,-200,-79,-88,-77,-77,-86,-78,-78,-78,-78,-78,-77,-75,-73,-83,-83,-83,-81,-84,-86,-86,-86,-86,-86,-87,-87,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452859545,-33,-32,-45,-39,-49,-56,-46,-35,-51,-41,-43,-55,-58,-66,-46,-46,-63,-63,-46,-200,-63,-66,-48,-58,-65,-67,-69,-74,-68,-73,-66,-67,-62,-66,-200,-200,-80,-90,-77,-77,-86,-78,-77,-85,-200,-200,-75,-74,-70,-83,-200,-83,-81,-200,-200,-86,-200,-200,-81,-87,-87,-81,-61,-78,-82,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452862594,-35,-34,-44,-38,-49,-56,-48,-37,-53,-39,-47,-52,-55,-50,-46,-47,-64,-60,-46,-200,-63,-66,-48,-60,-65,-67,-73,-77,-68,-73,-67,-67,-62,-66,-200,-200,-80,-90,-77,-77,-86,-77,-78,-83,-200,-200,-75,-74,-69,-83,-200,-83,-81,-200,-200,-87,-200,-200,-81,-87,-87,-81,-61,-78,-82,-91,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452865623,-34,-29,-45,-42,-46,-64,-47,-36,-51,-37,-47,-52,-55,-50,-45,-64,-64,-60,-46,-200,-62,-67,-48,-60,-61,-67,-73,-74,-68,-73,-67,-73,-64,-64,-65,-200,-73,-84,-77,-77,-86,-77,-78,-83,-77,-200,-75,-74,-73,-83,-200,-83,-82,-200,-200,-87,-200,-200,-81,-87,-90,-81,-61,-78,-82,-91,-88,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452868641,-34,-32,-44,-43,-47,-60,-44,-36,-57,-39,-46,-54,-60,-56,-46,-51,-64,-60,-48,-200,-65,-67,-48,-60,-66,-200,-73,-73,-68,-73,-68,-73,-67,-65,-65,-200,-73,-84,-200,-82,-86,-77,-78,-83,-77,-200,-81,-79,-69,-200,-200,-200,-82,-200,-200,-87,-200,-200,-87,-86,-92,-81,-61,-78,-82,-91,-88,-71,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452871681,-30,-30,-44,-43,-46,-60,-42,-41,-54,-39,-44,-50,-60,-63,-46,-53,-73,-61,-48,-200,-63,-66,-45,-60,-64,-200,-69,-68,-74,-79,-64,-68,-66,-64,-65,-200,-73,-87,-88,-79,-200,-77,-82,-83,-77,-200,-81,-71,-66,-200,-200,-200,-81,-200,-200,-87,-200,-200,-80,-85,-92,-200,-61,-87,-78,-91,-88,-71,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452874718,-32,-30,-46,-40,-48,-60,-45,-39,-56,-40,-44,-50,-56,-69,-45,-48,-69,-61,-49,-200,-63,-65,-45,-65,-63,-78,-69,-69,-72,-79,-63,-68,-67,-64,-57,-200,-74,-87,-88,-79,-200,-88,-82,-83,-77,-200,-81,-71,-67,-200,-200,-200,-80,-93,-87,-87,-200,-200,-79,-85,-92,-200,-88,-87,-78,-200,-88,-71,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452877792,-33,-30,-46,-43,-48,-61,-45,-34,-52,-40,-45,-50,-56,-61,-48,-48,-70,-64,-49,-200,-61,-65,-47,-65,-63,-74,-69,-72,-71,-80,-63,-62,-67,-64,-55,-200,-74,-87,-79,-79,-200,-83,-80,-200,-77,-200,-81,-69,-67,-200,-200,-200,-80,-93,-87,-200,-200,-200,-78,-85,-92,-200,-88,-87,-78,-200,-88,-71,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
