,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,DLINK_D02A88,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c1:04:4a,74:da:da:c1:04:49,0c:73:eb:d0:2a:30,74:da:da:c1:25:9d,74:da:da:c1:04:4d,74:da:da:c1:04:46,74:da:da:c1:04:45,0c:73:eb:d0:0e:b8,0c:73:eb:d0:2a:98,74:da:da:c1:02:95,74:da:da:c1:04:4e,0c:73:eb:d0:2a:60,0c:73:eb:d0:2a:88,0c:73:eb:d0:0e:98,74:da:da:c1:25:9e,0c:73:eb:d0:2a:58,74:da:da:c0:d8:05,74:da:da:c1:02:96,74:da:da:c0:d8:59,74:da:da:c1:5e:ed,74:da:da:c1:47:cd,74:da:da:c1:25:a2,74:da:da:c1:5e:ee,74:da:da:c1:03:61,74:da:da:c0:de:2d,0c:73:eb:d0:0e:c0,74:da:da:c0:d8:7d,74:da:da:c1:03:62,0c:73:eb:d0:2a:68,74:da:da:c1:25:a1,0c:73:eb:d0:2a:40,0c:73:eb:d0:2a:28,74:da:da:c1:25:e6,74:da:da:c0:d7:e9,74:da:da:c0:d7:ed,74:da:da:c0:d8:7e,74:da:da:c1:25:d9,0c:73:eb:d0:19:a8,0c:73:eb:d0:2a:48,0c:73:eb:d0:0e:d8,74:da:da:c1:17:75,74:da:da:c0:f3:5a,74:da:da:c1:3b:79,0c:73:eb:d0:2a:10,74:da:da:c1:14:99,74:da:da:c0:de:2e,0c:73:eb:d0:0e:a0,74:da:da:c1:3d:09,74:da:da:c1:25:69,74:da:da:c0:f3:59,74:da:da:98:ea:4c,74:da:da:c0:d7:81,0c:73:eb:d0:2a:38,74:da:da:c0:d7:09,0c:73:eb:d0:2a:18,0c:73:eb:d0:0e:a8,74:da:da:c1:4a:7d,0c:73:eb:d0:0e:d0,74:da:da:c1:4a:c9,0c:73:eb:d0:76:48,0c:73:eb:d0:13:a0,74:da:da:c1:3b:9d,0c:73:eb:d0:2a:20,74:da:da:c1:3b:7a,74:da:da:c1:3b:45,74:da:da:c1:4a:a5,74:da:da:98:db:44,74:da:da:c1:3d:0d,74:da:da:c1:25:e5,0c:73:eb:d0:2a:90,74:da:da:c1:25:6a,74:da:da:c1:3d:85,0c:73:eb:d0:0e:90,74:da:da:c0:f3:05
1526455418247,-32,-35,-39,-41,-41,-48,-48,-53,-53,-54,-55,-55,-55,-57,-59,-60,-60,-63,-63,-63,-64,-65,-66,-66,-66,-67,-70,-72,-72,-72,-73,-74,-75,-75,-75,-77,-78,-78,-79,-79,-79,-79,-80,-80,-80,-80,-81,-81,-81,-82,-82,-83,-84,-84,-84,-85,-85,-85,-85,-86,-86,-87,-87,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455421263,-38,-36,-43,-53,-57,-52,-43,-56,-56,-49,-55,-56,-51,-57,-56,-54,-65,-63,-65,-63,-60,-69,-68,-62,-64,-67,-70,-75,-72,-72,-73,-79,-78,-79,-75,-79,-85,-78,-72,-79,-77,-79,-68,-79,-76,-82,-81,-81,-68,-82,-78,-83,-84,-84,-84,-90,-85,-85,-76,-86,-86,-87,-87,-89,-89,-70,-88,-91,-200,-200,-200,-200,-200,-200
1526455424312,-38,-34,-39,-50,-48,-52,-43,-58,-52,-53,-55,-55,-48,-58,-54,-55,-65,-62,-65,-66,-62,-68,-67,-63,-64,-68,-70,-74,-72,-200,-85,-79,-80,-79,-75,-78,-85,-200,-72,-79,-75,-200,-68,-79,-76,-82,-81,-81,-68,-82,-75,-83,-86,-200,-77,-90,-85,-82,-76,-84,-86,-200,-83,-89,-200,-70,-88,-91,-55,-70,-200,-200,-200,-200
1526455427351,-44,-35,-40,-54,-48,-51,-44,-60,-56,-53,-59,-52,-46,-58,-53,-55,-69,-62,-65,-66,-60,-69,-67,-63,-64,-68,-70,-73,-73,-200,-85,-86,-80,-79,-72,-80,-85,-200,-72,-79,-75,-200,-65,-80,-73,-82,-81,-83,-68,-82,-72,-83,-86,-200,-84,-90,-85,-78,-76,-84,-86,-200,-83,-86,-200,-70,-88,-91,-51,-70,-200,-200,-200,-200
1526455430398,-40,-36,-37,-51,-44,-54,-41,-55,-53,-55,-60,-55,-50,-58,-53,-55,-70,-62,-76,-66,-60,-67,-67,-63,-64,-68,-70,-72,-75,-200,-85,-84,-80,-79,-73,-78,-79,-200,-71,-79,-76,-200,-65,-77,-76,-82,-81,-83,-68,-82,-77,-83,-86,-86,-84,-90,-83,-77,-76,-85,-86,-200,-83,-86,-200,-70,-88,-91,-51,-70,-200,-200,-200,-200
1526455433466,-42,-35,-41,-51,-44,-57,-39,-55,-53,-55,-58,-55,-50,-58,-55,-55,-70,-62,-76,-66,-64,-70,-69,-63,-64,-63,-70,-74,-75,-200,-85,-84,-81,-79,-73,-78,-79,-200,-75,-79,-76,-200,-65,-77,-76,-82,-74,-83,-71,-200,-77,-200,-86,-86,-84,-90,-83,-77,-76,-85,-200,-200,-82,-86,-200,-70,-88,-91,-51,-70,-200,-200,-200,-200
1526455436515,-38,-36,-37,-60,-52,-56,-41,-55,-52,-55,-58,-58,-47,-59,-51,-61,-63,-63,-66,-66,-62,-70,-70,-66,-65,-63,-200,-72,-75,-66,-82,-80,-81,-88,-71,-78,-79,-200,-75,-84,-77,-200,-65,-83,-76,-200,-74,-83,-68,-200,-77,-200,-86,-86,-84,-78,-83,-87,-78,-85,-200,-200,-80,-86,-200,-69,-200,-200,-51,-71,-79,-200,-200,-200
1526455439591,-38,-34,-42,-50,-47,-57,-42,-51,-52,-46,-55,-57,-51,-58,-52,-59,-65,-62,-66,-68,-62,-68,-66,-66,-65,-63,-77,-73,-75,-66,-78,-80,-81,-88,-71,-74,-79,-200,-77,-80,-83,-200,-69,-78,-75,-200,-74,-83,-66,-200,-73,-200,-77,-78,-84,-78,-83,-86,-78,-85,-88,-200,-80,-86,-200,-72,-200,-200,-51,-71,-79,-200,-200,-200
1526455442647,-41,-42,-37,-49,-40,-57,-46,-55,-54,-54,-57,-54,-51,-63,-54,-55,-59,-63,-64,-68,-62,-72,-66,-64,-66,-65,-77,-77,-71,-66,-72,-78,-84,-70,-83,-76,-79,-200,-77,-77,-83,-200,-69,-73,-81,-200,-74,-200,-66,-200,-81,-200,-77,-78,-200,-78,-83,-86,-78,-83,-88,-200,-80,-87,-200,-72,-200,-200,-200,-69,-79,-200,-200,-200
