,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:6B,78:A5:04:41:E9:CC,78:A5:04:41:E9:CD,78:A5:04:41:E9:AB,78:A5:04:41:EB:C3,78:A5:04:41:E9:D5,78:A5:04:41:E7:D4,78:A5:04:41:EB:BA,78:A5:04:41:E9:FD,78:A5:04:41:E9:DA,78:A5:04:41:E9:B4,78:A5:04:41:EE:06,78:A5:04:41:EB:9C
1526455525964,-84,-89,-87,-82,-65,-95,-200,-200,-200,-200,-200,-200,-200
1526455526065,-85,-87,-85,-200,-65,-200,-84,-80,-200,-200,-200,-200,-200
1526455526197,-200,-87,-86,-82,-67,-200,-81,-200,-90,-90,-88,-200,-200
1526455526299,-89,-87,-91,-84,-65,-200,-78,-78,-200,-200,-200,-200,-200
1526455530993,-90,-200,-200,-84,-64,-200,-78,-78,-200,-200,-200,-200,-200
1526455531103,-89,-200,-92,-84,-65,-200,-79,-78,-200,-200,-200,-200,-200
1526455531195,-89,-200,-200,-200,-65,-200,-78,-200,-200,-200,-200,-200,-200
1526455535925,-200,-200,-200,-76,-64,-200,-82,-89,-200,-86,-81,-89,-200
1526455536045,-200,-200,-88,-76,-63,-200,-81,-200,-200,-200,-200,-200,-200
1526455536235,-200,-200,-200,-80,-64,-200,-82,-200,-200,-85,-82,-200,-200
1526455540892,-83,-87,-200,-80,-200,-200,-200,-200,-200,-200,-87,-200,-200
1526455540987,-84,-200,-87,-200,-65,-200,-86,-77,-200,-200,-87,-200,-200
1526455541091,-200,-87,-200,-80,-200,-200,-85,-200,-200,-200,-86,-200,-200
1526455541204,-200,-87,-86,-200,-64,-200,-200,-200,-200,-200,-87,-200,-200
1526455541299,-200,-87,-86,-200,-200,-200,-200,-77,-200,-91,-87,-200,-200
1526455545912,-200,-200,-92,-200,-65,-200,-78,-77,-200,-200,-200,-200,-200
1526455546024,-200,-200,-92,-200,-65,-200,-200,-77,-200,-200,-200,-200,-200
1526455546122,-200,-200,-90,-84,-200,-200,-78,-77,-200,-200,-200,-200,-200
1526455550947,-88,-200,-200,-83,-64,-200,-78,-200,-200,-200,-200,-200,-200
1526455551048,-200,-200,-92,-84,-65,-200,-78,-79,-200,-200,-200,-200,-200
1526455551250,-90,-200,-200,-85,-65,-200,-78,-78,-200,-200,-200,-200,-200
1526455551356,-200,-200,-89,-84,-65,-200,-78,-200,-86,-84,-200,-200,-200
1526455555944,-200,-200,-200,-76,-63,-200,-200,-200,-200,-84,-200,-200,-200
1526455556061,-200,-200,-200,-76,-64,-200,-200,-200,-87,-200,-200,-200,-200
1526455556168,-200,-200,-90,-76,-64,-200,-82,-200,-87,-85,-81,-200,-200
1526455556346,-84,-87,-85,-200,-65,-200,-86,-87,-200,-200,-81,-200,-200
1526455561074,-200,-200,-86,-80,-64,-200,-86,-77,-90,-90,-200,-200,-200
1526455561178,-83,-200,-200,-200,-64,-200,-86,-77,-92,-200,-200,-200,-200
1526455561287,-89,-200,-200,-200,-65,-200,-200,-77,-200,-200,-200,-200,-200
1526455565894,-200,-200,-200,-84,-200,-200,-200,-78,-200,-200,-200,-200,-200
1526455565989,-89,-200,-200,-84,-65,-200,-200,-78,-200,-200,-200,-200,-200
1526455566107,-89,-200,-200,-200,-65,-200,-200,-78,-200,-200,-200,-200,-200
1526455566207,-89,-200,-200,-84,-65,-200,-78,-79,-200,-200,-200,-200,-200
1526455566318,-200,-200,-200,-76,-64,-200,-200,-78,-87,-200,-81,-200,-92
1526455570973,-200,-200,-200,-200,-64,-200,-200,-200,-87,-200,-82,-200,-200
1526455571134,-200,-200,-89,-76,-64,-200,-200,-200,-200,-200,-200,-88,-200
1526455571231,-200,-200,-85,-200,-64,-200,-86,-200,-87,-200,-81,-200,-200
1526455575902,-84,-200,-86,-200,-65,-200,-86,-77,-200,-93,-86,-200,-200
1526455576022,-84,-200,-85,-200,-65,-200,-86,-200,-200,-200,-86,-200,-200
1526455576187,-200,-200,-200,-200,-64,-200,-86,-200,-200,-200,-90,-200,-200
1526455576423,-84,-200,-86,-84,-65,-200,-77,-78,-200,-200,-88,-200,-200
1526455581016,-90,-200,-92,-200,-200,-200,-78,-78,-200,-200,-200,-200,-200
1526455581121,-89,-200,-92,-84,-200,-200,-78,-78,-200,-200,-200,-200,-200
1526455581257,-200,-200,-89,-200,-200,-200,-200,-78,-200,-83,-200,-89,-200
1526455585918,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-93
1526455586029,-200,-200,-86,-200,-200,-200,-200,-82,-200,-84,-81,-91,-200
