,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:CC,78:A5:04:41:E9:FD,78:A5:04:41:E7:D4,78:A5:04:41:EB:9C,78:A5:04:41:E9:D5,78:A5:04:41:EB:C3,78:A5:04:41:E9:DA,78:A5:04:41:EE:06,78:A5:04:41:E9:B4,78:A5:04:41:EB:BA,78:A5:04:41:E5:6B,78:A5:04:41:E9:AB,78:A5:04:41:E9:CD,78:A5:04:41:E7:80,78:A5:04:41:EB:97,78:A5:04:41:EE:17,78:A5:04:41:EB:8B
1526455921005,-85,-86,-69,-87,-92,-76,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455921121,-84,-200,-87,-200,-200,-200,-200,-80,-88,-65,-89,-200,-200,-200,-200,-200,-200
1526455921230,-84,-200,-68,-86,-200,-78,-200,-82,-92,-62,-84,-82,-200,-200,-200,-200,-200
1526455921341,-86,-200,-66,-200,-200,-68,-200,-200,-200,-69,-200,-200,-78,-200,-200,-200,-200
1526455925964,-200,-83,-78,-200,-200,-68,-200,-200,-200,-68,-77,-200,-77,-200,-200,-200,-200
1526455926065,-87,-82,-78,-85,-200,-67,-200,-200,-77,-67,-200,-82,-200,-92,-200,-200,-200
1526455926167,-200,-83,-79,-86,-200,-200,-200,-84,-78,-67,-77,-200,-200,-200,-200,-200,-200
1526455926346,-85,-87,-73,-87,-200,-65,-84,-200,-200,-68,-77,-86,-75,-200,-86,-200,-200
1526455930970,-84,-87,-200,-87,-200,-65,-200,-200,-200,-68,-200,-200,-75,-200,-88,-200,-200
1526455931063,-85,-200,-200,-200,-200,-64,-200,-200,-200,-69,-200,-200,-200,-200,-87,-84,-200
1526455931172,-84,-87,-72,-88,-200,-64,-85,-89,-81,-68,-200,-200,-75,-200,-86,-85,-200
1526455931291,-85,-200,-68,-200,-90,-200,-200,-200,-200,-69,-200,-82,-200,-200,-200,-200,-200
1526455936002,-86,-200,-65,-85,-200,-64,-200,-200,-82,-68,-200,-200,-80,-200,-200,-200,-200
1526455936118,-86,-200,-65,-200,-200,-64,-200,-200,-200,-69,-200,-82,-80,-200,-200,-200,-200
1526455936224,-87,-200,-200,-200,-200,-65,-200,-200,-200,-69,-200,-82,-80,-200,-200,-200,-200
1526455936340,-86,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-80,-200,-200,-200,-200
1526455940885,-90,-86,-69,-82,-200,-74,-83,-200,-200,-200,-200,-77,-77,-200,-87,-200,-200
1526455940992,-200,-85,-69,-83,-200,-74,-83,-200,-81,-76,-200,-200,-200,-200,-87,-200,-200
1526455941110,-200,-85,-81,-200,-200,-74,-84,-92,-200,-75,-200,-200,-76,-200,-200,-200,-200
1526455941213,-200,-200,-71,-82,-200,-75,-84,-200,-200,-200,-200,-77,-200,-200,-88,-200,-200
1526455945951,-200,-200,-70,-85,-200,-65,-200,-200,-86,-75,-200,-200,-82,-200,-200,-200,-200
1526455946560,-86,-200,-200,-84,-200,-65,-200,-200,-86,-67,-200,-200,-82,-200,-86,-200,-200
1526455946649,-87,-200,-200,-85,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-87,-200,-200
1526455946770,-200,-200,-65,-200,-200,-200,-200,-200,-83,-69,-200,-200,-200,-200,-200,-200,-200
1526455950873,-200,-200,-200,-200,-200,-77,-200,-200,-85,-200,-200,-82,-76,-200,-200,-200,-200
1526455950964,-200,-200,-200,-84,-200,-81,-86,-88,-85,-75,-200,-82,-76,-200,-200,-200,-200
1526455951074,-200,-88,-200,-84,-200,-200,-85,-88,-85,-75,-200,-82,-76,-200,-200,-200,-200
1526455951264,-200,-200,-200,-88,-200,-84,-85,-90,-200,-200,-200,-77,-77,-200,-200,-200,-200
1526455955890,-85,-86,-200,-200,-200,-200,-88,-200,-83,-84,-200,-76,-200,-200,-200,-200,-200
1526455956022,-86,-87,-66,-200,-200,-86,-200,-200,-83,-89,-200,-200,-80,-200,-86,-200,-200
1526455956176,-200,-86,-66,-200,-200,-80,-200,-200,-84,-84,-200,-200,-78,-200,-86,-200,-200
1526455956312,-200,-89,-200,-200,-200,-76,-200,-200,-200,-69,-200,-200,-79,-200,-200,-200,-200
1526455960919,-200,-200,-68,-85,-200,-77,-200,-200,-84,-70,-200,-200,-78,-200,-86,-200,-200
1526455961107,-200,-200,-69,-200,-200,-200,-200,-200,-85,-67,-200,-200,-200,-200,-200,-200,-200
1526455961213,-200,-89,-200,-200,-200,-200,-200,-200,-80,-200,-200,-80,-200,-200,-87,-200,-200
1526455965934,-200,-84,-200,-200,-200,-72,-80,-200,-86,-79,-200,-200,-76,-200,-200,-200,-200
1526455966027,-200,-84,-200,-200,-200,-73,-81,-92,-200,-79,-200,-80,-200,-200,-87,-200,-90
1526455966128,-200,-84,-200,-200,-200,-72,-80,-200,-200,-79,-200,-200,-200,-200,-88,-200,-200
1526455966242,-200,-84,-200,-200,-200,-81,-200,-200,-80,-79,-200,-80,-200,-200,-88,-200,-200
1526455970957,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526455971067,-200,-86,-78,-89,-200,-75,-92,-200,-200,-82,-200,-200,-200,-200,-89,-200,-200
1526455971164,-200,-87,-80,-89,-200,-200,-200,-200,-200,-82,-200,-76,-79,-200,-87,-200,-200
1526455971282,-88,-200,-85,-88,-200,-200,-90,-200,-83,-81,-200,-74,-80,-200,-200,-200,-200
1526455971382,-200,-200,-200,-200,-200,-63,-200,-200,-200,-78,-200,-200,-80,-200,-200,-200,-200
1526455975901,-200,-200,-65,-200,-200,-64,-200,-89,-200,-76,-84,-200,-83,-200,-89,-200,-200
1526455976001,-200,-200,-66,-200,-200,-62,-200,-200,-79,-67,-200,-200,-200,-200,-200,-200,-200
1526455976162,-200,-200,-200,-200,-200,-63,-200,-200,-80,-75,-200,-89,-200,-200,-200,-200,-200
1526455976285,-200,-200,-200,-200,-200,-64,-200,-200,-200,-70,-200,-83,-200,-200,-200,-200,-200
1526455980903,-200,-200,-69,-200,-200,-200,-82,-200,-82,-76,-200,-76,-200,-200,-200,-200,-200
1526455980998,-200,-90,-69,-200,-200,-73,-82,-200,-200,-76,-200,-76,-200,-200,-200,-200,-200
1526455981115,-200,-90,-69,-85,-200,-72,-200,-200,-81,-75,-200,-77,-76,-200,-200,-200,-200
1526455981223,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200
1526455981328,-87,-200,-69,-200,-200,-200,-200,-200,-81,-75,-200,-200,-76,-200,-90,-200,-200
1526455985916,-200,-88,-64,-200,-200,-88,-200,-200,-83,-83,-200,-200,-80,-200,-91,-200,-200
1526455986004,-200,-89,-64,-89,-200,-200,-200,-200,-82,-84,-200,-70,-81,-200,-200,-200,-200
1526455986148,-200,-89,-65,-200,-200,-200,-200,-200,-82,-200,-200,-81,-82,-200,-89,-200,-200
1526455986246,-200,-200,-200,-200,-200,-85,-89,-200,-84,-84,-200,-200,-82,-200,-200,-200,-200
