,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314
,74:da:da:c1:3c:99,74:da:da:c1:3c:dd,0c:73:eb:d0:11:f0,74:da:da:c1:3c:f9,0c:73:eb:d0:11:e8,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:18,74:da:da:c1:4b:05,0c:73:eb:d0:7c:30,74:da:da:c1:4b:59,0c:73:eb:d0:7c:10,0c:73:eb:d0:7c:00,0c:73:eb:d0:13:d0,74:da:da:c1:4b:01,0c:73:eb:d0:7e:f0,bc:d1:77:5f:6a:b4,74:da:da:c0:e0:81,74:da:da:c0:e2:d9,74:da:da:c0:e0:69,74:da:da:98:7a:50,74:da:da:c1:3a:81,0c:73:eb:d0:7c:48,0c:73:eb:d0:7f:18,74:da:da:c1:4a:f5,0c:73:eb:d0:76:40,74:da:da:c1:04:45,74:da:da:c1:3b:49,0c:73:eb:d0:2a:48,74:da:da:c0:e0:71,74:da:da:98:ea:4c,74:da:da:98:7a:68,74:da:da:c1:3c:e1,74:da:da:98:74:94,74:da:da:98:7a:4c,74:da:da:c1:3b:9d,0c:73:eb:d0:13:c0,74:da:da:c0:f3:01,0c:73:eb:d0:7f:10,74:da:da:98:7a:60,0c:73:eb:d0:19:a8,74:da:da:c1:56:ed,0c:73:eb:d0:11:b8,74:da:da:c1:4a:c9,74:da:da:98:8d:78,0c:73:eb:d0:11:f8,74:da:da:c0:d7:19,0c:73:eb:d0:7f:08,c0:61:18:93:35:28
1526451556631,-37,-41,-43,-46,-52,-52,-53,-53,-58,-61,-62,-64,-64,-66,-67,-70,-71,-71,-72,-72,-73,-73,-74,-82,-85,-87,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451559659,-43,-43,-43,-42,-51,-52,-48,-52,-60,-59,-61,-64,-64,-66,-66,-70,-74,-63,-72,-72,-75,-72,-76,-82,-84,-87,-87,-88,-66,-75,-76,-78,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451562682,-43,-43,-43,-42,-51,-52,-48,-52,-60,-59,-61,-64,-64,-66,-66,-70,-74,-63,-72,-72,-75,-72,-76,-82,-84,-87,-87,-88,-66,-75,-76,-78,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451565720,-43,-43,-43,-42,-51,-52,-48,-52,-60,-59,-61,-64,-64,-66,-66,-70,-74,-63,-72,-72,-75,-72,-76,-82,-84,-87,-87,-88,-66,-75,-76,-78,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451568767,-43,-43,-43,-42,-51,-52,-48,-52,-60,-59,-61,-64,-64,-66,-66,-70,-74,-63,-200,-200,-75,-72,-76,-200,-84,-200,-200,-200,-66,-75,-76,-78,-83,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451571804,-41,-44,-45,-44,-47,-54,-47,-49,-53,-60,-63,-57,-65,-66,-69,-70,-74,-62,-200,-200,-75,-78,-76,-200,-84,-200,-200,-200,-71,-75,-78,-78,-83,-87,-68,-75,-83,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451574844,-41,-44,-45,-44,-47,-54,-47,-49,-53,-60,-63,-57,-65,-66,-69,-70,-74,-62,-200,-200,-75,-78,-76,-200,-84,-200,-200,-200,-71,-75,-78,-78,-83,-87,-68,-75,-83,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451577879,-41,-44,-45,-44,-47,-54,-47,-49,-53,-60,-63,-57,-65,-66,-69,-70,-74,-62,-200,-200,-75,-78,-76,-200,-84,-200,-200,-200,-71,-75,-78,-78,-83,-87,-68,-75,-83,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451580908,-42,-50,-39,-47,-50,-53,-55,-51,-53,-62,-66,-60,-62,-67,-69,-72,-68,-63,-200,-200,-200,-78,-72,-200,-200,-200,-200,-200,-71,-200,-78,-77,-200,-84,-64,-75,-83,-88,-78,-83,-88,-200,-200,-200,-200,-200,-200,-200
