,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018
,0c:73:eb:d0:11:f0,74:da:da:c1:3c:99,74:da:da:c1:3c:f9,74:da:da:c1:3c:dd,0c:73:eb:d0:7c:18,0c:73:eb:d0:11:e8,74:da:da:c1:4b:05,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:00,0c:73:eb:d0:7c:10,0c:73:eb:d0:7c:30,74:da:da:c1:4b:59,74:da:da:c1:4b:01,74:da:da:c0:e2:d9,0c:73:eb:d0:13:d0,74:da:da:c1:3b:9d,74:da:da:c0:e0:81,0c:73:eb:d0:7e:f0,bc:d1:77:5f:6a:b4,74:da:da:c0:e0:71,74:da:da:c1:3c:e1,74:da:da:c1:4a:f5,0c:73:eb:d0:7c:48,0c:73:eb:d0:11:f8,0c:73:eb:d0:7f:18,74:da:da:98:7a:68,0c:73:eb:d0:7f:10,74:da:da:98:7a:4c,74:da:da:c1:4a:ed,0c:73:eb:d0:7e:e8,74:da:da:98:ea:4c,74:da:da:c0:d7:b9,74:da:da:98:74:94,74:da:da:c0:d7:19,74:da:da:c1:3b:49,74:da:da:c0:e0:69,74:da:da:c0:f3:01,74:da:da:c0:d7:ed,0c:73:eb:d0:7c:08,0c:73:eb:d0:13:c0,74:da:da:98:91:d4,74:da:da:98:85:60,74:da:da:98:7a:60,74:da:da:c1:48:bd,0c:73:eb:d0:19:a8,74:da:da:c1:56:a1,74:da:da:98:8d:78,74:da:da:c1:3a:81,0c:73:eb:d0:2a:48,0c:73:eb:d0:11:e0
1526451632020,-36,-37,-44,-44,-46,-49,-50,-51,-57,-58,-58,-59,-63,-63,-64,-65,-66,-67,-70,-71,-75,-78,-80,-81,-82,-82,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451635051,-31,-40,-51,-44,-47,-46,-56,-45,-62,-64,-44,-65,-61,-71,-73,-65,-66,-66,-76,-75,-200,-72,-72,-73,-73,-200,-86,-90,-73,-78,-79,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451638072,-31,-40,-51,-44,-47,-46,-56,-45,-62,-64,-44,-65,-61,-71,-73,-65,-66,-66,-76,-75,-200,-72,-72,-73,-73,-200,-86,-90,-73,-78,-79,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451641094,-31,-40,-51,-44,-47,-46,-56,-45,-62,-64,-44,-65,-61,-71,-73,-65,-66,-66,-76,-75,-200,-72,-72,-73,-73,-200,-86,-90,-73,-78,-79,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451644141,-32,-45,-47,-53,-46,-52,-58,-44,-63,-66,-42,-60,-60,-71,-73,-200,-77,-63,-70,-74,-82,-74,-72,-73,-78,-81,-200,-200,-73,-79,-79,-81,-74,-75,-81,-81,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451647183,-34,-45,-49,-53,-49,-53,-58,-44,-69,-65,-41,-60,-60,-69,-68,-200,-77,-63,-70,-72,-82,-73,-74,-73,-71,-80,-200,-200,-73,-79,-79,-81,-74,-75,-79,-81,-90,-93,-83,-83,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526451650220,-34,-45,-49,-53,-49,-53,-58,-44,-69,-65,-41,-60,-60,-69,-68,-200,-77,-63,-70,-72,-82,-73,-74,-73,-71,-80,-200,-200,-73,-79,-79,-81,-74,-75,-79,-81,-90,-93,-83,-83,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526451653264,-34,-45,-49,-53,-49,-53,-58,-44,-69,-65,-41,-60,-60,-69,-68,-200,-77,-63,-70,-72,-82,-73,-74,-73,-71,-80,-200,-200,-73,-79,-79,-81,-74,-75,-79,-81,-90,-93,-83,-83,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526451656300,-31,-42,-49,-51,-48,-53,-58,-43,-63,-66,-41,-61,-57,-69,-66,-200,-79,-63,-72,-72,-200,-73,-74,-76,-69,-80,-200,-200,-80,-200,-200,-200,-69,-200,-79,-200,-200,-200,-83,-83,-90,-91,-84,-200,-200,-200,-200,-200,-200,-200
1526451659328,-43,-58,-61,-61,-56,-65,-68,-55,-76,-77,-52,-71,-69,-69,-76,-200,-79,-63,-83,-72,-200,-73,-74,-76,-69,-80,-200,-200,-80,-200,-200,-200,-69,-200,-79,-200,-200,-200,-83,-83,-90,-91,-84,-200,-200,-200,-200,-200,-200,-200
1526451662364,-43,-58,-61,-61,-56,-65,-68,-55,-76,-77,-52,-71,-69,-69,-76,-200,-79,-63,-83,-72,-200,-73,-74,-76,-69,-80,-200,-200,-80,-200,-200,-200,-69,-200,-79,-200,-200,-200,-83,-83,-90,-91,-84,-200,-200,-200,-200,-200,-200,-200
1526451665392,-43,-58,-61,-61,-56,-65,-68,-55,-76,-77,-52,-71,-69,-69,-76,-200,-79,-63,-83,-72,-200,-73,-74,-76,-69,-80,-200,-200,-80,-200,-200,-200,-69,-200,-79,-200,-200,-200,-83,-83,-90,-91,-84,-200,-200,-200,-200,-200,-200,-200
1526451668431,-31,-48,-48,-48,-44,-44,-55,-46,-61,-64,-47,-59,-59,-69,-66,-200,-80,-60,-73,-73,-200,-75,-76,-80,-71,-200,-200,-200,-200,-200,-85,-200,-71,-200,-200,-200,-200,-200,-82,-82,-200,-200,-85,-84,-89,-89,-200,-200,-200,-200
1526451671478,-31,-53,-48,-50,-44,-50,-56,-45,-62,-64,-47,-60,-58,-69,-71,-200,-80,-64,-70,-70,-200,-75,-76,-80,-68,-82,-200,-200,-200,-200,-85,-84,-71,-200,-200,-200,-85,-200,-82,-82,-200,-200,-85,-84,-90,-89,-69,-76,-200,-200
1526451674515,-31,-53,-48,-50,-44,-50,-56,-45,-62,-64,-47,-60,-58,-69,-71,-200,-80,-64,-70,-70,-200,-75,-76,-80,-68,-82,-200,-200,-200,-200,-85,-84,-71,-200,-200,-200,-85,-200,-82,-82,-200,-200,-85,-84,-90,-89,-69,-76,-200,-200
1526451677563,-31,-53,-48,-50,-44,-50,-56,-45,-62,-64,-47,-60,-58,-69,-71,-200,-80,-64,-70,-70,-200,-75,-76,-80,-68,-82,-200,-200,-200,-200,-85,-84,-71,-200,-200,-200,-85,-200,-82,-82,-200,-200,-85,-84,-90,-89,-69,-76,-200,-200
1526451680585,-32,-50,-47,-50,-46,-44,-57,-42,-68,-65,-40,-59,-57,-69,-72,-200,-79,-62,-68,-71,-78,-83,-200,-80,-73,-82,-85,-200,-200,-200,-200,-84,-200,-76,-80,-200,-82,-200,-200,-200,-200,-200,-82,-85,-90,-200,-69,-72,-87,-88
1526451683628,-33,-52,-49,-50,-44,-45,-56,-43,-70,-65,-40,-61,-57,-67,-72,-200,-79,-62,-68,-71,-78,-83,-200,-80,-69,-82,-85,-200,-200,-200,-200,-84,-200,-76,-79,-200,-82,-200,-200,-200,-200,-200,-82,-85,-90,-200,-69,-72,-87,-88
1526451686671,-33,-52,-49,-50,-44,-45,-56,-43,-70,-65,-40,-61,-57,-67,-72,-200,-79,-62,-68,-71,-78,-83,-200,-80,-69,-82,-85,-200,-200,-200,-200,-84,-200,-76,-79,-200,-82,-200,-200,-200,-200,-200,-82,-85,-90,-200,-69,-72,-87,-88
1526451689709,-33,-52,-49,-50,-44,-45,-56,-43,-70,-65,-40,-61,-57,-67,-72,-200,-79,-62,-68,-71,-78,-83,-200,-80,-69,-82,-85,-200,-200,-200,-200,-84,-200,-76,-79,-200,-82,-200,-200,-200,-200,-200,-82,-85,-90,-200,-69,-72,-87,-88
1526451692750,-33,-47,-48,-48,-48,-45,-56,-45,-63,-69,-38,-59,-56,-66,-67,-200,-200,-66,-70,-74,-81,-82,-200,-200,-74,-84,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-82,-200,-200,-78,-200,-200,-200,-200,-200,-91,-200,-72,-200,-200
