,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,NETWORK,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:3c:f5,0c:73:eb:d0:11:f0,74:da:da:c1:3c:dd,74:da:da:c1:3c:f9,74:da:da:c1:3c:99,74:da:da:c1:4b:01,0c:73:eb:d0:7c:30,0c:73:eb:d0:11:e8,0c:73:eb:d0:7c:00,0c:73:eb:d0:7c:18,74:da:da:c1:3a:81,0c:73:eb:d0:11:f8,74:da:da:c1:4b:05,0c:73:eb:d0:7f:18,0c:73:eb:d0:13:d0,74:da:da:c1:4b:59,74:da:da:c0:e2:d9,0c:73:eb:d0:7c:10,0c:73:eb:d0:7e:f0,74:da:da:c1:4a:f5,0c:73:eb:d0:7c:08,0c:73:eb:d0:7c:48,74:da:da:98:74:94,74:da:da:98:8d:78,74:da:da:c0:e0:71,74:da:da:c1:4a:ed,0c:73:eb:d0:13:c0,74:da:da:c0:e0:69,bc:d1:77:5f:6a:b4,0c:73:eb:d0:7c:40,74:da:da:c0:f3:01,0c:73:eb:d0:7e:f8,74:da:da:c0:e0:81,0c:73:eb:d0:7a:68,74:da:da:c1:56:ed,0c:73:eb:d0:7f:08,74:da:da:98:7a:60,74:da:da:c0:d7:b9,74:da:da:98:7a:68,0c:73:eb:d0:7f:10,74:da:da:98:85:60,0c:73:eb:d0:7c:28,74:da:da:c1:03:2d,0c:73:eb:d0:76:58,74:da:da:98:91:d4,74:da:da:98:ea:4c,74:da:da:c0:d7:19,74:da:da:c1:3b:49,74:da:da:98:92:14,74:da:da:c1:3c:51,0c:73:eb:d0:11:d8,74:da:da:c1:48:bd,74:da:da:c1:3c:e1,d8:15:0d:6c:13:98,74:da:da:c0:f4:69,0c:73:eb:d0:11:e0
1526451783154,-39,-41,-41,-46,-46,-50,-50,-51,-52,-54,-54,-57,-58,-58,-59,-61,-61,-67,-67,-71,-71,-72,-73,-73,-74,-74,-75,-75,-76,-76,-78,-79,-81,-81,-82,-85,-86,-88,-89,-90,-90,-92,-92,-93,-93,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451786190,-39,-41,-39,-45,-44,-50,-51,-50,-46,-56,-53,-58,-54,-54,-59,-60,-61,-65,-74,-64,-71,-68,-69,-200,-77,-74,-75,-200,-72,-76,-70,-79,-81,-76,-82,-85,-82,-76,-81,-200,-90,-200,-92,-200,-200,-200,-61,-82,-84,-88,-200,-200,-200,-200,-200,-200
1526451789236,-39,-41,-39,-45,-44,-50,-51,-50,-46,-56,-53,-58,-54,-54,-59,-60,-61,-65,-74,-64,-71,-68,-69,-200,-77,-74,-75,-200,-72,-76,-70,-79,-81,-76,-82,-85,-82,-76,-81,-200,-90,-200,-92,-200,-200,-200,-61,-82,-84,-88,-200,-200,-200,-200,-200,-200
1526451792283,-39,-41,-39,-45,-44,-50,-51,-50,-46,-56,-53,-58,-54,-54,-59,-60,-61,-65,-74,-64,-71,-68,-69,-200,-77,-74,-75,-200,-72,-76,-70,-79,-81,-76,-82,-85,-82,-76,-81,-200,-90,-200,-92,-200,-200,-200,-61,-82,-84,-88,-200,-200,-200,-200,-200,-200
1526451795323,-41,-37,-43,-42,-47,-53,-50,-49,-43,-57,-51,-58,-55,-55,-66,-57,-69,-62,-74,-65,-68,-70,-69,-70,-75,-200,-200,-88,-72,-200,-70,-79,-79,-76,-200,-200,-82,-77,-81,-200,-200,-200,-200,-200,-74,-200,-61,-82,-84,-88,-76,-200,-200,-200,-200,-200
1526451798359,-41,-37,-43,-43,-47,-55,-49,-46,-44,-53,-51,-56,-55,-55,-70,-57,-68,-59,-74,-72,-67,-71,-69,-68,-75,-200,-74,-86,-74,-200,-70,-79,-79,-79,-200,-200,-82,-77,-81,-200,-200,-200,-200,-200,-74,-200,-61,-82,-84,-88,-76,-80,-200,-200,-200,-200
1526451801403,-41,-37,-43,-43,-47,-55,-49,-46,-44,-53,-51,-56,-55,-55,-70,-57,-68,-59,-74,-72,-67,-71,-69,-68,-75,-200,-74,-86,-74,-200,-70,-79,-79,-79,-200,-200,-82,-77,-81,-200,-200,-200,-200,-200,-74,-200,-61,-82,-84,-88,-76,-80,-200,-200,-200,-200
1526451804439,-41,-37,-43,-43,-47,-55,-49,-46,-44,-53,-51,-56,-55,-55,-70,-57,-68,-59,-74,-72,-67,-71,-69,-68,-75,-200,-74,-86,-74,-200,-70,-79,-79,-79,-200,-200,-82,-77,-81,-200,-200,-200,-200,-200,-74,-200,-61,-82,-84,-88,-76,-80,-200,-200,-200,-200
1526451807478,-43,-36,-47,-44,-46,-56,-48,-53,-44,-56,-51,-58,-55,-55,-78,-54,-68,-59,-200,-66,-68,-71,-200,-68,-75,-200,-74,-86,-75,-200,-200,-200,-200,-77,-200,-83,-200,-77,-200,-88,-81,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-80,-74,-200,-200,-200
