,0119.0012-vlucci.com A1.4.0.1,011d.0012-vlucci.com A1.4.0.1,0122.0012-vlucci.com A1.4.0.1
,7C:66:9D:7B:2D:79,F4:B8:5E:AA:7A:3E,F4:B8:5E:AA:7A:97
1526461287049,-96,-96,-200
1526461287157,-97,-96,-200
1526461287358,-98,-88,-200
1526461292053,-200,-87,-200
1526461292158,-94,-87,-200
1526461302000,-96,-93,-200
1526461302154,-98,-92,-200
1526461302263,-100,-95,-200
1526461302368,-96,-93,-200
1526461306946,-90,-200,-99
1526461307052,-89,-96,-200
1526461307163,-89,-200,-97
1526461307265,-89,-200,-200
1526461311976,-91,-94,-200
1526461317050,-98,-93,-200
1526461317355,-98,-94,-98
1526461321937,-91,-96,-200
1526461322048,-92,-95,-97
1526461322157,-91,-94,-200
1526461322358,-91,-95,-200
1526461326957,-92,-200,-200
1526461327271,-90,-200,-200
1526461327372,-90,-200,-200
1526461331988,-98,-95,-200
1526461332200,-96,-93,-200
1526461332434,-200,-94,-200
1526461342261,-200,-94,-200
1526461342366,-200,-93,-200
1526461347059,-200,-92,-200
1526461347168,-96,-94,-200
1526461347271,-96,-92,-200
1526461347376,-200,-93,-200
