,011f.0012-vlucci.com A1.4.0.1,011e.0012-vlucci.com A1.4.0.1
,F4:B8:5E:AA:77:7A,F4:B8:5E:AA:78:68
1526460101692,-92,-200
1526460101793,-92,-200
1526460101909,-92,-200
1526460102009,-91,-200
1526460111571,-95,-94
1526460111674,-96,-94
1526460111777,-95,-200
1526460111883,-93,-94
1526460116567,-90,-96
1526460116704,-92,-200
1526460117014,-92,-200
1526460131642,-92,-200
1526460131731,-92,-200
1526460131838,-91,-200
1526460131949,-92,-200
1526460132055,-92,-200
1526460141702,-92,-200
1526460141813,-97,-200
1526460142025,-97,-200
1526460146629,-92,-99
1526460146732,-91,-200
1526460146954,-92,-200
1526460147055,-92,-200
1526460156668,-91,-200
1526460156772,-93,-200
1526460156985,-93,-200
1526460161607,-92,-200
1526460161929,-93,-200
