,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:25:da,74:da:da:c1:25:d9,0c:73:eb:d0:2a:90,74:da:da:c0:d8:7e,74:da:da:c1:25:a1,74:da:da:c1:4a:86,0c:73:eb:d0:0e:a0,74:da:da:c0:f3:59,0c:73:eb:d0:0e:a8,74:da:da:c1:4a:85,0c:73:eb:d0:2a:40,0c:73:eb:d0:0e:c8,74:da:da:c1:25:69,74:da:da:c1:25:a2,74:da:da:c0:f3:5a,74:da:da:c1:04:4e,0c:73:eb:d0:19:c8,74:da:da:c1:4a:69,74:da:da:c1:4a:6a,74:da:da:c1:25:e5,74:da:da:c1:25:e6,0c:73:eb:d0:2a:60,74:da:da:c0:e0:6d,0c:73:eb:d0:76:50,0c:73:eb:d0:19:c0,0c:73:eb:d0:76:10,74:da:da:c0:de:2d,0c:73:eb:d0:2a:68,74:da:da:c1:25:6a,74:da:da:c0:d7:01,74:da:da:c0:e0:6e,74:da:da:c0:d6:ed,74:da:da:c0:d8:7d,74:da:da:c0:d7:9d,74:da:da:98:ea:54,74:da:da:c1:5e:ed,0c:73:eb:d0:0e:98,74:da:da:c0:f3:05,74:da:da:c0:de:2e,0c:73:eb:d0:0e:d8,74:da:da:98:ea:55,0c:73:eb:d0:0e:b8,74:da:da:98:ea:5c,74:da:da:c0:d6:f5,0c:73:eb:d0:2a:30,0c:73:eb:d0:13:a0,0c:73:eb:d0:19:80,74:da:da:c0:d9:39,0c:73:eb:d0:0e:d0,74:da:da:c1:3d:35,74:da:da:c0:d7:e9,0c:73:eb:d0:19:90,0c:73:eb:d0:19:a0,74:da:da:c1:3d:0d,74:da:da:c1:04:4d,0c:73:eb:d0:76:28,74:da:da:c0:d7:02,74:da:da:c0:d7:ed,0c:73:eb:d0:2a:48,74:da:da:98:ea:64,0c:73:eb:d0:2a:50,0c:73:eb:d0:76:30,74:da:da:c0:d8:3d,74:da:da:c0:d7:81,74:da:da:c1:3b:19,74:da:da:c1:3c:85,74:da:da:c0:d7:11,74:da:da:c1:3c:45,74:da:da:c1:4a:c9,74:da:da:c1:25:9d
1526451459496,-44,-44,-46,-46,-54,-56,-57,-59,-60,-60,-61,-61,-62,-64,-68,-69,-71,-71,-71,-71,-73,-74,-74,-75,-77,-77,-77,-78,-78,-78,-78,-78,-78,-79,-80,-80,-81,-82,-82,-82,-83,-83,-85,-86,-87,-87,-88,-89,-89,-90,-90,-90,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451462530,-60,-60,-39,-46,-55,-51,-54,-59,-69,-47,-59,-60,-62,-59,-73,-75,-69,-62,-66,-71,-73,-73,-76,-75,-81,-77,-77,-78,-77,-74,-63,-78,-200,-79,-80,-80,-83,-82,-82,-82,-86,-83,-85,-86,-87,-88,-88,-87,-89,-89,-90,-90,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451465564,-66,-55,-39,-200,-55,-52,-51,-75,-71,-48,-62,-57,-73,-65,-69,-75,-73,-57,-66,-72,-200,-72,-72,-200,-81,-200,-200,-78,-76,-73,-62,-200,-200,-78,-80,-200,-87,-200,-200,-87,-86,-84,-93,-83,-200,-88,-200,-87,-200,-89,-200,-200,-200,-200,-66,-85,-85,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451468596,-62,-56,-34,-200,-48,-48,-55,-75,-67,-46,-61,-64,-74,-59,-69,-73,-77,-51,-70,-63,-75,-70,-70,-200,-80,-85,-200,-78,-72,-74,-62,-200,-86,-78,-79,-200,-87,-89,-87,-87,-84,-84,-93,-83,-88,-88,-200,-87,-88,-89,-200,-200,-200,-200,-66,-85,-85,-89,-90,-80,-82,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526451471616,-66,-59,-36,-84,-52,-53,-55,-75,-65,-50,-66,-61,-72,-65,-67,-74,-74,-54,-69,-71,-76,-71,-75,-200,-80,-85,-200,-78,-76,-71,-60,-200,-86,-76,-80,-200,-84,-89,-87,-87,-84,-83,-88,-82,-88,-88,-200,-87,-88,-89,-200,-200,-89,-200,-72,-85,-85,-88,-89,-80,-82,-90,-90,-200,-200,-200,-200,-200,-200,-200
1526451474648,-63,-55,-35,-84,-52,-50,-51,-75,-64,-44,-66,-63,-71,-59,-68,-71,-74,-51,-69,-71,-75,-71,-72,-200,-82,-87,-200,-78,-74,-75,-60,-200,-82,-78,-80,-200,-84,-87,-84,-91,-84,-83,-88,-83,-88,-200,-87,-200,-90,-200,-200,-200,-89,-200,-71,-85,-85,-88,-89,-80,-82,-90,-90,-83,-200,-200,-200,-200,-200,-200
1526451477683,-64,-55,-38,-84,-57,-54,-55,-200,-65,-48,-61,-62,-74,-62,-67,-73,-77,-55,-71,-71,-74,-72,-72,-200,-83,-87,-200,-78,-74,-72,-60,-200,-82,-75,-79,-200,-80,-87,-84,-91,-84,-83,-88,-84,-88,-87,-87,-89,-90,-200,-200,-200,-89,-200,-71,-200,-85,-88,-82,-78,-82,-90,-90,-84,-200,-200,-200,-200,-200,-200
1526451480708,-62,-55,-37,-84,-54,-50,-56,-78,-69,-48,-62,-68,-74,-59,-67,-72,-77,-55,-70,-71,-74,-72,-73,-200,-83,-87,-77,-80,-76,-73,-60,-200,-82,-78,-80,-200,-80,-87,-84,-91,-200,-83,-90,-84,-88,-84,-85,-89,-90,-200,-200,-200,-92,-200,-68,-200,-86,-88,-82,-78,-200,-200,-90,-84,-200,-200,-200,-200,-200,-200
1526451483740,-65,-56,-36,-84,-51,-51,-48,-78,-68,-47,-60,-66,-74,-57,-69,-72,-71,-55,-72,-71,-74,-72,-73,-200,-82,-87,-77,-79,-75,-71,-60,-200,-82,-73,-80,-200,-80,-89,-84,-91,-84,-200,-90,-84,-88,-88,-90,-89,-89,-91,-200,-200,-92,-200,-68,-81,-86,-200,-82,-80,-83,-200,-200,-86,-90,-200,-200,-200,-200,-200
