,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0
,0c:73:eb:d0:0e:98,74:da:da:c1:25:e5,74:da:da:c1:25:9e,74:da:da:c1:25:9d,74:da:da:c1:25:e6,0c:73:eb:d0:2a:60,0c:73:eb:d0:0e:b8,74:da:da:c1:5e:ed,74:da:da:c1:04:4d,74:da:da:c1:03:61,74:da:da:c1:25:a1,0c:73:eb:d0:2a:68,74:da:da:c1:25:69,0c:73:eb:d0:2a:40,0c:73:eb:d0:2a:30,74:da:da:c0:f3:5a,74:da:da:c0:de:2e,74:da:da:c1:25:a2,74:da:da:c1:04:45,0c:73:eb:d0:0e:a8,0c:73:eb:d0:2a:10,74:da:da:c1:3d:85,74:da:da:c1:03:62,74:da:da:c0:de:2d,74:da:da:c0:d8:7e,74:da:da:c0:d8:7d,74:da:da:c0:f3:59,74:da:da:c1:25:6a,0c:73:eb:d0:0e:a0,74:da:da:c1:04:49,74:da:da:c1:25:d9,0c:73:eb:d0:2a:90,0c:73:eb:d0:2a:88,74:da:da:c1:3d:35,74:da:da:c1:04:46,0c:73:eb:d0:0e:90,74:da:da:c1:04:4a,74:da:da:c1:04:4e,0c:73:eb:d0:2a:18,74:da:da:c1:5e:ee,0c:73:eb:d0:0e:d8,74:da:da:c1:3d:09,74:da:da:c0:d7:e9,74:da:da:c1:02:95,0c:73:eb:d0:13:a0,74:da:da:c1:02:96,0c:73:eb:d0:2a:58,0c:73:eb:d0:19:b8,74:da:da:c1:25:da,74:da:da:c1:3c:cd,74:da:da:c1:4a:85,74:da:da:c0:d8:05,0c:73:eb:d0:0e:c8,74:da:da:c1:3b:79,0c:73:eb:d0:0e:b0,74:da:da:c1:3b:c9,0c:73:eb:d0:2a:98,74:da:da:c1:3d:0d,0c:73:eb:d0:19:98,0c:73:eb:d0:76:48,74:da:da:c0:d7:9d,74:da:da:c0:d8:25,0c:73:eb:d0:2a:48,0c:73:eb:d0:76:50,74:da:da:c0:d7:dd,74:da:da:c0:f3:05,74:da:da:c1:3d:05,0c:73:eb:d0:19:c8,74:da:da:c0:d7:81,c0:61:18:93:35:28,74:da:da:98:ea:54,74:da:da:c1:4a:69,0c:73:eb:d0:76:30,74:da:da:c0:d8:1d,0c:73:eb:d0:0e:c0
1526454020463,-46,-48,-49,-49,-50,-50,-55,-57,-58,-59,-59,-60,-60,-63,-65,-65,-65,-66,-66,-66,-67,-68,-68,-68,-69,-69,-69,-71,-71,-71,-72,-73,-74,-74,-76,-76,-77,-77,-77,-78,-79,-80,-83,-83,-84,-84,-84,-85,-85,-85,-86,-87,-87,-87,-88,-88,-89,-90,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454023496,-37,-42,-57,-49,-51,-57,-64,-57,-66,-55,-57,-61,-59,-65,-69,-60,-76,-70,-71,-66,-72,-68,-68,-68,-70,-57,-69,-71,-66,-71,-72,-81,-81,-70,-73,-76,-80,-77,-77,-78,-78,-80,-79,-82,-84,-84,-84,-85,-200,-85,-86,-87,-87,-89,-200,-90,-89,-90,-90,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454026518,-38,-40,-59,-57,-53,-54,-64,-200,-62,-63,-61,-60,-54,-67,-69,-64,-80,-70,-71,-71,-78,-71,-78,-200,-70,-58,-74,-69,-63,-200,-73,-81,-81,-70,-73,-68,-76,-81,-200,-79,-78,-86,-79,-82,-77,-200,-200,-200,-84,-83,-200,-200,-200,-89,-200,-90,-89,-86,-200,-86,-90,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454029553,-39,-40,-59,-57,-51,-55,-65,-200,-60,-58,-60,-60,-57,-68,-68,-62,-76,-70,-71,-70,-77,-71,-75,-67,-69,-58,-74,-70,-71,-200,-73,-81,-83,-66,-76,-68,-77,-83,-200,-78,-77,-86,-79,-80,-77,-200,-87,-200,-84,-83,-200,-86,-200,-89,-82,-90,-89,-86,-200,-86,-90,-87,-91,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454032579,-38,-42,-59,-57,-50,-55,-65,-68,-60,-59,-60,-58,-60,-68,-67,-60,-75,-70,-65,-64,-77,-71,-76,-67,-67,-56,-74,-69,-64,-200,-73,-81,-83,-56,-77,-68,-77,-81,-90,-78,-77,-85,-80,-80,-79,-200,-86,-200,-84,-83,-200,-86,-200,-90,-82,-90,-89,-86,-200,-86,-90,-87,-91,-85,-78,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454035608,-37,-40,-57,-57,-53,-56,-66,-68,-64,-59,-63,-61,-62,-66,-68,-62,-74,-70,-65,-66,-76,-73,-69,-67,-71,-62,-72,-69,-72,-70,-72,-200,-83,-68,-74,-67,-80,-75,-90,-73,-74,-85,-81,-80,-79,-200,-84,-87,-84,-80,-200,-89,-200,-90,-82,-90,-200,-86,-200,-200,-200,-87,-91,-85,-77,-88,-77,-89,-200,-200,-200,-200,-200,-200,-200
1526454038638,-35,-42,-58,-51,-52,-54,-66,-66,-64,-61,-56,-59,-62,-70,-65,-60,-74,-71,-69,-66,-74,-73,-69,-69,-67,-62,-72,-72,-65,-70,-72,-79,-83,-68,-73,-72,-80,-80,-90,-78,-78,-85,-82,-82,-79,-200,-84,-87,-200,-81,-200,-85,-200,-90,-82,-90,-200,-200,-200,-200,-200,-84,-200,-85,-77,-88,-76,-89,-87,-200,-200,-200,-200,-200,-200
1526454041653,-35,-41,-58,-58,-53,-56,-61,-63,-67,-59,-59,-56,-55,-77,-72,-60,-73,-78,-69,-72,-74,-74,-70,-69,-70,-59,-72,-72,-65,-68,-76,-79,-83,-64,-73,-72,-80,-75,-85,-75,-78,-84,-82,-82,-74,-200,-84,-88,-84,-81,-200,-85,-200,-83,-83,-200,-200,-200,-200,-200,-200,-84,-200,-200,-77,-88,-76,-89,-87,-200,-200,-200,-200,-200,-200
1526454044662,-34,-41,-57,-54,-54,-58,-65,-62,-68,-61,-61,-60,-54,-71,-72,-60,-74,-75,-69,-72,-74,-73,-73,-72,-70,-57,-70,-73,-64,-68,-76,-79,-82,-67,-73,-72,-79,-78,-85,-78,-77,-84,-84,-81,-74,-200,-84,-88,-84,-82,-200,-85,-200,-83,-83,-200,-200,-200,-200,-200,-200,-84,-200,-86,-77,-87,-76,-89,-87,-90,-200,-200,-200,-200,-200
1526454047674,-35,-42,-57,-50,-52,-59,-65,-72,-68,-60,-60,-56,-56,-73,-71,-60,-74,-76,-69,-73,-76,-66,-73,-72,-70,-58,-72,-71,-68,-69,-76,-79,-82,-67,-75,-75,-79,-78,-85,-78,-77,-84,-84,-81,-74,-200,-200,-87,-84,-82,-200,-85,-200,-83,-83,-200,-200,-89,-200,-200,-200,-84,-200,-86,-200,-87,-76,-200,-87,-90,-200,-200,-200,-200,-200
1526454050704,-29,-41,-57,-51,-54,-59,-60,-67,-67,-56,-60,-51,-56,-62,-68,-58,-73,-74,-73,-73,-76,-67,-75,-67,-73,-57,-67,-68,-61,-70,-83,-200,-82,-64,-75,-74,-79,-75,-85,-73,-76,-84,-84,-83,-74,-200,-87,-87,-84,-81,-88,-85,-90,-83,-84,-200,-200,-88,-200,-200,-200,-200,-90,-83,-200,-86,-78,-89,-200,-90,-89,-90,-200,-200,-200
1526454053730,-31,-39,-54,-51,-55,-55,-61,-63,-64,-56,-60,-52,-52,-61,-75,-63,-73,-71,-73,-70,-76,-64,-72,-67,-67,-56,-67,-68,-60,-70,-83,-75,-78,-67,-76,-66,-80,-79,-200,-80,-76,-87,-88,-83,-74,-200,-87,-87,-200,-80,-89,-87,-90,-84,-84,-89,-200,-88,-200,-88,-200,-200,-90,-83,-200,-87,-78,-89,-88,-90,-89,-90,-90,-200,-200
1526454056771,-32,-41,-58,-51,-52,-57,-64,-62,-65,-58,-57,-52,-54,-62,-68,-57,-72,-68,-66,-71,-72,-62,-70,-62,-71,-53,-66,-69,-65,-73,-82,-75,-78,-65,-76,-66,-80,-83,-200,-76,-77,-89,-85,-82,-76,-200,-87,-86,-83,-80,-89,-87,-89,-84,-86,-91,-200,-88,-200,-88,-200,-200,-90,-85,-200,-87,-78,-89,-88,-200,-89,-90,-90,-93,-200
1526454059806,-29,-43,-59,-51,-51,-57,-64,-66,-63,-59,-55,-51,-52,-62,-71,-59,-70,-70,-70,-64,-72,-62,-70,-62,-68,-60,-65,-70,-63,-73,-78,-75,-78,-65,-77,-66,-79,-74,-200,-76,-72,-89,-85,-84,-76,-200,-200,-86,-83,-82,-87,-87,-89,-84,-86,-91,-200,-200,-200,-88,-200,-85,-200,-85,-200,-85,-78,-89,-86,-200,-200,-200,-90,-87,-90
1526454062822,-29,-39,-56,-49,-56,-57,-64,-66,-65,-57,-59,-52,-52,-60,-72,-57,-70,-75,-66,-64,-77,-64,-74,-63,-73,-54,-62,-70,-62,-73,-78,-72,-74,-64,-76,-200,-80,-74,-200,-72,-73,-89,-85,-82,-76,-84,-200,-86,-83,-82,-87,-88,-89,-200,-85,-91,-200,-200,-200,-92,-89,-85,-200,-83,-73,-85,-78,-89,-86,-200,-200,-200,-200,-87,-90
1526454065850,-34,-39,-55,-47,-52,-60,-64,-65,-64,-58,-59,-58,-49,-60,-72,-62,-74,-73,-66,-66,-77,-69,-74,-63,-70,-54,-65,-70,-60,-200,-78,-72,-74,-64,-76,-200,-77,-75,-200,-74,-73,-89,-85,-82,-73,-84,-200,-200,-83,-79,-87,-88,-89,-200,-85,-200,-200,-200,-200,-92,-89,-85,-200,-83,-73,-86,-76,-200,-90,-200,-200,-200,-200,-87,-90
1526454068886,-30,-39,-57,-49,-53,-58,-64,-65,-65,-58,-57,-49,-56,-60,-70,-58,-71,-75,-67,-65,-77,-64,-72,-63,-71,-56,-67,-70,-60,-69,-78,-72,-81,-64,-76,-200,-80,-75,-200,-74,-72,-89,-200,-82,-73,-84,-200,-200,-200,-79,-87,-86,-200,-200,-85,-200,-200,-200,-200,-92,-89,-85,-200,-83,-73,-87,-76,-200,-90,-200,-200,-200,-200,-87,-90
1526454071922,-31,-40,-58,-45,-53,-62,-62,-65,-65,-60,-55,-51,-52,-59,-75,-58,-71,-73,-65,-65,-77,-65,-72,-63,-72,-54,-67,-71,-60,-69,-78,-72,-75,-64,-77,-200,-80,-77,-200,-74,-74,-89,-200,-82,-73,-84,-84,-200,-200,-80,-200,-86,-200,-86,-82,-90,-200,-200,-200,-88,-89,-86,-200,-83,-73,-83,-77,-200,-90,-200,-200,-200,-200,-200,-200
1526454074934,-30,-40,-55,-45,-54,-57,-64,-65,-63,-60,-56,-56,-52,-61,-76,-58,-73,-74,-65,-65,-200,-66,-72,-63,-68,-57,-67,-72,-66,-69,-78,-74,-75,-60,-77,-64,-78,-75,-200,-74,-74,-89,-200,-82,-74,-200,-84,-200,-84,-80,-87,-86,-200,-86,-82,-90,-200,-88,-200,-89,-200,-83,-200,-81,-200,-83,-77,-200,-90,-200,-200,-200,-200,-88,-200
1526454077973,-32,-45,-54,-50,-59,-58,-65,-200,-63,-58,-57,-59,-52,-68,-75,-64,-75,-79,-66,-72,-76,-58,-72,-66,-70,-55,-68,-67,-68,-70,-85,-79,-77,-66,-73,-64,-82,-81,-200,-74,-77,-89,-200,-86,-74,-85,-85,-200,-84,-80,-87,-87,-200,-86,-82,-90,-200,-88,-200,-86,-200,-83,-200,-81,-75,-83,-77,-200,-200,-200,-200,-200,-90,-88,-200
1526454081015,-31,-42,-53,-43,-54,-58,-66,-200,-67,-57,-57,-60,-58,-69,-72,-62,-74,-75,-65,-73,-76,-63,-73,-62,-71,-54,-63,-66,-65,-70,-76,-79,-77,-65,-78,-64,-82,-81,-200,-75,-77,-88,-200,-86,-74,-85,-85,-200,-85,-78,-87,-88,-88,-86,-82,-90,-200,-88,-200,-86,-200,-87,-200,-81,-75,-83,-77,-91,-200,-200,-200,-200,-90,-88,-200
