,null,0113.0012-vlucci.com A1.4.0.1,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:31:61,7C:66:9D:7B:2B:BA,7C:66:9D:7B:2B:CB,78:A5:04:41:E5:70,7C:66:9D:7B:46:8C,BC:6A:29:BE:2F:12,78:A5:04:41:EE:1D,78:A5:04:41:EE:15,7C:66:9D:7B:47:3D,78:A5:04:41:E7:88,78:A5:04:41:E7:A2,78:A5:04:41:EB:CE,78:A5:04:41:EB:DD,78:A5:04:41:E7:D5
1526442721075,-79,-77,-63,-89,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442721213,-77,-78,-200,-200,-200,-75,-79,-200,-200,-200,-200,-200,-200,-200
1526442721317,-77,-79,-65,-89,-200,-73,-200,-86,-77,-200,-200,-200,-200,-200
1526442725974,-94,-76,-68,-200,-200,-200,-200,-200,-76,-91,-200,-200,-200,-200
1526442726074,-93,-76,-68,-88,-58,-200,-200,-88,-76,-200,-85,-200,-200,-200
1526442726196,-200,-200,-200,-89,-58,-77,-86,-89,-200,-200,-85,-200,-200,-200
1526442726312,-90,-75,-68,-89,-58,-78,-86,-200,-76,-89,-200,-200,-200,-200
1526442731029,-88,-76,-200,-89,-72,-72,-200,-200,-90,-200,-90,-200,-200,-200
1526442731165,-88,-76,-72,-89,-73,-73,-80,-82,-86,-200,-200,-200,-200,-200
1526442731279,-87,-76,-73,-200,-72,-73,-200,-82,-200,-200,-200,-90,-200,-200
1526442731390,-86,-75,-73,-89,-72,-200,-79,-82,-200,-200,-200,-90,-200,-200
1526442735978,-81,-69,-69,-92,-200,-75,-82,-200,-72,-87,-86,-200,-200,-200
1526442736076,-86,-68,-200,-200,-60,-86,-78,-200,-72,-200,-88,-200,-200,-200
1526442736178,-89,-68,-68,-200,-65,-77,-77,-200,-200,-90,-86,-200,-200,-200
1526442736280,-93,-68,-68,-200,-66,-79,-76,-200,-71,-200,-86,-200,-200,-200
1526442736388,-200,-200,-200,-200,-200,-72,-200,-200,-64,-92,-87,-200,-200,-200
1526442741032,-200,-69,-74,-200,-59,-73,-73,-200,-200,-200,-200,-200,-90,-200
1526442741139,-200,-70,-200,-88,-59,-74,-73,-200,-79,-200,-90,-200,-200,-200
1526442741239,-75,-69,-200,-88,-59,-74,-73,-86,-81,-200,-89,-200,-200,-200
1526442741353,-74,-70,-66,-88,-200,-69,-73,-86,-200,-200,-89,-200,-200,-89
1526442746044,-82,-200,-66,-200,-66,-200,-200,-200,-74,-200,-90,-200,-200,-88
1526442746161,-80,-79,-66,-200,-66,-95,-200,-200,-73,-200,-200,-91,-200,-88
1526442746276,-80,-80,-66,-200,-200,-98,-200,-200,-74,-200,-200,-89,-200,-200
1526442746380,-82,-80,-65,-88,-66,-200,-200,-200,-62,-200,-200,-200,-200,-200
1526442751027,-92,-69,-65,-87,-63,-200,-70,-200,-66,-200,-89,-200,-200,-200
