,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:85,78:A5:04:41:E9:DA,78:A5:04:41:E9:B4,78:A5:04:41:EB:8B,78:A5:04:41:EB:80,78:A5:04:41:EB:C3,78:A5:04:41:EB:BA,78:A5:04:41:E7:D4
1526456925797,-73,-75,-82,-200,-200,-200,-200,-200
1526456925932,-73,-75,-82,-200,-200,-200,-200,-200
1526456926033,-73,-75,-82,-69,-77,-200,-200,-200
1526456926128,-200,-75,-82,-200,-75,-200,-200,-200
1526456930725,-62,-68,-82,-75,-200,-200,-200,-200
1526456930824,-63,-68,-82,-200,-200,-91,-200,-200
1526456930933,-62,-68,-82,-75,-200,-89,-200,-200
1526456931050,-62,-67,-81,-200,-200,-90,-200,-200
1526456931166,-87,-69,-82,-200,-200,-89,-200,-200
1526456935775,-87,-69,-83,-70,-74,-200,-200,-200
1526456935981,-87,-68,-200,-69,-200,-200,-200,-200
1526456936082,-87,-68,-200,-69,-200,-200,-200,-200
1526456936181,-200,-69,-84,-200,-200,-200,-200,-200
1526456940690,-200,-75,-84,-68,-76,-200,-90,-200
1526456940798,-200,-75,-84,-68,-76,-200,-200,-200
1526456940906,-200,-75,-200,-68,-76,-200,-90,-200
1526456941018,-72,-75,-84,-69,-76,-200,-200,-200
1526456941126,-62,-74,-83,-200,-82,-200,-200,-200
1526456945758,-200,-67,-82,-70,-70,-90,-200,-200
1526456945864,-62,-66,-85,-200,-82,-90,-200,-200
1526456946071,-62,-200,-82,-67,-200,-200,-200,-200
1526456951008,-74,-74,-81,-66,-79,-200,-200,-200
1526456951086,-200,-72,-81,-66,-200,-200,-200,-200
1526456951213,-73,-72,-82,-66,-79,-200,-88,-200
1526456951303,-200,-200,-82,-69,-75,-200,-200,-200
1526456955724,-62,-65,-84,-200,-75,-90,-200,-90
1526456955828,-62,-64,-84,-70,-75,-200,-200,-200
1526456955930,-63,-65,-85,-69,-74,-91,-200,-200
1526456956034,-63,-65,-84,-70,-200,-91,-200,-200
1526456961015,-200,-200,-200,-74,-200,-89,-200,-200
1526456961496,-200,-200,-200,-82,-200,-200,-200,-200
1526456961595,-200,-200,-83,-76,-69,-90,-200,-200
1526456961696,-200,-200,-200,-69,-200,-200,-200,-200
1526456961804,-200,-66,-200,-69,-200,-200,-200,-92
1526456965702,-81,-69,-200,-69,-68,-200,-200,-200
1526456965797,-200,-200,-200,-68,-68,-200,-92,-200
1526456965904,-82,-69,-82,-68,-68,-200,-200,-200
1526456966005,-81,-200,-82,-68,-68,-200,-200,-200
1526456966119,-81,-200,-82,-68,-68,-200,-89,-200
1526456970768,-72,-75,-200,-68,-78,-200,-200,-200
1526456970872,-72,-74,-82,-68,-79,-200,-200,-200
1526456970982,-72,-74,-82,-68,-78,-200,-200,-200
1526456971089,-62,-74,-82,-69,-79,-90,-200,-200
1526456975834,-63,-65,-82,-69,-200,-90,-200,-91
1526456975932,-62,-200,-200,-200,-200,-200,-200,-92
1526456976043,-62,-66,-83,-200,-75,-90,-200,-200
1526456976140,-63,-200,-83,-69,-200,-200,-200,-92
1526456980694,-80,-69,-200,-68,-69,-92,-200,-200
1526456980834,-80,-69,-200,-200,-69,-92,-200,-200
1526456980973,-80,-69,-200,-200,-69,-200,-200,-200
1526456981078,-80,-69,-83,-68,-69,-200,-90,-200
1526456985775,-74,-73,-82,-200,-80,-200,-90,-200
1526456985971,-74,-74,-200,-200,-200,-200,-200,-200
1526456986087,-73,-74,-83,-67,-80,-200,-200,-200
1526456986186,-72,-74,-83,-68,-82,-200,-200,-200
1526456986320,-72,-74,-200,-200,-200,-200,-200,-200
