,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:F1,78:A5:04:41:EE:17,78:A5:04:41:EB:97,78:A5:04:41:E9:98,BC:6A:29:BE:31:17,78:A5:04:41:E5:68,78:A5:04:41:EB:C3,78:A5:04:41:EB:A5,78:A5:04:41:EE:06,78:A5:04:41:E9:CC,78:A5:04:41:E9:AB,78:A5:04:41:EB:AD,78:A5:04:41:EB:9C,78:A5:04:41:EB:BA,78:A5:04:41:E7:D4,BC:6A:29:BE:2F:54,78:A5:04:41:E5:4E,78:A5:04:41:E5:6B,78:A5:04:41:E9:CB
1526451705651,-88,-76,-89,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451705761,-88,-200,-200,-200,-86,-77,-81,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451705869,-88,-76,-200,-85,-87,-76,-81,-87,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451705974,-88,-77,-200,-70,-79,-200,-200,-200,-65,-56,-64,-83,-200,-200,-200,-200,-200,-200,-200
1526451710662,-92,-78,-200,-70,-80,-200,-69,-82,-66,-57,-64,-84,-88,-88,-84,-200,-200,-200,-200
1526451710772,-90,-78,-200,-200,-79,-82,-200,-83,-65,-56,-64,-83,-200,-200,-200,-200,-200,-200,-200
1526451710883,-89,-76,-200,-84,-78,-82,-69,-82,-66,-56,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526451715654,-200,-76,-87,-200,-92,-78,-200,-79,-82,-59,-200,-200,-200,-200,-84,-98,-200,-200,-200
1526451715747,-200,-200,-88,-200,-94,-200,-83,-79,-200,-59,-69,-200,-89,-200,-200,-98,-90,-200,-200
1526451715859,-200,-200,-200,-84,-93,-77,-83,-81,-82,-200,-68,-200,-200,-200,-84,-200,-200,-200,-200
1526451715958,-200,-200,-200,-83,-200,-88,-200,-80,-80,-62,-200,-91,-200,-200,-88,-200,-200,-200,-200
1526451720664,-200,-200,-200,-82,-200,-88,-200,-200,-200,-62,-71,-90,-200,-200,-200,-200,-200,-200,-200
1526451720762,-200,-71,-200,-200,-94,-87,-82,-200,-80,-62,-81,-200,-200,-200,-200,-200,-200,-200,-200
1526451720861,-200,-200,-200,-82,-200,-200,-82,-84,-79,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451725557,-200,-200,-200,-200,-76,-88,-200,-88,-200,-200,-64,-77,-85,-90,-86,-200,-200,-90,-200
1526451725681,-200,-200,-200,-76,-76,-200,-200,-88,-200,-59,-63,-77,-85,-200,-86,-200,-200,-200,-200
