,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,78:A5:04:41:E9:CC,78:A5:04:41:EE:17,78:A5:04:41:E9:98,BC:6A:29:BE:31:17,78:A5:04:41:E5:68,78:A5:04:41:EB:F1,78:A5:04:41:EB:A5,78:A5:04:41:E9:A0,78:A5:04:41:EE:06,78:A5:04:41:E9:AB,78:A5:04:41:E9:B3,BC:6A:29:BE:2F:54
1526450083575,-80,-80,-73,-90,-85,-200,-200,-200,-200,-200,-200,-200
1526450083662,-79,-81,-72,-88,-200,-83,-200,-200,-200,-200,-200,-200
1526450083773,-200,-80,-72,-200,-200,-85,-76,-84,-200,-200,-200,-200
1526450088468,-88,-80,-76,-88,-200,-81,-81,-86,-70,-81,-88,-200
1526450088552,-200,-81,-76,-86,-82,-74,-81,-86,-75,-82,-88,-200
1526450088665,-200,-80,-76,-88,-200,-200,-81,-86,-70,-200,-87,-91
1526450088772,-88,-200,-76,-200,-200,-82,-200,-86,-75,-82,-200,-92
1526450088880,-200,-200,-200,-95,-200,-200,-83,-200,-70,-200,-200,-200
1526450093750,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-94,-200
1526450093853,-81,-200,-81,-100,-83,-80,-200,-84,-89,-77,-200,-200
1526450093973,-80,-81,-72,-200,-82,-81,-200,-85,-88,-78,-200,-200
1526450094086,-80,-81,-200,-200,-82,-200,-75,-84,-89,-78,-200,-200
1526450098466,-88,-78,-76,-87,-200,-69,-200,-85,-200,-81,-87,-92
1526450098572,-88,-200,-76,-87,-82,-69,-86,-200,-76,-81,-200,-200
1526450098689,-200,-79,-77,-87,-200,-69,-84,-85,-200,-81,-87,-90
1526450098798,-87,-79,-77,-87,-82,-69,-85,-200,-200,-82,-200,-90
1526450103488,-86,-200,-66,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526450103586,-85,-200,-66,-80,-200,-200,-200,-89,-79,-82,-200,-89
1526450103685,-86,-77,-66,-200,-200,-73,-77,-200,-79,-200,-200,-90
1526450103868,-200,-81,-66,-93,-82,-82,-74,-86,-79,-78,-200,-200
1526450108559,-200,-81,-200,-94,-200,-200,-200,-200,-200,-78,-200,-200
1526450108688,-80,-81,-200,-94,-82,-82,-200,-85,-200,-78,-200,-200
1526450108772,-80,-82,-200,-94,-82,-200,-74,-200,-200,-200,-200,-200
1526450108880,-200,-200,-77,-94,-82,-83,-200,-85,-76,-78,-87,-200
1526450113515,-88,-200,-77,-88,-81,-69,-200,-86,-76,-200,-86,-200
1526450113624,-200,-200,-200,-88,-81,-69,-87,-200,-76,-200,-87,-90
1526450113726,-200,-78,-200,-200,-81,-69,-200,-200,-200,-200,-200,-200
1526450113841,-200,-200,-200,-87,-200,-69,-77,-85,-76,-200,-87,-89
1526450118468,-86,-76,-66,-200,-76,-200,-200,-200,-79,-200,-200,-91
1526450118553,-85,-200,-65,-80,-200,-69,-200,-200,-80,-82,-200,-89
1526450118681,-86,-200,-66,-81,-200,-200,-77,-200,-200,-82,-200,-200
1526450118792,-200,-77,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200
1526450118933,-80,-76,-200,-200,-82,-200,-200,-85,-200,-200,-200,-200
1526450123558,-80,-81,-200,-200,-200,-200,-74,-85,-200,-77,-200,-200
1526450123656,-80,-82,-72,-200,-82,-200,-74,-84,-200,-200,-200,-200
1526450123801,-80,-81,-200,-200,-85,-200,-74,-200,-200,-78,-200,-200
1526450123862,-200,-81,-72,-88,-81,-81,-200,-200,-200,-200,-200,-200
1526450128516,-200,-200,-77,-88,-200,-69,-87,-84,-200,-200,-86,-90
1526450128616,-87,-78,-77,-88,-200,-69,-87,-200,-76,-200,-86,-90
1526450128736,-200,-200,-77,-88,-81,-200,-87,-200,-76,-81,-200,-200
1526450128836,-87,-78,-66,-200,-200,-69,-87,-85,-200,-200,-200,-200
1526450133480,-200,-76,-200,-81,-200,-81,-200,-200,-80,-200,-92,-200
1526450133567,-86,-76,-67,-81,-200,-70,-200,-200,-200,-82,-200,-91
1526450133728,-87,-76,-67,-81,-76,-69,-200,-200,-79,-83,-200,-92
1526450133877,-200,-200,-200,-95,-82,-81,-74,-90,-80,-200,-200,-200
1526450138608,-200,-82,-200,-95,-82,-82,-72,-85,-200,-78,-200,-200
1526450138703,-200,-200,-200,-200,-82,-82,-74,-200,-200,-78,-94,-200
1526450138847,-200,-200,-200,-96,-84,-82,-200,-200,-200,-200,-200,-98
1526450143698,-200,-200,-200,-90,-200,-74,-200,-200,-200,-200,-200,-200
1526450143798,-200,-200,-200,-88,-200,-74,-200,-200,-200,-200,-200,-90
1526450143961,-87,-77,-75,-87,-80,-68,-88,-85,-77,-200,-85,-89
1526450144150,-200,-77,-200,-200,-81,-69,-200,-85,-76,-200,-200,-89
1526450144256,-200,-77,-200,-88,-200,-200,-200,-200,-200,-81,-86,-91
