,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:98,BC:6A:29:BE:2F:54,78:A5:04:41:E9:8E,78:A5:04:41:EB:F1,BC:6A:29:BE:31:17,78:A5:04:41:E9:A0,78:A5:04:41:EB:A5,78:A5:04:41:E9:B3,78:A5:04:41:E7:9D,78:A5:04:41:E9:F3,78:A5:04:41:EE:06,BC:6A:29:BE:31:7F,78:A5:04:41:E5:59,7C:66:9D:7B:47:FC,78:A5:04:41:E5:68,78:A5:04:41:E9:BE
1526458086751,-77,-77,-88,-88,-92,-76,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526458086960,-76,-76,-200,-200,-93,-77,-84,-87,-88,-200,-200,-200,-200,-200,-200,-200
1526458091583,-78,-68,-200,-83,-90,-200,-200,-82,-84,-200,-200,-200,-200,-200,-200,-200
1526458091695,-78,-200,-200,-200,-200,-200,-200,-82,-200,-88,-200,-200,-200,-200,-200,-200
1526458091804,-78,-74,-200,-200,-90,-80,-200,-83,-85,-200,-200,-200,-200,-200,-200,-200
1526458091903,-78,-74,-200,-200,-89,-81,-76,-200,-84,-89,-93,-200,-200,-200,-200,-200
1526458096621,-200,-72,-200,-200,-89,-81,-200,-76,-82,-200,-200,-200,-200,-200,-200,-200
1526458096726,-78,-73,-200,-200,-200,-79,-200,-200,-84,-200,-91,-98,-200,-200,-200,-200
1526458096824,-78,-73,-200,-200,-89,-78,-200,-76,-85,-200,-200,-97,-200,-200,-200,-200
1526458096931,-77,-74,-200,-89,-200,-77,-200,-77,-82,-200,-200,-96,-200,-200,-200,-200
1526458101596,-76,-74,-200,-87,-200,-76,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458101684,-80,-74,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458101805,-200,-75,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458101907,-200,-77,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458102008,-200,-74,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526458102109,-200,-83,-200,-200,-96,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458102321,-75,-74,-200,-200,-95,-82,-200,-200,-200,-200,-200,-93,-200,-95,-200,-200
