,null,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:31:17,BC:6A:29:BE:31:7F,BC:6A:29:BE:2F:54,78:A5:04:41:E9:82,78:A5:04:41:E9:B3,78:A5:04:41:E5:3E,78:A5:04:41:E9:A0,78:A5:04:41:E9:BE,78:A5:04:41:E9:98,78:A5:04:41:EB:F1,78:A5:04:41:EB:A5,7C:66:9D:7B:47:FC,78:A5:04:41:E9:8E,78:A5:04:41:E9:F3,78:A5:04:41:E7:9D,7C:66:9D:7B:2E:21,78:A5:04:41:E5:59
1526458396914,-94,-99,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458397029,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458401642,-95,-200,-87,-90,-60,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458401770,-86,-200,-83,-200,-59,-83,-65,-82,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526458401878,-86,-200,-83,-200,-60,-82,-64,-83,-87,-89,-81,-93,-88,-200,-200,-200,-200
1526458401993,-86,-99,-200,-200,-60,-82,-63,-200,-88,-200,-80,-94,-85,-86,-200,-200,-200
1526458402102,-200,-98,-89,-200,-75,-82,-200,-200,-200,-87,-77,-93,-200,-200,-200,-200,-200
1526458406690,-91,-98,-84,-200,-74,-77,-200,-87,-200,-200,-78,-96,-82,-200,-78,-200,-200
1526458406804,-91,-98,-84,-200,-200,-77,-64,-200,-200,-200,-78,-92,-200,-200,-77,-200,-200
1526458406967,-94,-98,-83,-89,-75,-200,-65,-200,-87,-200,-78,-200,-200,-200,-200,-97,-200
1526458411618,-200,-200,-82,-90,-73,-200,-200,-90,-87,-200,-87,-200,-200,-200,-200,-200,-200
1526458411720,-200,-200,-86,-89,-73,-82,-200,-88,-200,-200,-200,-200,-200,-200,-85,-92,-200
1526458411820,-200,-200,-85,-86,-200,-81,-200,-86,-85,-200,-200,-200,-200,-200,-83,-93,-200
1526458412035,-92,-200,-82,-200,-68,-82,-200,-200,-83,-90,-85,-200,-200,-200,-200,-200,-200
1526458416642,-89,-200,-76,-92,-68,-200,-86,-200,-89,-89,-79,-200,-200,-200,-200,-200,-200
1526458416744,-200,-96,-76,-200,-200,-79,-86,-88,-90,-200,-200,-93,-81,-200,-200,-200,-200
1526458416848,-89,-200,-200,-200,-68,-78,-87,-86,-89,-88,-200,-200,-200,-200,-200,-200,-200
1526458416950,-90,-97,-76,-200,-200,-78,-200,-200,-200,-200,-80,-200,-81,-200,-200,-200,-200
1526458421612,-94,-200,-200,-92,-200,-78,-200,-200,-83,-200,-82,-200,-82,-200,-200,-200,-200
1526458421783,-94,-200,-200,-200,-200,-79,-66,-200,-200,-200,-81,-200,-200,-200,-88,-200,-200
