,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2E:21,78:A5:04:41:E9:D2,BC:6A:29:BE:31:17,78:A5:04:41:E9:8E,78:A5:04:41:E5:59,78:A5:04:41:E5:34,78:A5:04:41:E9:D7,78:A5:04:41:E9:BE,78:A5:04:41:E9:F3,78:A5:04:41:EE:08,78:A5:04:41:E9:8A,78:A5:04:41:EB:FB,BC:6A:29:BE:31:7F,78:A5:04:41:E9:92,78:A5:04:41:E9:EB,7C:66:9D:7B:47:FC,78:A5:04:41:E9:A0,BC:6A:29:BE:2F:54,78:A5:04:41:E9:BB,78:A5:04:41:EB:E8,78:A5:04:41:E9:82
1526448465620,-97,-66,-96,-86,-75,-78,-89,-81,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448465752,-200,-67,-200,-81,-200,-200,-85,-89,-77,-66,-86,-69,-87,-83,-200,-200,-200,-200,-200,-200,-200
1526448470120,-200,-200,-200,-81,-78,-89,-85,-200,-200,-66,-86,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448470276,-200,-200,-200,-80,-78,-89,-85,-89,-200,-66,-85,-200,-200,-82,-92,-200,-200,-200,-200,-200,-200
1526448470390,-95,-80,-200,-80,-78,-200,-85,-200,-200,-66,-200,-69,-85,-81,-200,-200,-200,-200,-200,-200,-200
1526448475018,-94,-80,-200,-200,-82,-82,-200,-83,-82,-64,-200,-200,-95,-200,-200,-90,-92,-200,-200,-200,-200
1526448475124,-94,-200,-200,-200,-200,-82,-200,-200,-83,-64,-200,-200,-96,-200,-91,-91,-91,-200,-200,-200,-200
1526448475225,-200,-78,-200,-200,-74,-82,-200,-83,-200,-64,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526448475396,-200,-79,-200,-200,-200,-200,-200,-82,-83,-200,-200,-200,-93,-80,-90,-92,-200,-200,-200,-200,-200
1526448480064,-200,-85,-200,-200,-200,-200,-200,-81,-200,-200,-90,-200,-102,-81,-200,-200,-200,-100,-200,-200,-200
1526448480620,-200,-200,-97,-200,-76,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-92,-200,-200
1526448480717,-200,-200,-99,-80,-78,-200,-85,-200,-80,-67,-88,-71,-95,-200,-200,-97,-200,-200,-200,-200,-200
1526448485112,-200,-200,-97,-80,-200,-200,-85,-89,-80,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448485238,-200,-200,-200,-80,-78,-200,-85,-200,-200,-67,-87,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526448485345,-200,-200,-200,-81,-200,-88,-87,-81,-80,-67,-88,-78,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526448490028,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526448490236,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-92,-200,-200,-200,-200,-200
1526448490336,-96,-76,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-96,-200,-200,-92,-200,-200,-200,-200,-200
1526448490546,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-92,-200,-200,-200,-200,-200
1526448490867,-93,-200,-200,-200,-200,-200,-200,-200,-79,-69,-88,-67,-200,-200,-200,-101,-200,-200,-200,-88,-200
1526448495075,-200,-77,-200,-200,-75,-83,-200,-81,-79,-68,-88,-68,-200,-80,-200,-200,-200,-200,-200,-88,-200
1526448495237,-200,-77,-200,-200,-200,-200,-200,-81,-200,-200,-200,-68,-200,-80,-200,-200,-200,-200,-200,-88,-200
