,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:4E,78:A5:04:41:E9:CC,78:A5:04:41:E5:6B,78:A5:04:41:EB:97,78:A5:04:41:E9:FD,78:A5:04:41:EB:9C,78:A5:04:41:EB:C3,78:A5:04:41:E9:D5,78:A5:04:41:E9:CD,78:A5:04:41:E9:AB,78:A5:04:41:E7:80,78:A5:04:41:EB:AD,78:A5:04:41:EE:17,78:A5:04:41:E9:BF,78:A5:04:41:EB:91,78:A5:04:41:EE:06,78:A5:04:41:EB:BA,78:A5:04:41:E5:68,78:A5:04:41:E9:98,78:A5:04:41:E7:D4
1526453463761,-80,-88,-78,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453463889,-81,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453464011,-81,-200,-84,-87,-86,-64,-91,-69,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453464078,-84,-200,-200,-78,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453468702,-86,-85,-69,-79,-69,-200,-85,-74,-200,-84,-74,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526453468875,-84,-200,-68,-79,-200,-64,-200,-75,-200,-85,-74,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526453468942,-200,-200,-68,-200,-68,-200,-86,-77,-200,-84,-77,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526453469071,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526453473701,-200,-200,-200,-200,-76,-200,-200,-81,-200,-200,-76,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526453473911,-84,-200,-80,-200,-76,-200,-200,-200,-81,-200,-76,-80,-200,-88,-88,-200,-200,-200,-200,-200
1526453474048,-84,-89,-200,-200,-200,-66,-91,-200,-82,-200,-76,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526453474151,-200,-200,-68,-79,-77,-65,-200,-69,-82,-89,-80,-84,-91,-200,-200,-84,-200,-200,-200,-200
1526453478769,-200,-200,-68,-200,-77,-200,-200,-200,-200,-200,-80,-200,-200,-80,-200,-200,-88,-200,-200,-200
1526453478909,-200,-200,-68,-79,-200,-200,-200,-200,-200,-90,-81,-85,-200,-200,-90,-200,-89,-200,-200,-200
1526453479015,-86,-90,-68,-200,-77,-65,-200,-69,-200,-200,-80,-200,-90,-80,-200,-200,-200,-200,-200,-200
1526453479137,-200,-200,-200,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453483759,-86,-200,-200,-77,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526453484039,-85,-200,-200,-77,-200,-66,-200,-69,-200,-90,-85,-200,-92,-80,-89,-84,-90,-200,-200,-200
1526453484147,-85,-200,-66,-78,-200,-66,-200,-68,-200,-200,-83,-84,-200,-80,-200,-200,-200,-200,-200,-200
1526453484252,-84,-200,-66,-78,-200,-66,-200,-200,-200,-90,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200
1526453484357,-85,-200,-66,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453488672,-200,-200,-68,-74,-78,-200,-200,-76,-200,-88,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526453488768,-200,-85,-68,-75,-78,-68,-200,-78,-90,-200,-200,-83,-200,-77,-200,-87,-200,-200,-200,-200
1526453488899,-200,-85,-200,-77,-200,-68,-200,-200,-200,-88,-200,-83,-86,-77,-200,-86,-200,-200,-200,-200
1526453489005,-81,-200,-68,-200,-77,-69,-200,-79,-200,-88,-74,-79,-200,-77,-89,-200,-200,-200,-200,-200
1526453493799,-82,-200,-78,-80,-79,-69,-200,-79,-86,-86,-75,-79,-200,-200,-200,-87,-200,-200,-200,-200
1526453493914,-82,-200,-78,-200,-79,-69,-200,-79,-200,-200,-74,-200,-200,-200,-200,-87,-200,-200,-200,-200
1526453494029,-200,-89,-200,-79,-79,-70,-200,-79,-200,-200,-200,-200,-200,-84,-88,-200,-200,-200,-200,-200
1526453498676,-200,-200,-65,-200,-200,-65,-200,-69,-94,-200,-200,-200,-92,-200,-200,-84,-90,-200,-200,-200
1526453498773,-200,-200,-65,-200,-200,-65,-200,-69,-200,-200,-92,-84,-200,-200,-89,-84,-90,-200,-200,-200
1526453498876,-87,-200,-65,-200,-81,-64,-200,-69,-200,-90,-200,-84,-200,-200,-90,-84,-200,-95,-200,-200
1526453498981,-86,-200,-65,-200,-200,-200,-200,-69,-200,-200,-90,-200,-200,-80,-89,-200,-90,-200,-98,-200
1526453499088,-85,-86,-67,-76,-200,-200,-200,-69,-88,-200,-77,-200,-200,-82,-200,-200,-92,-200,-200,-200
1526453503779,-86,-200,-200,-200,-200,-76,-200,-77,-88,-89,-77,-200,-87,-82,-200,-200,-200,-200,-200,-200
1526453503876,-200,-86,-67,-200,-200,-76,-91,-200,-88,-200,-78,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526453503984,-200,-200,-200,-76,-200,-76,-91,-200,-88,-200,-200,-86,-87,-200,-200,-200,-200,-200,-200,-90
1526453504080,-200,-88,-81,-200,-200,-69,-200,-200,-89,-87,-76,-78,-86,-86,-88,-200,-200,-200,-200,-200
1526453508776,-82,-88,-200,-80,-77,-69,-200,-78,-85,-88,-76,-79,-200,-86,-89,-200,-200,-200,-200,-200
1526453508949,-81,-200,-82,-80,-77,-200,-200,-78,-200,-200,-76,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526453509048,-85,-200,-200,-80,-200,-69,-200,-78,-85,-200,-79,-79,-200,-86,-200,-89,-200,-200,-200,-200
1526453513739,-200,-200,-68,-200,-76,-64,-200,-67,-92,-200,-78,-200,-200,-80,-200,-200,-200,-200,-200,-200
1526453513844,-200,-200,-68,-200,-200,-65,-200,-67,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200
1526453513987,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453514199,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453514304,-200,-200,-75,-77,-70,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453514507,-200,-200,-67,-74,-200,-68,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453518781,-200,-200,-200,-200,-200,-68,-200,-76,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453518925,-200,-82,-200,-74,-200,-200,-200,-76,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453519027,-200,-200,-200,-200,-200,-68,-200,-76,-200,-86,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526453523715,-82,-200,-81,-200,-73,-66,-200,-73,-82,-200,-76,-78,-200,-92,-200,-200,-200,-200,-200,-200
1526453523881,-81,-200,-84,-200,-200,-65,-200,-72,-200,-200,-86,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526453524448,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
