,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:CD,78:A5:04:41:E9:AB,78:A5:04:41:EB:9C,78:A5:04:41:E5:6B,78:A5:04:41:E7:80,78:A5:04:41:EB:91,78:A5:04:41:EB:AD,78:A5:04:41:E9:FD,78:A5:04:41:EE:06,78:A5:04:41:E5:4E,78:A5:04:41:E9:D5,78:A5:04:41:E9:BF,78:A5:04:41:EB:C3,78:A5:04:41:E9:CC,78:A5:04:41:EB:97,78:A5:04:41:E5:68,78:A5:04:41:E9:B4
1526454313770,-81,-91,-63,-64,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454313879,-81,-87,-66,-200,-72,-87,-84,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454313987,-82,-200,-76,-200,-76,-200,-200,-77,-89,-81,-78,-84,-200,-200,-200,-200,-200
1526454318671,-80,-200,-64,-61,-77,-200,-200,-79,-200,-200,-60,-200,-200,-200,-200,-200,-200
1526454318788,-80,-200,-200,-61,-200,-200,-200,-200,-200,-81,-62,-86,-200,-200,-200,-200,-200
1526454318905,-200,-200,-200,-200,-68,-200,-83,-69,-86,-82,-200,-81,-200,-200,-200,-200,-200
1526454319009,-81,-200,-69,-200,-74,-200,-83,-73,-200,-82,-68,-78,-89,-87,-66,-200,-200
1526454323721,-200,-200,-200,-60,-200,-200,-200,-200,-87,-82,-200,-83,-200,-200,-66,-88,-200
1526454323835,-200,-200,-63,-200,-74,-200,-200,-200,-200,-82,-64,-200,-200,-200,-200,-200,-200
1526454323933,-200,-200,-62,-60,-200,-200,-200,-200,-200,-82,-63,-200,-200,-200,-66,-200,-200
1526454324097,-200,-200,-63,-200,-200,-94,-89,-200,-200,-78,-64,-89,-200,-200,-68,-200,-200
1526454333695,-83,-200,-60,-200,-72,-200,-200,-86,-200,-200,-200,-90,-200,-83,-200,-200,-200
1526454333796,-84,-200,-60,-63,-200,-200,-200,-87,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526454333971,-83,-200,-200,-200,-200,-200,-200,-86,-200,-78,-200,-90,-200,-200,-68,-88,-200
1526454334062,-200,-88,-60,-63,-200,-200,-89,-85,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526454338791,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200
1526454339118,-86,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-86,-200,-200,-200
1526454339227,-200,-200,-61,-200,-200,-87,-200,-200,-91,-200,-200,-85,-200,-85,-75,-200,-200
1526454339376,-84,-200,-66,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-69,-89,-200
1526454343758,-85,-200,-64,-200,-83,-200,-200,-92,-200,-200,-64,-82,-200,-200,-68,-89,-200
1526454343868,-85,-200,-64,-200,-82,-200,-200,-90,-200,-200,-64,-83,-200,-200,-68,-89,-200
1526454343974,-200,-200,-64,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-68,-89,-200
1526454344075,-200,-200,-63,-200,-83,-200,-200,-200,-200,-200,-78,-200,-200,-200,-68,-200,-200
1526454348672,-80,-200,-58,-200,-76,-200,-200,-87,-200,-200,-78,-87,-200,-200,-200,-200,-200
1526454348767,-80,-200,-58,-65,-76,-200,-200,-88,-200,-79,-200,-200,-200,-83,-68,-88,-200
1526454348884,-80,-88,-58,-200,-76,-200,-200,-200,-200,-79,-78,-86,-200,-200,-68,-89,-200
1526454348978,-80,-200,-58,-200,-76,-200,-200,-88,-200,-79,-78,-87,-200,-83,-200,-89,-200
1526454353673,-87,-88,-61,-64,-79,-88,-88,-200,-200,-200,-200,-88,-200,-87,-200,-200,-200
1526454353785,-200,-200,-61,-64,-79,-87,-200,-76,-200,-89,-79,-87,-200,-87,-75,-200,-200
1526454353926,-86,-200,-61,-64,-200,-87,-88,-76,-200,-88,-79,-200,-200,-87,-200,-200,-200
1526454354042,-200,-200,-200,-64,-200,-200,-200,-74,-200,-200,-200,-87,-200,-87,-200,-200,-200
