,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:1D,78:A5:04:41:E7:A2,BC:6A:29:BE:2F:12,78:A5:04:41:EB:DD,7C:66:9D:7B:2B:BA,BC:6A:29:BE:31:61,78:A5:04:41:E7:93,7C:66:9D:7B:46:8C,7C:66:9D:7B:47:3D,78:A5:04:41:EB:CE
1526447493751,-81,-68,-89,-69,-85,-95,-71,-200,-200,-200
1526447493860,-80,-68,-89,-69,-200,-200,-200,-200,-200,-200
1526447498463,-89,-68,-87,-67,-86,-200,-80,-95,-200,-200
1526447498588,-88,-69,-94,-67,-85,-200,-80,-95,-200,-200
1526447498685,-200,-200,-87,-68,-86,-91,-79,-200,-200,-200
1526447498794,-89,-68,-200,-68,-87,-90,-79,-200,-200,-200
1526447498898,-200,-65,-200,-200,-86,-200,-79,-200,-200,-200
1526447503482,-82,-65,-85,-77,-85,-88,-74,-200,-200,-200
1526447503574,-82,-200,-200,-77,-200,-200,-75,-200,-100,-200
1526447503688,-200,-65,-86,-77,-86,-88,-75,-200,-100,-200
1526447503785,-82,-200,-86,-200,-86,-200,-74,-200,-200,-200
1526447503900,-82,-200,-86,-200,-85,-84,-74,-200,-200,-200
1526447508444,-82,-69,-90,-74,-88,-200,-72,-200,-94,-200
1526447508544,-82,-69,-92,-74,-88,-200,-72,-200,-94,-200
1526447508647,-82,-200,-91,-74,-200,-200,-200,-200,-92,-200
1526447508762,-200,-75,-98,-200,-200,-200,-200,-200,-94,-200
1526447508862,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200
1526447509083,-88,-67,-88,-67,-87,-89,-79,-95,-94,-200
1526447513534,-88,-67,-88,-67,-87,-89,-78,-200,-200,-200
1526447513631,-96,-67,-88,-67,-87,-89,-78,-200,-200,-200
1526447513742,-200,-67,-87,-200,-200,-90,-79,-95,-200,-200
1526447513845,-83,-200,-88,-200,-87,-200,-79,-200,-200,-200
1526447518513,-83,-200,-82,-79,-85,-200,-69,-200,-200,-90
1526447518624,-83,-65,-200,-200,-85,-88,-69,-98,-100,-200
1526447523471,-200,-72,-200,-80,-89,-200,-200,-200,-92,-200
1526447523584,-81,-82,-89,-200,-90,-200,-200,-200,-94,-200
1526447523676,-82,-70,-90,-80,-89,-200,-72,-200,-93,-200
1526447523800,-81,-81,-200,-81,-90,-200,-200,-200,-93,-200
1526447528498,-200,-68,-88,-68,-85,-89,-77,-200,-200,-200
1526447528596,-200,-68,-87,-68,-86,-90,-77,-96,-200,-200
1526447528703,-89,-68,-88,-68,-86,-89,-77,-95,-200,-200
1526447528812,-89,-68,-88,-68,-200,-200,-77,-200,-200,-200
1526447533498,-88,-200,-88,-68,-85,-89,-77,-99,-200,-200
1526447533600,-88,-68,-87,-200,-85,-89,-200,-97,-200,-200
1526447533706,-89,-200,-87,-68,-86,-90,-78,-200,-200,-200
1526447533824,-200,-68,-86,-68,-86,-89,-77,-98,-200,-200
1526447538472,-83,-65,-85,-78,-84,-200,-68,-99,-200,-200
1526447538584,-83,-65,-85,-78,-85,-88,-68,-200,-98,-200
1526447538684,-200,-65,-85,-78,-84,-88,-68,-200,-98,-200
1526447538798,-200,-65,-86,-77,-84,-88,-200,-97,-97,-200
1526447543471,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526447543573,-200,-200,-88,-200,-200,-90,-200,-200,-200,-200
1526447543678,-200,-200,-89,-200,-200,-90,-200,-97,-200,-200
1526447543786,-200,-200,-88,-200,-200,-200,-200,-98,-200,-200
1526447543891,-200,-200,-88,-75,-200,-89,-200,-98,-200,-200
1526447544010,-200,-200,-87,-200,-200,-200,-88,-200,-200,-200
1526447544117,-200,-67,-88,-67,-85,-200,-78,-200,-200,-200
1526447548447,-83,-65,-80,-77,-84,-88,-68,-200,-97,-90
1526447548720,-83,-65,-86,-76,-84,-87,-68,-200,-99,-92
1526447548873,-83,-200,-91,-76,-200,-88,-68,-100,-200,-90
1526447553460,-81,-72,-90,-200,-200,-200,-200,-200,-200,-200
1526447553564,-81,-200,-90,-77,-200,-200,-70,-200,-94,-92
1526447553672,-81,-200,-89,-77,-88,-200,-200,-200,-94,-200
1526447553817,-82,-72,-90,-77,-88,-200,-81,-200,-94,-200
1526447553912,-200,-200,-200,-200,-88,-89,-77,-200,-200,-200
1526447558462,-89,-200,-88,-67,-86,-90,-77,-94,-200,-200
1526447558549,-200,-66,-88,-200,-87,-89,-76,-97,-200,-200
1526447558660,-95,-200,-88,-67,-87,-90,-76,-93,-200,-200
1526447558768,-89,-200,-87,-67,-87,-88,-77,-95,-200,-200
1526447558869,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
