,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0124.0012-vlucci.com A1.4.0.1
,78:A5:04:41:E5:4E,78:A5:04:41:E9:BF,78:A5:04:41:E9:D5,78:A5:04:41:EB:91,78:A5:04:41:EB:AD,F4:B8:5E:AA:79:07
1526459350444,-72,-89,-86,-200,-200,-200
1526459351062,-74,-79,-84,-79,-81,-200
1526459355532,-200,-200,-200,-85,-80,-200
1526459355617,-69,-200,-200,-84,-81,-200
1526459355782,-200,-200,-200,-81,-81,-200
1526459360393,-200,-200,-200,-200,-82,-200
1526459360516,-79,-67,-200,-83,-82,-200
1526459361387,-83,-79,-200,-200,-200,-200
1526459361593,-88,-77,-200,-200,-200,-200
1526459365383,-74,-77,-84,-82,-200,-200
1526459365489,-74,-77,-85,-83,-200,-200
1526459365586,-74,-77,-84,-83,-84,-200
1526459365688,-74,-77,-85,-83,-84,-200
1526459370356,-69,-65,-200,-82,-80,-200
1526459370455,-68,-65,-200,-83,-80,-200
1526459370563,-69,-65,-200,-82,-81,-200
1526459370709,-69,-65,-200,-83,-80,-200
1526459370803,-69,-66,-200,-83,-80,-200
1526459375436,-78,-68,-200,-83,-200,-200
1526459375566,-77,-67,-200,-200,-80,-200
1526459375646,-77,-67,-200,-82,-80,-200
1526459375825,-78,-67,-200,-200,-200,-200
1526459380453,-200,-78,-84,-82,-80,-200
1526459380561,-200,-79,-85,-84,-80,-200
1526459380662,-76,-78,-84,-82,-79,-200
1526459380767,-76,-80,-87,-82,-200,-200
1526459385375,-79,-66,-200,-91,-82,-200
1526459385956,-200,-200,-88,-200,-78,-200
1526459386055,-79,-66,-88,-83,-79,-200
1526459386216,-78,-66,-200,-200,-77,-200
1526459390395,-85,-67,-92,-85,-78,-200
1526459390502,-200,-68,-200,-85,-77,-200
1526459390603,-81,-68,-200,-200,-77,-200
1526459390712,-79,-67,-200,-85,-77,-93
1526459395376,-76,-79,-84,-81,-200,-200
1526459395481,-75,-79,-84,-81,-83,-200
1526459395590,-75,-78,-84,-81,-83,-200
1526459395693,-200,-200,-83,-81,-84,-200
1526459395795,-200,-200,-84,-200,-82,-200
1526459400453,-200,-65,-200,-82,-82,-200
1526459400567,-69,-65,-90,-200,-82,-200
1526459400656,-200,-70,-89,-80,-82,-200
1526459400765,-200,-65,-200,-200,-82,-200
1526459405404,-80,-68,-200,-83,-79,-200
1526459405498,-80,-68,-200,-200,-78,-200
1526459405607,-80,-200,-200,-82,-79,-200
1526459405720,-80,-68,-86,-83,-78,-200
1526459410402,-76,-200,-200,-86,-200,-200
1526459410517,-76,-77,-200,-86,-83,-200
1526459410648,-76,-77,-84,-200,-82,-200
1526459410720,-76,-200,-200,-200,-200,-200
1526459410828,-76,-200,-200,-200,-200,-200
