,0116.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1
,7C:66:9D:7B:2B:DE,7C:66:9D:7B:2B:D3,78:A5:04:41:EE:07,78:A5:04:41:E7:91,78:A5:04:41:EB:C7,78:A5:04:41:EB:C9,78:A5:04:41:E5:56,7C:66:9D:7B:2E:16,7C:66:9D:7B:2B:E4,F4:B8:5E:AA:79:4E,78:A5:04:41:E5:5F,78:A5:04:41:E5:77,F4:B8:5E:AA:77:73
1526462569517,-81,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462569623,-80,-74,-85,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462569717,-80,-74,-85,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462569826,-80,-200,-200,-200,-86,-86,-89,-91,-84,-200,-200,-200,-200
1526462574444,-84,-75,-83,-200,-86,-200,-200,-200,-84,-200,-200,-200,-200
1526462574543,-84,-200,-83,-64,-200,-200,-90,-200,-84,-85,-200,-200,-200
1526462574656,-84,-200,-83,-65,-87,-85,-200,-200,-84,-200,-200,-200,-200
1526462574757,-84,-75,-83,-200,-85,-86,-90,-200,-84,-200,-90,-200,-200
1526462579390,-82,-69,-87,-68,-86,-200,-200,-200,-84,-87,-200,-200,-200
1526462579478,-200,-200,-200,-68,-86,-200,-200,-200,-200,-88,-200,-200,-200
1526462579576,-82,-69,-88,-68,-86,-200,-93,-200,-84,-87,-200,-200,-200
1526462579747,-82,-69,-200,-68,-86,-200,-200,-200,-200,-88,-200,-200,-200
1526462584384,-80,-76,-86,-80,-88,-200,-200,-200,-90,-200,-200,-200,-200
1526462584475,-200,-76,-84,-80,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526462584588,-200,-76,-84,-79,-88,-200,-200,-200,-89,-200,-200,-200,-200
1526462584695,-200,-76,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462584798,-83,-76,-200,-79,-83,-200,-200,-90,-89,-200,-200,-200,-200
1526462589447,-83,-200,-200,-67,-83,-200,-200,-90,-85,-200,-200,-200,-200
1526462589559,-83,-200,-84,-72,-83,-200,-200,-90,-86,-87,-200,-200,-200
1526462589658,-82,-200,-200,-67,-83,-200,-200,-200,-85,-88,-200,-200,-200
1526462589787,-83,-200,-200,-200,-82,-200,-200,-200,-84,-200,-200,-200,-200
1526462594437,-81,-75,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200
1526462594540,-81,-75,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526462594644,-81,-200,-200,-74,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526462594752,-81,-200,-85,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462599478,-81,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526462599577,-81,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462599678,-81,-80,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462599784,-81,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-92,-200
1526462604798,-82,-77,-200,-200,-89,-86,-200,-200,-200,-200,-200,-200,-200
1526462604995,-200,-77,-200,-200,-90,-87,-200,-200,-87,-200,-200,-200,-200
1526462609410,-80,-80,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462609509,-79,-80,-84,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462609615,-80,-81,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462609721,-80,-81,-84,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526462614457,-84,-200,-88,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526462614739,-81,-76,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462615376,-82,-77,-200,-68,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526462615526,-80,-81,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462619400,-80,-80,-84,-73,-90,-200,-200,-200,-200,-92,-200,-200,-200
1526462619549,-200,-200,-84,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462619650,-200,-81,-84,-200,-90,-200,-200,-200,-92,-200,-200,-200,-200
1526462619755,-200,-81,-85,-200,-79,-81,-200,-200,-200,-200,-200,-200,-88
1526462624458,-200,-82,-200,-66,-79,-200,-200,-200,-200,-200,-200,-200,-88
1526462624564,-200,-83,-200,-66,-81,-82,-200,-200,-87,-200,-200,-200,-200
1526462624667,-88,-83,-200,-67,-81,-81,-200,-200,-200,-200,-200,-200,-200
1526462624769,-85,-83,-90,-70,-81,-87,-200,-200,-87,-200,-200,-200,-200
1526462629457,-200,-81,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462629615,-200,-82,-200,-70,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526462629715,-84,-81,-90,-69,-200,-86,-200,-200,-87,-200,-200,-200,-200
1526462629821,-200,-200,-200,-69,-200,-86,-200,-200,-200,-200,-200,-200,-200
