,0115.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1
,7C:66:9D:7B:2B:E4,7C:66:9D:7B:2E:16,7C:66:9D:7B:2B:DE,F4:B8:5E:AA:77:73,78:A5:04:41:E7:91,78:A5:04:41:EB:C9,7C:66:9D:7B:2B:D3,78:A5:04:41:E5:56,78:A5:04:41:E7:81,78:A5:04:41:E5:77,F4:B8:5E:AA:79:4E
1526462714495,-82,-84,-80,-75,-69,-87,-92,-200,-200,-200,-200
1526462714587,-82,-200,-79,-200,-69,-86,-200,-200,-200,-200,-200
1526462714692,-82,-83,-79,-74,-69,-87,-92,-88,-200,-200,-200
1526462719373,-86,-85,-200,-69,-64,-200,-200,-200,-200,-200,-200
1526462719473,-200,-86,-75,-69,-200,-200,-200,-200,-200,-200,-200
1526462719585,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200
1526462719686,-83,-200,-76,-69,-200,-83,-200,-200,-200,-200,-200
1526462719787,-88,-86,-200,-69,-200,-82,-200,-200,-88,-200,-200
1526462724390,-90,-200,-77,-74,-68,-200,-200,-200,-200,-89,-200
1526462724495,-90,-200,-77,-75,-69,-81,-200,-200,-200,-200,-200
1526462724605,-200,-91,-77,-75,-200,-82,-200,-86,-200,-91,-200
1526462724711,-89,-200,-77,-74,-69,-200,-200,-86,-200,-200,-200
1526462724807,-84,-81,-78,-75,-68,-200,-91,-200,-200,-200,-200
1526462729870,-200,-82,-77,-76,-68,-88,-200,-200,-200,-200,-200
1526462729989,-85,-82,-78,-76,-68,-200,-200,-200,-200,-200,-200
1526462730089,-200,-82,-200,-76,-68,-86,-90,-86,-90,-200,-200
1526462734413,-200,-86,-75,-70,-64,-83,-200,-200,-89,-200,-94
1526462734728,-200,-87,-74,-200,-64,-83,-200,-200,-200,-200,-200
1526462734829,-200,-200,-200,-200,-71,-83,-200,-200,-200,-200,-200
1526462739561,-92,-200,-200,-200,-73,-200,-200,-95,-200,-200,-200
1526462739781,-88,-200,-78,-200,-68,-90,-200,-86,-200,-200,-200
1526462740417,-200,-200,-78,-75,-68,-82,-200,-86,-200,-90,-200
1526462740527,-87,-200,-200,-200,-66,-200,-200,-86,-200,-200,-200
1526462744419,-200,-200,-78,-69,-67,-200,-200,-86,-90,-200,-200
1526462744523,-200,-200,-79,-200,-200,-86,-90,-88,-200,-200,-200
1526462744628,-200,-85,-79,-200,-67,-86,-94,-88,-200,-200,-200
1526462744820,-200,-200,-79,-74,-67,-200,-200,-89,-200,-200,-200
1526462749368,-85,-87,-74,-200,-65,-200,-200,-89,-200,-200,-200
1526462749559,-85,-200,-75,-200,-65,-84,-200,-89,-200,-200,-200
1526462749659,-85,-200,-75,-200,-200,-84,-200,-89,-200,-200,-200
1526462749769,-200,-200,-76,-200,-65,-200,-200,-89,-200,-200,-200
1526462754403,-87,-88,-200,-74,-69,-83,-200,-87,-92,-200,-200
1526462754493,-200,-200,-76,-75,-68,-83,-200,-200,-200,-200,-200
1526462754606,-200,-87,-200,-75,-68,-83,-200,-88,-200,-200,-200
1526462754714,-87,-88,-76,-74,-68,-200,-92,-200,-200,-200,-200
1526462759372,-87,-200,-79,-75,-200,-200,-200,-86,-92,-200,-200
1526462759493,-88,-200,-78,-75,-200,-89,-200,-200,-91,-200,-200
1526462759603,-88,-87,-200,-76,-65,-90,-200,-86,-200,-200,-200
1526462759704,-89,-86,-78,-200,-65,-89,-200,-200,-200,-200,-200
1526462764459,-92,-200,-78,-200,-200,-86,-200,-90,-88,-200,-200
1526462764883,-200,-88,-75,-200,-63,-86,-200,-91,-87,-200,-200
1526462765085,-200,-200,-75,-75,-200,-200,-200,-200,-200,-200,-200
1526462769385,-86,-89,-78,-74,-200,-83,-200,-87,-200,-200,-200
1526462769485,-86,-89,-78,-74,-68,-83,-200,-200,-200,-90,-200
1526462769586,-86,-89,-78,-74,-68,-86,-200,-87,-200,-200,-200
1526462769697,-84,-200,-77,-69,-68,-84,-200,-87,-200,-200,-200
1526462774459,-83,-87,-80,-69,-66,-200,-200,-200,-89,-200,-200
1526462774552,-84,-200,-80,-200,-66,-200,-200,-86,-88,-200,-200
1526462774662,-200,-86,-80,-74,-66,-200,-200,-86,-88,-200,-200
1526462774760,-200,-86,-80,-200,-200,-200,-200,-87,-200,-200,-200
1526462779370,-90,-89,-75,-200,-200,-200,-200,-90,-87,-200,-200
1526462779572,-200,-200,-75,-200,-62,-200,-200,-90,-200,-200,-200
1526462779676,-90,-200,-75,-74,-200,-200,-200,-200,-200,-200,-200
1526462779778,-200,-200,-75,-200,-200,-200,-200,-90,-200,-200,-200
