,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,7C:66:9D:7B:47:FC,78:A5:04:41:EB:94,78:A5:04:41:EB:FE,78:A5:04:41:EB:D8,78:A5:04:41:EB:D1,7C:66:9D:7B:2E:21,78:A5:04:41:EB:AC,78:A5:04:41:EB:E8,78:A5:04:41:E9:E3,BC:6A:29:BE:31:7F
1526464546327,-92,-92,-92,-87,-200,-200,-200,-200,-200,-200
1526464546623,-92,-200,-200,-87,-89,-96,-200,-200,-200,-200
1526464551336,-200,-200,-89,-82,-89,-93,-90,-200,-200,-200
1526464551413,-200,-200,-88,-82,-90,-96,-200,-200,-200,-200
1526464551612,-200,-200,-200,-200,-90,-95,-200,-89,-200,-200
1526464556250,-200,-85,-200,-200,-200,-99,-200,-200,-200,-200
1526464556343,-94,-86,-89,-200,-93,-99,-200,-200,-200,-200
1526464556659,-93,-200,-88,-200,-200,-97,-200,-200,-200,-200
1526464561495,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526464561598,-93,-89,-200,-87,-90,-97,-200,-88,-200,-200
1526464566308,-96,-200,-200,-200,-89,-92,-200,-87,-200,-200
1526464566420,-96,-200,-200,-88,-200,-91,-200,-200,-200,-200
1526464566516,-96,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526464566632,-200,-200,-200,-200,-200,-92,-200,-88,-200,-200
1526464571224,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200
1526464571351,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200
1526464571431,-200,-200,-200,-200,-200,-106,-200,-200,-200,-200
1526464571545,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526464571658,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526464571737,-200,-91,-89,-200,-200,-96,-200,-200,-200,-200
1526464571855,-94,-200,-90,-200,-200,-99,-200,-200,-200,-200
1526464576271,-92,-200,-200,-200,-200,-98,-200,-200,-91,-200
1526464576548,-94,-200,-89,-200,-200,-96,-200,-200,-200,-200
1526464576695,-96,-92,-90,-86,-200,-97,-200,-87,-200,-200
1526464581311,-95,-200,-200,-200,-90,-90,-200,-200,-200,-200
1526464581423,-96,-200,-200,-86,-200,-92,-200,-200,-200,-200
1526464581551,-200,-200,-200,-86,-200,-92,-200,-87,-200,-200
1526464581653,-96,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526464586237,-95,-90,-90,-200,-200,-95,-200,-200,-200,-200
1526464586436,-95,-91,-89,-200,-200,-98,-200,-200,-200,-200
1526464591257,-92,-200,-200,-200,-200,-97,-200,-200,-200,-200
1526464591378,-93,-200,-200,-200,-200,-98,-200,-200,-200,-200
1526464591485,-93,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526464591680,-92,-91,-82,-86,-200,-94,-200,-200,-200,-200
1526464596383,-200,-92,-82,-86,-92,-92,-200,-200,-200,-200
1526464596594,-200,-200,-82,-85,-200,-94,-200,-200,-200,-200
1526464601251,-96,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526464601358,-200,-200,-86,-200,-200,-94,-200,-200,-200,-200
1526464601459,-96,-200,-85,-200,-200,-94,-200,-200,-200,-200
1526464601561,-97,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526464601667,-95,-89,-88,-85,-200,-93,-200,-200,-200,-100
1526464606555,-97,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526464606680,-200,-200,-86,-84,-200,-93,-90,-90,-200,-200
1526464611279,-200,-200,-86,-82,-200,-93,-200,-90,-200,-200
