,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:02:91,0c:73:eb:d0:7e:d0,74:da:da:c1:03:1d,74:da:da:c1:03:2d,0c:73:eb:d0:7f:00,74:da:da:98:74:74,74:da:da:c1:03:21,0c:73:eb:d0:13:98,74:da:da:c1:02:8d,74:da:da:c1:3a:8d,0c:73:eb:d0:11:d8,0c:73:eb:d0:13:d8,74:da:da:98:90:2c,0c:73:eb:d0:7c:40,0c:73:eb:d0:13:b0,0c:73:eb:d0:11:c8,74:da:da:c1:3d:2d,74:da:da:c0:f6:15,74:da:da:c0:d9:39,74:da:da:98:74:80,d8:15:0d:6c:13:98,0c:73:eb:d0:19:80,74:da:da:c1:3b:29,74:da:da:c1:6b:4d,74:da:da:c0:d6:ed,0c:73:eb:d0:76:18,74:da:da:98:66:cc,74:da:da:c1:3a:dd,74:da:da:98:74:34,0c:73:eb:d0:7c:28,74:da:da:c1:3b:79,74:da:da:c1:3a:81,74:da:da:c0:d7:11,74:da:da:c1:3c:11
1526443035158,-34,-41,-45,-52,-52,-56,-59,-61,-66,-66,-70,-71,-73,-74,-77,-79,-80,-81,-81,-82,-82,-83,-83,-84,-84,-85,-85,-87,-89,-90,-91,-200,-200,-200
1526443038188,-38,-42,-46,-56,-53,-57,-53,-65,-66,-73,-70,-72,-74,-76,-88,-79,-86,-86,-200,-81,-79,-83,-83,-84,-84,-200,-88,-87,-82,-200,-200,-200,-200,-200
1526443041201,-38,-42,-46,-56,-53,-57,-53,-65,-66,-73,-70,-72,-74,-76,-88,-79,-86,-86,-200,-81,-79,-83,-83,-84,-84,-200,-88,-87,-82,-200,-200,-200,-200,-200
1526443044231,-38,-42,-46,-56,-53,-57,-53,-65,-66,-73,-70,-72,-74,-76,-88,-79,-86,-86,-200,-81,-79,-83,-83,-84,-84,-200,-88,-87,-82,-200,-200,-200,-200,-200
1526443047262,-37,-41,-50,-55,-56,-59,-63,-66,-66,-69,-70,-74,-75,-77,-88,-200,-86,-86,-200,-77,-79,-200,-200,-200,-200,-200,-88,-81,-81,-200,-200,-75,-200,-200
1526443050301,-37,-41,-51,-55,-59,-60,-63,-72,-66,-67,-70,-75,-75,-77,-84,-200,-76,-86,-200,-79,-79,-200,-200,-200,-200,-200,-88,-81,-81,-200,-200,-75,-90,-200
1526443053344,-37,-41,-51,-55,-59,-60,-63,-72,-66,-67,-70,-75,-75,-77,-84,-200,-76,-86,-200,-79,-79,-200,-200,-200,-200,-200,-88,-81,-81,-200,-200,-75,-90,-200
1526443056367,-37,-41,-51,-55,-59,-60,-63,-72,-66,-67,-70,-75,-75,-77,-84,-200,-76,-86,-200,-79,-79,-200,-200,-200,-200,-200,-88,-81,-81,-200,-200,-75,-90,-200
1526443059403,-36,-41,-44,-55,-63,-59,-57,-73,-67,-66,-72,-74,-79,-79,-82,-200,-83,-86,-85,-79,-79,-200,-200,-88,-87,-200,-85,-79,-200,-200,-200,-78,-90,-200
1526443062437,-36,-41,-46,-54,-60,-59,-56,-74,-67,-65,-71,-74,-78,-79,-82,-200,-83,-86,-85,-79,-79,-200,-200,-88,-87,-200,-85,-79,-87,-89,-200,-75,-90,-200
1526443065470,-36,-41,-46,-54,-60,-59,-56,-74,-67,-65,-71,-74,-78,-79,-82,-200,-83,-86,-85,-79,-79,-200,-200,-88,-87,-200,-85,-79,-87,-89,-200,-75,-90,-200
1526443068505,-36,-41,-46,-54,-60,-59,-56,-74,-67,-65,-71,-74,-78,-79,-82,-200,-83,-86,-85,-79,-79,-200,-200,-88,-87,-200,-85,-79,-87,-89,-200,-75,-90,-200
1526443071542,-36,-43,-45,-54,-58,-59,-56,-75,-66,-66,-74,-74,-78,-77,-200,-200,-79,-83,-84,-77,-80,-200,-200,-200,-200,-200,-85,-79,-84,-89,-200,-76,-200,-200
1526443074575,-36,-39,-45,-54,-57,-59,-55,-77,-66,-66,-66,-74,-78,-76,-200,-85,-79,-83,-84,-78,-80,-200,-200,-200,-200,-200,-85,-79,-84,-89,-200,-77,-200,-94
1526443077607,-36,-39,-45,-54,-57,-59,-55,-77,-66,-66,-66,-74,-78,-76,-200,-85,-79,-83,-84,-78,-80,-200,-200,-200,-200,-200,-85,-79,-84,-89,-200,-77,-200,-94
1526443080636,-36,-39,-45,-54,-57,-59,-55,-77,-66,-66,-66,-74,-78,-76,-200,-85,-79,-83,-84,-78,-80,-200,-200,-200,-200,-200,-85,-79,-84,-89,-200,-77,-200,-94
1526443083677,-35,-40,-45,-56,-57,-58,-56,-78,-66,-64,-71,-73,-74,-78,-200,-85,-78,-86,-83,-79,-80,-200,-200,-200,-200,-200,-85,-82,-85,-200,-200,-77,-200,-94
1526443086712,-35,-40,-47,-55,-61,-58,-56,-78,-66,-66,-72,-73,-77,-78,-200,-85,-78,-86,-83,-80,-81,-200,-200,-200,-81,-200,-85,-80,-84,-200,-200,-76,-200,-94
1526443089742,-35,-40,-47,-55,-61,-58,-56,-78,-66,-66,-72,-73,-77,-78,-200,-85,-78,-86,-83,-80,-81,-200,-200,-200,-81,-200,-85,-80,-84,-200,-200,-76,-200,-94
1526443092777,-35,-40,-47,-55,-61,-58,-56,-78,-66,-66,-72,-73,-77,-78,-200,-85,-78,-86,-83,-80,-81,-200,-200,-200,-81,-200,-85,-80,-84,-200,-200,-76,-200,-94
1526443095818,-36,-41,-45,-56,-57,-59,-56,-73,-67,-66,-72,-74,-80,-78,-200,-200,-84,-85,-200,-81,-81,-200,-200,-200,-81,-200,-200,-80,-83,-200,-200,-77,-200,-200
