,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c0:d7:0d,0c:73:eb:d0:7a:68,ec:26:ca:0b:d4:1e,74:da:da:c1:3a:dd,0c:73:eb:d0:7c:28,0c:73:eb:d0:7f:18,74:da:da:c1:6b:4d,0c:73:eb:d0:11:e0,74:da:da:c1:3a:81,74:da:da:c0:d7:19,0c:73:eb:d0:7c:08,74:da:da:c0:f3:01,0c:73:eb:d0:7f:10,0c:73:eb:d0:11:f8,74:da:da:98:85:00,0c:73:eb:d0:13:a8,74:da:da:c1:48:bd,74:da:da:c0:d7:b9,74:da:da:c0:e2:d9,0c:73:eb:d0:7f:08,0c:73:eb:d0:7c:40,0c:73:eb:d0:7c:38,74:da:da:c1:56:a1,74:da:da:c1:56:ed,0c:73:eb:d0:13:d8,74:da:da:c0:f4:69,0c:73:eb:d0:7e:f8,d8:15:0d:6c:13:98,0c:73:eb:d0:13:d0,74:da:da:c1:3a:8d,0c:73:eb:d0:7c:00,74:da:da:c1:3c:f5,74:da:da:98:85:60,74:da:da:c1:3c:4d,74:da:da:c1:25:e5,0c:73:eb:d0:11:d8,0c:73:eb:d0:19:b8,74:da:da:c1:3c:55,74:da:da:c0:e0:69,74:da:da:c1:3c:51,74:da:da:98:91:d4,74:da:da:98:ea:50,0c:73:eb:d0:13:b8,74:da:da:98:92:14,74:da:da:c1:03:2d,0c:73:eb:d0:11:e8,74:da:da:c1:02:8d,0c:73:eb:d0:7e:e0
1526448689459,-34,-38,-42,-53,-56,-56,-57,-60,-61,-62,-64,-65,-66,-67,-67,-67,-68,-69,-69,-72,-72,-73,-75,-75,-75,-75,-77,-77,-78,-78,-79,-80,-84,-85,-85,-85,-85,-86,-86,-86,-87,-87,-88,-200,-200,-200,-200,-200
1526448692498,-50,-50,-49,-64,-64,-74,-69,-60,-69,-72,-76,-65,-66,-75,-67,-78,-80,-81,-81,-72,-80,-82,-86,-75,-75,-75,-77,-77,-78,-78,-79,-80,-84,-85,-85,-200,-85,-200,-86,-86,-87,-200,-200,-200,-200,-200,-200,-200
1526448695541,-50,-50,-49,-64,-64,-74,-69,-60,-69,-72,-76,-65,-66,-75,-67,-78,-80,-81,-81,-72,-80,-82,-86,-75,-75,-75,-77,-77,-78,-78,-79,-80,-84,-85,-85,-200,-85,-200,-86,-86,-87,-200,-200,-200,-200,-200,-200,-200
1526448698583,-50,-50,-49,-64,-64,-74,-69,-60,-69,-72,-76,-65,-66,-75,-67,-78,-80,-81,-81,-72,-80,-82,-86,-75,-75,-75,-77,-77,-78,-78,-79,-80,-84,-85,-85,-200,-85,-200,-86,-86,-87,-200,-200,-200,-200,-200,-200,-200
1526448701613,-56,-54,-50,-67,-66,-78,-78,-74,-71,-77,-75,-200,-77,-74,-200,-83,-84,-81,-82,-200,-81,-80,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448704645,-44,-43,-38,-55,-54,-66,-66,-67,-60,-65,-64,-74,-73,-65,-200,-83,-70,-81,-70,-200,-72,-80,-68,-200,-75,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526448707675,-44,-43,-38,-55,-54,-66,-66,-67,-60,-65,-64,-74,-73,-65,-200,-83,-70,-81,-70,-200,-72,-80,-68,-200,-75,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526448710709,-44,-43,-38,-55,-54,-66,-66,-67,-60,-65,-64,-74,-73,-65,-200,-83,-70,-81,-70,-200,-72,-80,-68,-200,-75,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526448713751,-50,-40,-34,-54,-51,-65,-68,-56,-62,-65,-63,-73,-73,-60,-81,-65,-70,-70,-73,-84,-72,-72,-70,-200,-74,-66,-75,-75,-82,-81,-81,-200,-200,-200,-87,-200,-200,-200,-200,-200,-81,-200,-200,-78,-88,-91,-200,-200
