,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:E8,78:A5:04:41:EE:01,78:A5:04:41:EB:B1,78:A5:04:41:EB:E1,78:A5:04:41:EB:D9,78:A5:04:41:E5:67
1526446611355,-84,-87,-86,-93,-200,-200
1526446616356,-200,-200,-92,-200,-90,-200
1526446616414,-200,-200,-91,-200,-92,-94
1526446616542,-200,-200,-90,-200,-92,-93
1526446616673,-200,-200,-200,-95,-90,-91
1526446616808,-200,-200,-200,-94,-200,-92
1526446621362,-200,-93,-87,-85,-200,-200
1526446621625,-86,-200,-88,-200,-200,-200
1526446621727,-89,-200,-89,-86,-88,-200
1526446626752,-82,-83,-200,-200,-90,-200
1526446631439,-200,-200,-200,-200,-92,-200
1526446631545,-200,-200,-92,-95,-90,-93
1526446631638,-200,-200,-200,-95,-90,-92
1526446631725,-200,-200,-200,-95,-91,-93
1526446631840,-86,-200,-200,-84,-91,-200
1526446636612,-82,-200,-200,-84,-200,-200
1526446636724,-87,-200,-200,-84,-200,-200
1526446636826,-87,-86,-87,-84,-89,-200
1526446641634,-200,-84,-200,-200,-87,-200
1526446646352,-200,-200,-91,-93,-92,-200
1526446646458,-200,-200,-90,-92,-91,-96
1526446646701,-200,-200,-91,-94,-200,-200
1526446646807,-200,-94,-90,-93,-200,-200
1526446651408,-86,-200,-89,-85,-200,-200
1526446651508,-200,-93,-88,-200,-200,-200
1526446651724,-200,-200,-88,-84,-200,-200
1526446651852,-200,-200,-89,-200,-89,-200
1526446661391,-200,-200,-90,-200,-91,-200
1526446661491,-200,-200,-90,-200,-89,-200
1526446661604,-200,-200,-90,-94,-200,-91
1526446661700,-200,-200,-200,-94,-91,-92
1526446661809,-200,-92,-200,-96,-200,-93
1526446666383,-200,-200,-200,-84,-95,-200
1526446666474,-200,-200,-89,-84,-200,-200
1526446666670,-84,-200,-89,-84,-200,-200
