,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:B7,78:A5:04:41:E9:E0,78:A5:04:41:EB:85
1526456383950,-90,-96,-200
1526456396135,-200,-90,-94
1526456405817,-200,-200,-94
1526456405921,-200,-200,-91
1526456406136,-200,-88,-92
1526456411095,-200,-200,-89
1526456411199,-200,-200,-82
1526456420770,-200,-91,-93
1526456420969,-200,-91,-93
1526456421066,-200,-92,-90
1526456421200,-200,-200,-90
1526456425687,-200,-91,-89
1526456425888,-200,-90,-200
1526456426014,-200,-90,-87
1526456430957,-200,-85,-87
1526456431165,-200,-200,-87
1526456435751,-200,-94,-95
1526456435868,-96,-93,-92
1526456435979,-95,-200,-95
1526456436179,-200,-200,-95
1526456440683,-200,-200,-88
1526456440805,-200,-200,-85
1526456441030,-200,-200,-88
1526456441121,-200,-200,-88
