,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88
,0c:73:eb:d0:19:b0,74:da:da:c1:3b:e9,74:da:da:c1:61:69,74:da:da:c1:3c:6d,0c:73:eb:d0:2a:38,74:da:da:c1:3b:ea,74:da:da:98:db:44,0c:73:eb:d0:2a:20,0c:73:eb:d0:76:40,74:da:da:c1:3c:6e,0c:73:eb:d0:11:d0,74:da:da:c1:4a:a5,74:da:da:98:8f:64,74:da:da:c1:3b:4d,0c:73:eb:d0:11:b0,0c:73:eb:d0:76:20,74:da:da:c1:3c:91,74:da:da:c0:d7:09,0c:73:eb:d0:76:58,74:da:da:98:8f:65,74:da:da:c1:3b:9d,74:da:da:c1:4a:7d,74:da:da:c1:61:6a,74:da:da:c1:3c:d1,0c:73:eb:d0:2a:28,0c:73:eb:d0:0e:d0,74:da:da:c0:d7:ed,74:da:da:c1:14:99,74:da:da:98:7a:6c,0c:73:eb:d0:11:b8,74:da:da:98:db:45,74:da:da:98:8f:30,74:da:da:c1:3b:4e,0c:73:eb:d0:19:a8,74:da:da:c1:3b:9e,74:da:da:c1:3b:45,74:da:da:c1:17:75,74:da:da:c1:3d:09,74:da:da:98:7a:50,74:da:da:c1:3c:ad,74:da:da:98:ea:4d,74:da:da:c0:d8:7d,0c:73:eb:d0:7e:d8,0c:73:eb:d0:2a:48,74:da:da:98:ea:4c,74:da:da:c1:4a:c9,0c:73:eb:d0:0e:c0,74:da:da:c1:4b:59,74:da:da:c0:e0:71,74:da:da:98:7a:60,74:da:da:98:7a:4c,0c:73:eb:d0:76:48,74:da:da:c1:4a:a6,0c:73:eb:d0:76:30,74:da:da:98:ea:5c,0c:73:eb:d0:19:98,0c:73:eb:d0:13:c0,74:da:da:c1:3c:e1,0c:73:eb:d0:2a:18,74:da:da:c1:3c:92,0c:73:eb:d0:2a:98,74:da:da:c1:3b:85,74:da:da:98:8f:3c,74:da:da:98:7a:68,0c:73:eb:d0:2a:58,74:da:da:98:8f:34,74:da:da:c1:03:61,74:da:da:c1:3b:cd,74:da:da:c1:4b:01,bc:d1:77:5f:6a:b4,74:da:da:c1:47:cd,74:da:da:98:8d:78,0c:73:eb:d0:7c:48,74:da:da:c0:f2:fd,74:da:da:c1:3c:51,74:da:da:c1:3c:8d,74:da:da:c0:f3:59,74:da:da:c1:02:95,74:da:da:c1:3c:d2,74:da:da:98:74:94,0c:73:eb:d0:2a:88
1526443304726,-36,-40,-45,-46,-50,-53,-54,-59,-61,-61,-63,-63,-63,-66,-66,-67,-67,-67,-69,-70,-71,-71,-72,-72,-73,-74,-74,-76,-77,-78,-79,-79,-80,-82,-83,-85,-85,-86,-88,-88,-90,-90,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443307463,-33,-45,-52,-43,-49,-56,-70,-57,-59,-55,-65,-53,-68,-69,-62,-59,-56,-59,-69,-69,-67,-68,-73,-68,-68,-74,-200,-200,-200,-200,-84,-79,-80,-72,-85,-85,-200,-200,-82,-200,-200,-200,-90,-73,-56,-79,-83,-85,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443307774,-33,-45,-52,-43,-49,-56,-70,-57,-59,-55,-65,-53,-68,-69,-62,-59,-56,-59,-69,-69,-67,-68,-73,-68,-68,-74,-200,-200,-200,-200,-84,-79,-80,-72,-85,-85,-200,-200,-82,-200,-200,-200,-90,-73,-56,-79,-83,-85,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443310474,-32,-45,-61,-42,-47,-55,-69,-63,-59,-57,-65,-53,-68,-73,-65,-61,-59,-58,-200,-72,-65,-68,-75,-65,-69,-74,-200,-200,-200,-200,-86,-200,-200,-72,-84,-200,-200,-200,-82,-200,-200,-200,-200,-73,-56,-79,-83,-85,-89,-88,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443310808,-32,-45,-61,-42,-47,-55,-69,-63,-59,-57,-65,-53,-68,-73,-65,-61,-59,-58,-200,-72,-65,-68,-75,-65,-69,-74,-200,-200,-200,-200,-86,-200,-200,-72,-84,-200,-200,-200,-82,-200,-200,-200,-200,-73,-56,-79,-83,-85,-89,-88,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443313523,-33,-49,-51,-53,-47,-54,-68,-67,-58,-56,-59,-64,-67,-63,-64,-64,-58,-63,-200,-78,-65,-68,-70,-63,-69,-81,-200,-200,-200,-89,-84,-200,-84,-72,-83,-85,-200,-200,-72,-81,-88,-200,-200,-77,-56,-79,-83,-85,-89,-88,-86,-85,-88,-90,-91,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443313858,-33,-49,-51,-53,-47,-54,-68,-67,-58,-56,-59,-64,-67,-63,-64,-64,-58,-63,-200,-78,-65,-68,-70,-63,-69,-81,-200,-200,-200,-89,-84,-200,-84,-72,-83,-85,-200,-200,-72,-81,-88,-200,-200,-77,-56,-79,-83,-85,-89,-88,-86,-85,-88,-90,-91,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443316530,-29,-36,-64,-51,-58,-50,-67,-67,-69,-51,-60,-56,-68,-63,-64,-57,-55,-63,-200,-74,-73,-68,-73,-61,-76,-78,-200,-200,-200,-89,-85,-75,-82,-200,-80,-85,-200,-200,-72,-81,-75,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-85,-88,-90,-91,-92,-93,-85,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443316898,-29,-36,-64,-51,-58,-50,-67,-67,-69,-51,-60,-56,-68,-63,-64,-57,-55,-63,-200,-74,-73,-68,-73,-61,-76,-78,-200,-200,-200,-89,-85,-75,-82,-200,-80,-85,-200,-200,-72,-81,-75,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-85,-88,-90,-91,-92,-93,-85,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
