,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:19:b0,74:da:da:c1:3c:6d,74:da:da:c1:3b:e9,74:da:da:c1:3c:91,74:da:da:c1:3b:ea,74:da:da:98:8f:65,0c:73:eb:d0:2a:38,74:da:da:c1:61:69,0c:73:eb:d0:76:20,0c:73:eb:d0:2a:20,74:da:da:c1:3c:6e,74:da:da:c1:4a:7d,0c:73:eb:d0:11:d0,0c:73:eb:d0:19:a8,0c:73:eb:d0:76:40,74:da:da:c1:3b:9d,74:da:da:c1:4a:a5,0c:73:eb:d0:2a:28,0c:73:eb:d0:0e:d0,74:da:da:c0:d7:09,0c:73:eb:d0:76:58,74:da:da:c1:4a:c9,74:da:da:c1:61:6a,0c:73:eb:d0:11:b0,74:da:da:c1:3c:d1,74:da:da:98:db:44,0c:73:eb:d0:19:98,74:da:da:c1:3b:4d,74:da:da:c1:3b:45,0c:73:eb:d0:2a:48,74:da:da:c1:3b:4e,74:da:da:98:db:45,74:da:da:98:8f:64,74:da:da:c1:3b:9e,74:da:da:c1:3c:92,74:da:da:98:7a:4c,74:da:da:c0:d7:ed,0c:73:eb:d0:7e:d8,74:da:da:98:7a:60,0c:73:eb:d0:11:b8,bc:d1:77:5f:6a:b4,74:da:da:c1:3b:65,74:da:da:c1:3b:49,74:da:da:98:ea:4d,74:da:da:c0:f2:fd,74:da:da:98:8f:34,74:da:da:98:ea:4c,74:da:da:c1:3c:ad,74:da:da:c1:3c:e1,74:da:da:98:7a:50,74:da:da:c1:14:99,74:da:da:c0:e0:71,74:da:da:c1:3c:8d,74:da:da:98:8f:30,0c:73:eb:d0:2a:98,74:da:da:98:ea:5c,74:da:da:98:7a:68,74:da:da:98:8d:78,74:da:da:c1:3b:85,74:da:da:c1:17:75,74:da:da:c1:3b:cd,0c:73:eb:d0:7c:48,0c:73:eb:d0:0e:c0,74:da:da:98:7a:6c,74:da:da:c1:02:95,0c:73:eb:d0:2a:88,74:da:da:c1:47:cd,0c:73:eb:d0:2a:18,0c:73:eb:d0:2a:58,0c:73:eb:d0:13:c0,74:da:da:c1:3b:79,74:da:da:c1:4b:01
1526443381586,-42,-43,-52,-55,-56,-57,-59,-60,-62,-62,-64,-65,-67,-68,-69,-69,-71,-72,-72,-73,-73,-74,-75,-75,-76,-76,-76,-77,-78,-78,-80,-81,-81,-83,-83,-83,-85,-86,-86,-86,-87,-87,-88,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443384604,-38,-46,-40,-65,-62,-62,-65,-63,-65,-72,-71,-200,-72,-73,-72,-74,-71,-72,-200,-200,-70,-200,-72,-77,-79,-70,-200,-66,-200,-83,-200,-200,-81,-86,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443387655,-41,-50,-43,-65,-61,-61,-64,-63,-67,-66,-68,-81,-72,-74,-75,-74,-67,-71,-200,-72,-74,-80,-73,-74,-79,-72,-200,-67,-87,-86,-200,-200,-79,-86,-200,-200,-85,-84,-200,-91,-200,-200,-200,-200,-200,-77,-77,-84,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443390702,-41,-50,-44,-70,-61,-79,-63,-73,-69,-66,-69,-81,-76,-74,-75,-200,-67,-72,-200,-73,-71,-82,-62,-74,-200,-72,-200,-68,-87,-86,-200,-200,-79,-200,-87,-200,-88,-84,-200,-91,-200,-200,-200,-89,-200,-77,-77,-84,-89,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443393745,-42,-52,-44,-69,-60,-80,-65,-69,-59,-73,-69,-83,-69,-74,-76,-80,-79,-74,-200,-74,-73,-82,-78,-200,-79,-71,-200,-67,-200,-200,-200,-200,-80,-200,-87,-200,-87,-80,-200,-200,-200,-200,-200,-89,-200,-200,-76,-200,-200,-87,-90,-89,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443396784,-40,-48,-44,-68,-65,-79,-75,-69,-61,-73,-66,-86,-70,-74,-76,-80,-67,-74,-77,-73,-73,-83,-76,-200,-79,-72,-200,-67,-87,-200,-200,-200,-80,-86,-200,-200,-87,-80,-200,-200,-200,-200,-200,-200,-200,-82,-76,-200,-200,-200,-90,-89,-90,-90,-87,-90,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443399825,-41,-47,-44,-71,-65,-80,-61,-73,-69,-79,-68,-86,-78,-74,-76,-86,-67,-75,-77,-75,-73,-83,-66,-200,-80,-71,-200,-66,-87,-200,-200,-200,-80,-85,-88,-200,-88,-85,-200,-200,-200,-200,-200,-88,-200,-82,-76,-200,-200,-200,-90,-89,-90,-90,-87,-90,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443402880,-42,-47,-44,-64,-63,-63,-63,-75,-61,-79,-71,-200,-73,-78,-76,-86,-71,-74,-200,-72,-77,-200,-76,-74,-82,-71,-200,-66,-200,-200,-200,-200,-77,-85,-88,-200,-88,-85,-200,-200,-200,-200,-200,-89,-200,-82,-78,-200,-90,-200,-90,-88,-200,-200,-200,-200,-200,-91,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443405947,-41,-47,-46,-66,-62,-63,-63,-70,-61,-200,-69,-81,-70,-78,-76,-81,-79,-73,-86,-68,-77,-200,-78,-76,-82,-71,-200,-65,-200,-82,-200,-200,-77,-86,-88,-200,-200,-200,-200,-89,-200,-200,-200,-89,-200,-200,-75,-200,-90,-200,-90,-88,-90,-200,-200,-200,-200,-91,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
