,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,NETWORK,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c1:3b:e9,74:da:da:c1:3c:6d,0c:73:eb:d0:2a:38,74:da:da:98:8f:64,74:da:da:c1:3b:ea,74:da:da:c1:3c:91,74:da:da:c1:61:69,74:da:da:98:ea:4d,74:da:da:c1:61:6a,74:da:da:98:8f:65,74:da:da:c1:3c:6e,74:da:da:c1:3b:4d,74:da:da:c1:3b:45,0c:73:eb:d0:2a:20,74:da:da:98:db:44,0c:73:eb:d0:19:a8,74:da:da:c0:d7:09,74:da:da:98:ea:4c,0c:73:eb:d0:11:d0,0c:73:eb:d0:2a:28,0c:73:eb:d0:7e:d8,0c:73:eb:d0:76:40,0c:73:eb:d0:19:b0,74:da:da:c1:3c:d1,74:da:da:98:db:45,74:da:da:c1:4a:7d,74:da:da:98:8f:30,74:da:da:c1:3c:ad,74:da:da:c1:4a:a5,74:da:da:c1:3b:4e,74:da:da:98:7a:68,0c:73:eb:d0:76:58,0c:73:eb:d0:76:20,74:da:da:c0:e0:71,74:da:da:c1:47:cd,74:da:da:c1:4b:59,74:da:da:c1:02:95,74:da:da:c1:17:75,74:da:da:98:7a:4c,74:da:da:c1:3c:e1,74:da:da:c1:4a:c9,74:da:da:98:8f:31,0c:73:eb:d0:11:b0,74:da:da:c1:3b:85,74:da:da:98:7a:6c,74:da:da:98:7a:50,74:da:da:c1:14:99,0c:73:eb:d0:0e:d0,0c:73:eb:d0:7c:48,0c:73:eb:d0:2a:98,74:da:da:98:8f:3c,74:da:da:c1:3b:9e,bc:d1:77:5f:6a:b4,74:da:da:c1:3b:9d,0c:73:eb:d0:2a:48,0c:73:eb:d0:76:48,74:da:da:c1:03:61,74:da:da:c1:3b:cd,0c:73:eb:d0:0e:c0,74:da:da:c0:d7:ed,0c:73:eb:d0:7e:f0,74:da:da:c1:4a:a6,74:da:da:c1:3b:19,74:da:da:c1:3c:92,74:da:da:98:8f:34,74:da:da:c1:3c:8d,74:da:da:c1:3c:51,74:da:da:c1:3d:05,0c:73:eb:d0:19:98,74:da:da:c1:3c:d2,74:da:da:98:7a:60,74:da:da:c1:3b:79,74:da:da:98:74:94,0c:73:eb:d0:13:c0,74:da:da:c1:3b:49,0c:73:eb:d0:76:30,74:da:da:c1:3b:69
1526443615827,-36,-41,-48,-55,-56,-56,-56,-56,-57,-57,-59,-59,-59,-60,-62,-63,-63,-64,-66,-67,-67,-68,-69,-71,-74,-76,-78,-79,-79,-80,-80,-80,-81,-81,-81,-83,-83,-83,-84,-85,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443618886,-47,-59,-60,-76,-54,-72,-66,-56,-54,-82,-66,-63,-87,-60,-88,-90,-73,-85,-59,-89,-67,-89,-40,-62,-86,-200,-78,-79,-75,-86,-200,-89,-69,-81,-81,-83,-83,-83,-84,-85,-86,-88,-76,-79,-84,-86,-87,-89,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443621913,-49,-52,-61,-76,-53,-64,-77,-200,-74,-83,-69,-65,-85,-200,-73,-90,-69,-85,-60,-78,-200,-71,-41,-68,-86,-200,-200,-86,-76,-85,-200,-82,-69,-200,-200,-200,-200,-85,-200,-200,-200,-200,-78,-79,-84,-86,-88,-86,-91,-91,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443624929,-52,-58,-71,-72,-55,-72,-61,-200,-73,-80,-61,-62,-85,-81,-72,-81,-69,-85,-62,-78,-77,-68,-40,-65,-86,-200,-200,-86,-78,-85,-200,-87,-70,-200,-200,-200,-200,-87,-200,-200,-200,-200,-78,-79,-84,-86,-88,-86,-91,-91,-89,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443627957,-41,-22,-60,-71,-52,-72,-52,-200,-53,-53,-55,-57,-200,-81,-65,-81,-60,-200,-52,-75,-77,-72,-38,-65,-80,-78,-200,-200,-67,-78,-200,-87,-63,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-86,-90,-74,-82,-86,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443631008,-32,-35,-55,-61,-52,-59,-64,-89,-52,-52,-57,-49,-69,-200,-70,-72,-55,-200,-57,-76,-200,-66,-35,-59,-74,-76,-200,-77,-69,-78,-200,-63,-55,-200,-79,-85,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-83,-200,-71,-82,-86,-90,-90,-80,-80,-83,-89,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443634017,-33,-34,-55,-79,-52,-74,-52,-89,-73,-78,-54,-50,-68,-69,-62,-82,-57,-200,-46,-74,-200,-65,-31,-58,-75,-72,-200,-77,-69,-79,-200,-81,-56,-84,-79,-85,-200,-200,-200,-90,-200,-200,-73,-70,-200,-82,-200,-80,-200,-80,-200,-79,-200,-71,-200,-200,-91,-200,-90,-80,-83,-90,-88,-90,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443637069,-34,-34,-51,-79,-52,-61,-53,-89,-74,-77,-54,-51,-68,-69,-60,-82,-61,-200,-47,-72,-73,-62,-32,-66,-74,-76,-82,-200,-200,-55,-200,-68,-55,-84,-79,-200,-89,-200,-200,-90,-200,-200,-69,-200,-200,-80,-77,-76,-200,-84,-200,-79,-200,-200,-200,-200,-91,-200,-90,-76,-200,-90,-88,-90,-77,-78,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443640137,-35,-34,-50,-58,-53,-58,-55,-89,-73,-53,-53,-50,-68,-61,-59,-71,-59,-200,-46,-71,-73,-62,-33,-63,-75,-74,-82,-74,-200,-78,-85,-65,-56,-84,-77,-200,-89,-200,-200,-90,-200,-200,-67,-200,-200,-80,-77,-76,-200,-81,-200,-79,-81,-67,-200,-200,-91,-200,-90,-76,-200,-90,-88,-90,-77,-78,-85,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
