,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:76:20,74:da:da:98:db:44,74:da:da:c1:3b:45,74:da:da:c1:3c:6d,0c:73:eb:d0:76:58,0c:73:eb:d0:2a:28,74:da:da:c1:3b:e9,74:da:da:98:db:45,0c:73:eb:d0:19:b0,74:da:da:98:8f:64,74:da:da:c1:3b:85,74:da:da:c1:61:69,74:da:da:c1:17:75,0c:73:eb:d0:19:a8,74:da:da:98:ea:4c,74:da:da:98:8f:34,0c:73:eb:d0:2a:38,74:da:da:98:8f:65,74:da:da:c1:61:6a,74:da:da:c1:3b:4d,0c:73:eb:d0:19:98,0c:73:eb:d0:2a:98,74:da:da:c0:d7:09,0c:73:eb:d0:7e:d8,74:da:da:c1:14:99,74:da:da:c1:3c:ad,74:da:da:98:ea:4d,0c:73:eb:d0:2a:20,0c:73:eb:d0:0e:c0,74:da:da:c1:3c:91,0c:73:eb:d0:2a:88,74:da:da:c1:3c:6e,74:da:da:c1:3c:d1,0c:73:eb:d0:11:d0,74:da:da:98:8f:30,74:da:da:c1:3b:86,74:da:da:c0:d8:25,74:da:da:c0:d8:59,74:da:da:c1:3b:46,74:da:da:c1:3b:9e,74:da:da:98:8f:31,74:da:da:c1:3b:4e,74:da:da:98:7a:68,74:da:da:c1:3b:ea,74:da:da:c1:4b:01,0c:73:eb:d0:76:48,0c:73:eb:d0:76:40,0c:73:eb:d0:7c:10,74:da:da:98:8d:78,74:da:da:c1:3b:65,74:da:da:c1:14:9a,74:da:da:98:ea:5c,0c:73:eb:d0:7c:48,74:da:da:c1:3b:79,0c:73:eb:d0:2a:18,74:da:da:c1:3c:8d,74:da:da:c1:4b:05,74:da:da:c0:f2:fd,0c:73:eb:d0:7e:e0,74:da:da:c1:3d:05,74:da:da:c0:d7:b9,74:da:da:c1:47:cd,74:da:da:98:8f:3c,0c:73:eb:d0:0e:d0,74:da:da:c1:3c:cd,74:da:da:c1:4a:c9,74:da:da:98:8f:35,74:da:da:c1:3b:cd,74:da:da:c1:3c:e1,0c:73:eb:d0:2a:48,0c:73:eb:d0:0e:b8,74:da:da:c0:f3:05,74:da:da:c0:d9:39,74:da:da:c1:4a:7d,74:da:da:c1:3b:49,74:da:da:c1:3d:09,0c:73:eb:d0:76:38,0c:73:eb:d0:76:30,74:da:da:c1:04:4d,74:da:da:c1:3b:9d,74:da:da:c1:4b:59,74:da:da:c0:f6:15,0c:73:eb:d0:0e:a8,0c:73:eb:d0:7e:f8,bc:d1:77:5f:6a:b4,74:da:da:c0:e0:71,74:da:da:c1:3b:69,74:da:da:c0:d7:ed,74:da:da:c1:03:61,74:da:da:98:7a:50,74:da:da:c1:4a:a5,74:da:da:c1:02:95,74:da:da:c1:3c:51,0c:73:eb:d0:76:50,0c:73:eb:d0:2a:58,74:da:da:98:92:14,74:da:da:c0:f4:69,74:da:da:c0:d7:81
1526448373327,-28,-42,-45,-46,-48,-49,-50,-51,-52,-52,-52,-57,-59,-65,-66,-67,-67,-68,-68,-68,-68,-68,-69,-71,-73,-73,-74,-74,-75,-76,-76,-77,-77,-78,-78,-79,-79,-81,-83,-84,-84,-85,-87,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448376374,-31,-28,-46,-47,-47,-53,-62,-50,-56,-47,-52,-67,-65,-63,-58,-71,-67,-69,-86,-68,-68,-68,-64,-75,-65,-72,-75,-76,-69,-76,-72,-76,-77,-78,-78,-78,-79,-81,-83,-85,-84,-85,-87,-88,-88,-71,-71,-72,-76,-81,-83,-83,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448379378,-23,-45,-52,-45,-57,-47,-62,-58,-56,-47,-54,-67,-65,-62,-63,-67,-200,-68,-85,-68,-200,-76,-68,-66,-65,-75,-75,-76,-70,-200,-72,-75,-70,-70,-200,-85,-200,-200,-85,-85,-200,-200,-200,-200,-200,-81,-81,-72,-76,-81,-83,-83,-86,-73,-74,-77,-78,-80,-82,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448382416,-29,-31,-52,-43,-48,-48,-62,-58,-57,-45,-55,-200,-67,-62,-63,-67,-200,-68,-81,-63,-200,-90,-71,-66,-54,-75,-76,-200,-70,-80,-200,-77,-74,-70,-200,-85,-200,-200,-85,-200,-200,-200,-200,-84,-200,-81,-70,-200,-200,-200,-88,-200,-200,-73,-74,-77,-78,-80,-82,-85,-90,-70,-73,-85,-88,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448385429,-27,-32,-57,-39,-50,-47,-63,-50,-53,-44,-55,-200,-64,-62,-63,-67,-67,-69,-84,-67,-200,-90,-71,-85,-58,-75,-72,-200,-70,-80,-200,-75,-74,-70,-200,-82,-200,-200,-85,-200,-200,-85,-200,-69,-200,-81,-70,-200,-200,-200,-88,-200,-200,-77,-74,-77,-78,-80,-82,-85,-90,-70,-73,-85,-88,-88,-91,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448388478,-26,-44,-54,-45,-76,-65,-52,-52,-48,-62,-55,-200,-65,-62,-60,-83,-70,-72,-84,-67,-200,-76,-72,-71,-65,-79,-72,-82,-71,-77,-200,-76,-74,-70,-86,-82,-80,-200,-200,-200,-90,-83,-200,-69,-200,-200,-65,-200,-200,-88,-88,-200,-200,-69,-200,-200,-200,-200,-82,-200,-200,-70,-73,-85,-88,-88,-91,-85,-83,-83,-84,-84,-85,-87,-89,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448391529,-24,-43,-54,-43,-52,-65,-57,-54,-51,-62,-51,-200,-66,-62,-61,-67,-71,-70,-86,-72,-200,-76,-73,-65,-66,-79,-73,-82,-71,-76,-200,-78,-76,-87,-86,-200,-79,-200,-90,-200,-90,-83,-200,-87,-200,-78,-65,-200,-200,-88,-81,-200,-200,-69,-200,-200,-200,-200,-82,-200,-200,-200,-83,-200,-200,-200,-200,-200,-83,-83,-84,-84,-85,-78,-89,-92,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448394590,-29,-39,-58,-39,-50,-48,-66,-57,-67,-46,-73,-200,-66,-62,-62,-68,-71,-67,-81,-72,-200,-81,-71,-65,-55,-79,-76,-83,-71,-76,-77,-57,-76,-87,-86,-200,-82,-200,-90,-200,-90,-83,-200,-83,-200,-75,-69,-200,-77,-88,-81,-200,-200,-69,-200,-200,-200,-82,-82,-200,-200,-200,-83,-200,-200,-200,-200,-200,-83,-79,-84,-81,-85,-78,-89,-80,-88,-86,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448397603,-27,-33,-55,-40,-51,-54,-57,-62,-54,-47,-55,-200,-63,-69,-63,-65,-65,-68,-81,-70,-76,-200,-64,-71,-63,-200,-78,-200,-200,-75,-83,-75,-87,-200,-200,-84,-78,-200,-200,-200,-90,-85,-200,-69,-200,-74,-200,-200,-200,-81,-200,-200,-200,-74,-200,-200,-200,-82,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-79,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
