,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D013A8,WHU-2018,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:76:48,74:da:da:c1:3c:8d,74:da:da:98:8f:30,74:da:da:98:8f:35,74:da:da:c1:3c:ce,74:da:da:98:8f:34,74:da:da:98:ea:4d,74:da:da:c0:d7:dd,74:da:da:c1:3c:cd,74:da:da:98:ea:4c,74:da:da:c0:e0:69,74:da:da:c1:3b:6a,0c:73:eb:d0:2a:58,0c:73:eb:d0:7e:e8,0c:73:eb:d0:19:98,74:da:da:c1:3c:4d,0c:73:eb:d0:76:58,74:da:da:c0:d8:05,0c:73:eb:d0:19:a8,74:da:da:c1:56:ed,74:da:da:c1:3c:8e,0c:73:eb:d0:76:38,74:da:da:98:8f:64,0c:73:eb:d0:2a:10,74:da:da:c1:3b:cd,74:da:da:c1:3b:65,0c:73:eb:d0:7c:38,c0:61:18:93:35:28,74:da:da:c1:3b:4d,74:da:da:c1:3b:69,74:da:da:98:db:44,0c:73:eb:d0:2a:98,74:da:da:98:ea:5c,0c:73:eb:d0:19:a0,0c:73:eb:d0:2a:30,74:da:da:98:8f:31,74:da:da:c1:3b:ca,74:da:da:98:8f:65,74:da:da:98:92:14,74:da:da:c1:3b:ce,74:da:da:98:ea:5d,74:da:da:98:7a:4c,74:da:da:c1:3b:c9,0c:73:eb:d0:19:b8,0c:73:eb:d0:0e:c0,74:da:da:c0:d7:e9,74:da:da:c1:3d:35,74:da:da:c1:3d:85,74:da:da:98:8f:3c,74:da:da:c1:17:75,74:da:da:c0:d8:59,0c:73:eb:d0:2a:18,74:da:da:c1:3d:09,0c:73:eb:d0:7e:f0,74:da:da:c1:3b:66,0c:73:eb:d0:76:30,0c:73:eb:d0:13:a8,0c:73:eb:d0:11:e0,0c:73:eb:d0:19:88,0c:73:eb:d0:0e:d8,74:da:da:c1:3c:6d,74:da:da:c1:3d:0d,0c:73:eb:d0:0e:b0,74:da:da:c1:61:69,74:da:da:c1:3b:85,74:da:da:c0:d7:c5,0c:73:eb:d0:0e:98,74:da:da:c1:3b:e9,74:da:da:c1:3d:05,74:da:da:c1:3c:55,c0:61:18:93:3e:54,0c:73:eb:d0:2a:48,0c:73:eb:d0:19:b0,74:da:da:c0:d7:19,0c:73:eb:d0:2a:28,0c:73:eb:d0:76:40,0c:73:eb:d0:7e:e0,74:da:da:c1:3c:e1,74:da:da:c0:e0:71,74:da:da:c0:e0:81,0c:73:eb:d0:76:20,74:da:da:c0:d8:25,0c:73:eb:d0:19:90,74:da:da:c1:04:45,0c:73:eb:d0:0e:90,0c:73:eb:d0:7f:10,74:da:da:c1:3b:86,74:da:da:c0:e2:d9,0c:73:eb:d0:11:e8,74:da:da:c1:25:9d,74:da:da:98:7a:68
1526452782504,-26,-47,-48,-52,-52,-52,-52,-52,-53,-55,-55,-55,-56,-57,-59,-60,-61,-61,-62,-63,-64,-65,-65,-66,-67,-68,-69,-70,-71,-73,-75,-76,-76,-77,-78,-79,-79,-82,-82,-84,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452785513,-32,-43,-51,-54,-76,-46,-75,-200,-48,-54,-67,-200,-56,-63,-66,-200,-48,-63,-54,-200,-66,-75,-65,-48,-67,-68,-65,-70,-82,-73,-75,-76,-76,-77,-78,-78,-80,-80,-200,-200,-200,-200,-58,-64,-68,-70,-73,-73,-73,-73,-74,-76,-78,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452788519,-30,-57,-51,-53,-77,-53,-53,-62,-50,-59,-57,-200,-70,-63,-66,-200,-55,-63,-56,-59,-65,-75,-82,-56,-200,-84,-89,-200,-82,-81,-200,-86,-69,-74,-200,-80,-81,-79,-200,-200,-200,-200,-74,-55,-68,-83,-73,-88,-73,-73,-77,-89,-81,-91,-90,-64,-67,-81,-83,-86,-86,-86,-87,-87,-87,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452791524,-27,-44,-53,-58,-70,-51,-79,-61,-51,-59,-57,-200,-62,-70,-60,-68,-68,-68,-54,-55,-55,-200,-82,-53,-69,-84,-67,-200,-200,-81,-200,-86,-69,-71,-200,-80,-81,-80,-200,-200,-200,-200,-64,-62,-75,-83,-200,-88,-200,-200,-77,-89,-81,-77,-89,-64,-67,-81,-83,-77,-86,-86,-87,-87,-87,-88,-89,-81,-85,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452794529,-26,-35,-51,-55,-69,-53,-55,-53,-49,-59,-61,-200,-53,-57,-59,-68,-70,-65,-62,-65,-59,-70,-62,-50,-69,-84,-67,-65,-200,-81,-75,-67,-69,-71,-200,-55,-81,-56,-200,-200,-200,-200,-64,-58,-78,-83,-77,-78,-200,-74,-77,-83,-81,-77,-89,-66,-65,-81,-83,-77,-86,-86,-87,-87,-87,-88,-89,-81,-85,-92,-70,-77,-83,-83,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452797587,-26,-36,-52,-56,-71,-59,-76,-53,-50,-55,-66,-200,-54,-50,-59,-68,-49,-66,-62,-64,-59,-70,-62,-51,-69,-200,-70,-65,-70,-77,-75,-73,-200,-78,-200,-82,-200,-82,-200,-200,-200,-200,-65,-57,-74,-71,-81,-78,-200,-74,-68,-83,-200,-69,-89,-66,-65,-75,-200,-77,-200,-200,-200,-200,-200,-200,-80,-81,-85,-92,-70,-77,-83,-83,-83,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452800642,-25,-36,-53,-56,-71,-57,-76,-53,-57,-55,-66,-200,-54,-51,-64,-79,-55,-63,-59,-73,-60,-71,-62,-52,-200,-200,-70,-65,-71,-77,-75,-73,-200,-78,-200,-56,-200,-81,-200,-200,-86,-200,-63,-57,-74,-71,-81,-78,-67,-74,-58,-83,-200,-69,-87,-66,-66,-80,-200,-200,-200,-200,-84,-200,-200,-200,-80,-200,-200,-200,-70,-76,-83,-83,-88,-76,-80,-83,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452803650,-26,-36,-50,-56,-57,-55,-77,-53,-49,-64,-75,-200,-58,-53,-64,-80,-55,-78,-59,-77,-59,-71,-64,-52,-68,-200,-82,-79,-86,-200,-87,-73,-200,-88,-200,-65,-200,-83,-200,-200,-86,-200,-63,-58,-73,-72,-81,-200,-64,-90,-58,-91,-200,-70,-88,-66,-80,-90,-200,-200,-200,-200,-90,-200,-200,-200,-91,-82,-91,-92,-200,-79,-93,-92,-88,-85,-91,-83,-86,-88,-76,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452806655,-26,-35,-52,-56,-71,-65,-76,-54,-49,-56,-60,-200,-82,-53,-65,-80,-48,-85,-65,-77,-60,-200,-83,-52,-66,-61,-68,-72,-68,-200,-87,-70,-69,-76,-77,-82,-89,-82,-200,-200,-200,-200,-64,-57,-73,-71,-200,-200,-64,-90,-200,-91,-84,-70,-88,-200,-65,-76,-200,-200,-200,-200,-84,-200,-200,-200,-91,-82,-91,-92,-200,-81,-93,-92,-200,-85,-78,-200,-200,-78,-76,-76,-86,-200,-200,-200,-200,-200,-200,-200,-200
