,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro
,74:da:da:c1:3c:8d,74:da:da:98:8f:34,0c:73:eb:d0:76:48,74:da:da:98:ea:4c,0c:73:eb:d0:2a:58,0c:73:eb:d0:7e:e8,0c:73:eb:d0:76:58,74:da:da:98:8f:35,0c:73:eb:d0:19:a8,74:da:da:c0:e0:69,74:da:da:c0:d8:05,74:da:da:c1:3b:85,74:da:da:c1:3c:8e,0c:73:eb:d0:2a:10,74:da:da:c1:56:ed,74:da:da:c1:3c:cd,0c:73:eb:d0:76:30,74:da:da:c1:3b:c9,74:da:da:98:8f:65,74:da:da:c0:d7:e9,0c:73:eb:d0:7e:f0,0c:73:eb:d0:0e:c0,0c:73:eb:d0:2a:98,0c:73:eb:d0:19:98,74:da:da:c0:d7:dd,0c:73:eb:d0:19:b0,74:da:da:c1:3b:45,0c:73:eb:d0:7e:e0,74:da:da:c0:e0:81,74:da:da:98:ea:4d,74:da:da:c1:3b:4d,74:da:da:c0:d8:59,0c:73:eb:d0:13:a8,c0:61:18:93:35:28,74:da:da:98:8f:30,0c:73:eb:d0:19:b8,74:da:da:98:8f:31,74:da:da:c1:3b:86,74:da:da:98:ea:5c,74:da:da:c1:3d:85,74:da:da:c1:3c:ce,74:da:da:c1:47:cd,0c:73:eb:d0:19:88,74:da:da:c1:3b:ca,0c:73:eb:d0:2a:48,74:da:da:c0:d7:09,74:da:da:98:8f:64,74:da:da:c1:3c:51,74:da:da:98:db:44,74:da:da:c1:61:69,0c:73:eb:d0:76:20,74:da:da:c0:e0:71,0c:73:eb:d0:19:a0,74:da:da:c0:d7:19,74:da:da:c1:17:75,74:da:da:98:92:14,0c:73:eb:d0:2a:28,c0:61:18:93:3e:54,74:da:da:c1:3b:65,74:da:da:c1:3b:cd,74:da:da:c0:d8:25,0c:73:eb:d0:2a:60,74:da:da:c1:3c:6d,74:da:da:c1:3b:46,74:da:da:98:ea:50,74:da:da:c1:3d:09,74:da:da:c1:3b:69,0c:73:eb:d0:7c:38,0c:73:eb:d0:2a:38,0c:73:eb:d0:76:38,0c:73:eb:d0:11:e0,74:da:da:c1:3c:e1,74:da:da:98:8f:3c,74:da:da:c1:3b:e9,0c:73:eb:d0:0e:90,74:da:da:c1:3c:f5,74:da:da:c0:d7:c5,74:da:da:c1:3b:79,0c:73:eb:d0:2a:18,0c:73:eb:d0:0e:d8,74:da:da:98:8f:3d,74:da:da:c1:04:45,74:da:da:98:7a:68,74:da:da:c0:e0:6a,74:da:da:c1:3b:66,74:da:da:c1:3c:4d,0c:73:eb:d0:76:40,74:da:da:c1:4a:7d,0c:73:eb:d0:11:e8,74:da:da:c1:04:4d,74:da:da:c0:d7:81,74:da:da:c1:3c:ad,74:da:da:98:ea:5d,0c:73:eb:d0:2a:30,74:da:da:c1:3b:9d
1526452960818,-43,-45,-47,-54,-55,-56,-57,-58,-58,-61,-61,-61,-63,-65,-66,-69,-71,-73,-74,-74,-74,-74,-75,-75,-76,-76,-76,-77,-77,-78,-78,-78,-79,-80,-80,-80,-81,-81,-81,-82,-83,-84,-85,-86,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452963180,-46,-42,-77,-53,-61,-63,-62,-66,-59,-53,-66,-63,-67,-65,-86,-69,-71,-73,-75,-74,-73,-74,-69,-75,-74,-76,-76,-77,-80,-79,-90,-78,-79,-80,-80,-80,-80,-77,-81,-82,-79,-84,-85,-86,-88,-91,-68,-87,-88,-88,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452963854,-46,-42,-77,-53,-61,-63,-62,-66,-59,-53,-66,-63,-67,-65,-86,-69,-71,-73,-75,-74,-73,-74,-69,-75,-74,-76,-76,-77,-80,-79,-90,-78,-79,-80,-80,-80,-80,-77,-81,-82,-79,-84,-85,-86,-88,-91,-68,-87,-88,-88,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452966186,-48,-43,-53,-52,-61,-60,-57,-60,-59,-53,-69,-65,-67,-74,-86,-65,-78,-80,-60,-200,-68,-200,-73,-77,-74,-200,-200,-81,-83,-79,-90,-200,-200,-76,-200,-200,-81,-79,-200,-78,-77,-84,-200,-62,-87,-200,-68,-87,-74,-88,-90,-90,-80,-85,-86,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452966892,-48,-43,-53,-52,-61,-60,-57,-60,-59,-53,-69,-65,-67,-74,-86,-65,-78,-80,-60,-200,-68,-200,-73,-77,-74,-200,-200,-81,-83,-79,-90,-200,-200,-76,-200,-200,-81,-79,-200,-78,-77,-84,-200,-62,-87,-200,-68,-87,-74,-88,-90,-90,-80,-85,-86,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452969193,-47,-43,-53,-52,-57,-63,-63,-64,-59,-51,-64,-64,-63,-74,-69,-65,-78,-80,-74,-78,-69,-75,-74,-77,-74,-200,-200,-81,-80,-82,-90,-74,-200,-76,-200,-70,-81,-81,-200,-78,-78,-84,-200,-83,-87,-200,-69,-87,-76,-88,-90,-90,-80,-85,-86,-88,-89,-84,-84,-85,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452969940,-47,-43,-53,-52,-57,-63,-63,-64,-59,-51,-64,-64,-63,-74,-69,-65,-78,-80,-74,-78,-69,-75,-74,-77,-74,-200,-200,-81,-80,-82,-90,-74,-200,-76,-200,-70,-81,-81,-200,-78,-78,-84,-200,-83,-87,-200,-69,-87,-76,-88,-90,-90,-80,-85,-86,-88,-89,-84,-84,-85,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452972197,-38,-40,-40,-52,-51,-58,-55,-45,-52,-50,-60,-59,-57,-75,-69,-55,-200,-75,-73,-78,-66,-75,-68,-67,-200,-200,-200,-200,-80,-72,-200,-74,-78,-72,-56,-70,-77,-72,-200,-200,-72,-81,-200,-77,-200,-200,-69,-200,-76,-200,-200,-200,-200,-200,-75,-200,-200,-84,-84,-85,-90,-90,-74,-82,-82,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452972987,-38,-40,-40,-52,-51,-58,-55,-45,-52,-50,-60,-59,-57,-75,-69,-55,-200,-75,-73,-78,-66,-75,-68,-67,-200,-200,-200,-200,-80,-72,-200,-74,-78,-72,-56,-70,-77,-72,-200,-200,-72,-81,-200,-77,-200,-200,-69,-200,-76,-200,-200,-200,-200,-200,-75,-200,-200,-84,-84,-85,-90,-90,-74,-82,-82,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
