,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
,c0:61:18:93:3e:54,74:da:da:c1:3b:c9,74:da:da:c0:d7:c5,74:da:da:c1:3b:69,74:da:da:c1:3b:cd,0c:73:eb:d0:76:30,0c:73:eb:d0:76:38,0c:73:eb:d0:0e:b0,74:da:da:c1:3b:65,74:da:da:98:8f:3c,0c:73:eb:d0:19:b8,74:da:da:c1:3b:6a,0c:73:eb:d0:19:a0,74:da:da:98:ea:50,0c:73:eb:d0:19:98,0c:73:eb:d0:19:88,74:da:da:c1:3b:ce,0c:73:eb:d0:7e:f8,74:da:da:c0:d7:b9,74:da:da:c1:3c:8d,74:da:da:98:8f:30,74:da:da:c0:f3:01,c0:61:18:93:35:28,0c:73:eb:d0:7f:10,74:da:da:c1:3d:05,74:da:da:c1:3c:ce,74:da:da:c1:3b:ca,74:da:da:c1:3c:cd,0c:73:eb:d0:0e:d8,74:da:da:98:91:d4,74:da:da:98:8f:31,74:da:da:98:ea:5c,74:da:da:c1:3d:0d,0c:73:eb:d0:13:a8,74:da:da:98:ea:5d,0c:73:eb:d0:7f:18,74:da:da:c1:3c:4d,0c:73:eb:d0:7c:38,0c:73:eb:d0:76:50,0c:73:eb:d0:0e:90,74:da:da:c0:d7:c6,74:da:da:98:8f:3d,0c:73:eb:d0:76:48,0c:73:eb:d0:7e:e0,74:da:da:c1:3b:66,0c:73:eb:d0:7f:08,74:da:da:c1:56:a1,0c:73:eb:d0:7c:08,74:da:da:c0:f6:15,74:da:da:98:92:14,74:da:da:c0:f4:69,74:da:da:c1:48:bd,74:da:da:c1:3b:79,74:da:da:c0:d7:19,74:da:da:c0:d7:e9,0c:73:eb:d0:13:a0,74:da:da:c1:56:ed,74:da:da:c1:3c:51,74:da:da:c0:f3:02,74:da:da:c0:d7:9d,0c:73:eb:d0:2a:18,74:da:da:c1:3d:35,74:da:da:98:8f:34,74:da:da:c1:3c:85,74:da:da:c1:3d:09,74:da:da:c1:3a:81,74:da:da:c1:3b:85,74:da:da:c0:d7:ba,74:da:da:98:8f:35,74:da:da:c1:3b:49,74:da:da:c0:f3:05,0c:73:eb:d0:19:90,0c:73:eb:d0:2a:68,74:da:da:c1:61:69,74:da:da:98:ea:51,74:da:da:c0:d7:81,74:da:da:c0:d8:25,74:da:da:98:ea:4c,74:da:da:c1:3d:85,74:da:da:c0:f2:fd,74:da:da:c1:3c:45,74:da:da:c1:03:61,0c:73:eb:d0:11:e0,0c:73:eb:d0:2a:10,74:da:da:c1:3c:4e,74:da:da:c1:3c:55,74:da:da:c0:d8:3d,0c:73:eb:d0:76:58,74:da:da:98:85:00,74:da:da:c0:e2:d9,0c:73:eb:d0:19:a8,74:da:da:c1:3b:29,74:da:da:c1:3c:8e
1526460912000,-28,-34,-41,-43,-46,-50,-51,-51,-54,-55,-55,-56,-56,-56,-57,-58,-59,-61,-62,-63,-64,-64,-64,-64,-67,-68,-68,-68,-68,-68,-69,-69,-70,-71,-72,-72,-72,-74,-74,-76,-77,-77,-77,-79,-81,-81,-81,-81,-82,-82,-85,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460915022,-30,-35,-42,-44,-43,-52,-40,-78,-54,-56,-53,-56,-61,-59,-54,-51,-57,-67,-62,-60,-60,-63,-60,-67,-68,-67,-72,-50,-68,-68,-76,-69,-67,-81,-74,-63,-76,-74,-61,-76,-82,-78,-77,-79,-82,-81,-77,-81,-82,-82,-85,-86,-86,-73,-75,-80,-84,-86,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460918027,-30,-34,-53,-64,-41,-48,-89,-60,-56,-50,-89,-56,-67,-71,-60,-48,-56,-66,-63,-62,-59,-63,-65,-67,-80,-67,-68,-68,-68,-68,-76,-67,-65,-79,-76,-69,-76,-200,-61,-74,-79,-79,-64,-82,-68,-81,-77,-77,-200,-82,-85,-73,-86,-76,-75,-79,-84,-86,-88,-88,-68,-70,-72,-76,-78,-81,-81,-85,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460921044,-30,-46,-43,-39,-43,-51,-75,-47,-54,-55,-53,-56,-59,-71,-54,-55,-56,-66,-63,-60,-57,-63,-64,-200,-68,-67,-68,-50,-200,-200,-74,-51,-65,-79,-75,-62,-74,-200,-61,-74,-79,-78,-64,-82,-82,-200,-200,-77,-200,-200,-200,-73,-200,-76,-200,-79,-200,-200,-200,-200,-68,-70,-72,-70,-78,-81,-81,-85,-87,-91,-78,-81,-82,-83,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460924049,-30,-35,-42,-47,-40,-47,-39,-47,-56,-51,-53,-56,-60,-71,-53,-48,-56,-66,-62,-63,-57,-63,-64,-66,-67,-67,-68,-54,-200,-200,-75,-52,-65,-79,-74,-71,-74,-200,-59,-74,-80,-77,-64,-82,-82,-200,-200,-76,-200,-200,-200,-73,-200,-77,-200,-79,-200,-200,-200,-200,-78,-70,-72,-76,-78,-81,-81,-85,-87,-91,-78,-81,-82,-83,-89,-71,-81,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460927056,-30,-35,-40,-47,-33,-47,-40,-47,-56,-56,-53,-55,-56,-56,-53,-53,-56,-64,-73,-59,-58,-63,-88,-66,-67,-67,-68,-50,-200,-70,-76,-52,-200,-200,-74,-71,-68,-200,-60,-200,-80,-67,-200,-200,-82,-200,-200,-77,-200,-200,-89,-200,-200,-72,-200,-79,-86,-200,-200,-200,-78,-68,-200,-71,-76,-200,-200,-200,-88,-200,-78,-80,-82,-83,-89,-71,-81,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460930063,-31,-35,-41,-47,-41,-52,-37,-49,-200,-56,-62,-56,-56,-56,-57,-48,-56,-64,-63,-59,-64,-64,-64,-200,-68,-66,-69,-50,-200,-69,-70,-49,-200,-200,-76,-64,-75,-74,-60,-200,-56,-77,-200,-200,-80,-200,-200,-77,-200,-200,-89,-200,-200,-72,-200,-83,-86,-200,-200,-200,-200,-68,-200,-71,-77,-200,-200,-200,-88,-200,-200,-78,-200,-200,-89,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460933113,-30,-36,-40,-47,-41,-52,-55,-50,-58,-70,-72,-56,-60,-56,-55,-48,-56,-64,-68,-61,-59,-62,-63,-79,-68,-66,-69,-50,-68,-69,-76,-65,-67,-200,-75,-71,-75,-74,-60,-200,-80,-78,-200,-200,-82,-200,-200,-76,-200,-200,-89,-200,-200,-72,-200,-83,-86,-200,-200,-200,-77,-68,-200,-71,-77,-200,-200,-200,-88,-200,-200,-78,-200,-200,-89,-71,-200,-200,-84,-86,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460936163,-30,-35,-42,-48,-43,-48,-38,-50,-57,-70,-62,-56,-61,-57,-90,-55,-56,-64,-63,-79,-59,-56,-63,-66,-68,-67,-69,-200,-68,-200,-76,-51,-67,-200,-79,-64,-74,-200,-60,-200,-80,-75,-63,-200,-81,-200,-200,-76,-200,-82,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-86,-88,-89,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
