,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:3c:4d,0c:73:eb:d0:19:a0,74:da:da:98:ea:5c,74:da:da:c0:d7:9d,74:da:da:c1:3c:55,74:da:da:c1:3c:85,0c:73:eb:d0:76:28,74:da:da:c1:3c:4e,0c:73:eb:d0:19:90,74:da:da:c1:3c:ce,74:da:da:c0:d7:81,0c:73:eb:d0:76:10,0c:73:eb:d0:19:88,74:da:da:98:ea:51,74:da:da:c1:3b:cd,74:da:da:c1:3c:45,74:da:da:98:ea:5d,c0:61:18:93:35:28,74:da:da:98:ea:50,0c:73:eb:d0:13:a0,0c:73:eb:d0:76:30,74:da:da:98:85:60,0c:73:eb:d0:19:b8,0c:73:eb:d0:7f:08,74:da:da:98:ea:64,0c:73:eb:d0:76:18,74:da:da:c1:3c:8d,74:da:da:98:85:00,74:da:da:c0:d8:1d,c0:61:18:93:3e:54,74:da:da:c1:3c:86,0c:73:eb:d0:13:c8,0c:73:eb:d0:0e:90,74:da:da:c1:3b:19,0c:73:eb:d0:76:50,0c:73:eb:d0:0e:a0,74:da:da:c0:d7:01,74:da:da:c1:3c:56,0c:73:eb:d0:7e:f8,0c:73:eb:d0:76:38,74:da:da:98:8f:31,74:da:da:c1:3b:ce,74:da:da:c0:d7:c6,74:da:da:c1:3b:6a,74:da:da:c0:d8:3e,74:da:da:98:8f:34,0c:73:eb:d0:0e:c8,74:da:da:c1:3b:c9,74:da:da:c1:3d:35,0c:73:eb:d0:2a:40,74:da:da:c1:3d:85,0c:73:eb:d0:7c:28,74:da:da:c1:3c:cd,74:da:da:c0:d7:c5,74:da:da:c0:d8:3d,0c:73:eb:d0:2a:50,74:da:da:98:90:94,0c:73:eb:d0:2a:90,74:da:da:98:8f:30,74:da:da:98:85:1c,0c:73:eb:d0:0e:d8,74:da:da:c1:3b:ca,0c:73:eb:d0:11:c0,74:da:da:c1:3b:69,74:da:da:c1:56:a1,0c:73:eb:d0:11:f8,50:3a:a0:ea:01:66,0c:73:eb:d0:11:c8,0c:73:eb:d0:76:48,74:da:da:c1:25:d9,0c:73:eb:d0:7f:10,74:da:da:c1:3c:11,0c:73:eb:d0:13:b8,74:da:da:c1:03:21,74:da:da:98:91:d4,74:da:da:c1:3d:0d,0c:73:eb:d0:13:90,74:da:da:c1:25:a1,0c:73:eb:d0:19:c8,74:da:da:c0:d7:11,0c:73:eb:d0:0e:b0,74:da:da:c0:d7:19,74:da:da:98:66:cc,74:da:da:98:8f:3c
1526457280399,-26,-34,-44,-49,-51,-52,-54,-55,-55,-56,-56,-58,-59,-61,-61,-63,-64,-64,-65,-65,-65,-67,-68,-68,-71,-72,-72,-72,-73,-74,-75,-77,-77,-77,-78,-79,-81,-82,-82,-82,-83,-84,-85,-85,-86,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457283404,-27,-34,-51,-52,-47,-55,-42,-51,-55,-84,-200,-62,-57,-69,-67,-63,-53,-200,-52,-62,-65,-63,-68,-68,-71,-71,-200,-72,-73,-78,-73,-80,-80,-77,-64,-79,-86,-80,-82,-82,-90,-200,-85,-200,-86,-86,-200,-64,-76,-84,-84,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457286408,-27,-33,-47,-51,-47,-51,-67,-52,-57,-84,-200,-84,-63,-61,-67,-63,-65,-200,-63,-62,-200,-66,-75,-200,-65,-72,-68,-200,-200,-78,-74,-80,-80,-200,-64,-200,-78,-81,-200,-66,-90,-200,-85,-200,-85,-200,-88,-66,-76,-84,-84,-90,-90,-55,-70,-73,-77,-82,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457289413,-27,-33,-50,-52,-47,-54,-42,-52,-57,-84,-200,-58,-62,-62,-68,-63,-65,-64,-50,-62,-200,-66,-67,-200,-65,-72,-68,-76,-200,-78,-73,-80,-80,-74,-76,-200,-78,-81,-200,-68,-90,-200,-86,-200,-85,-200,-88,-65,-76,-84,-84,-90,-75,-57,-72,-73,-77,-82,-85,-84,-86,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457292454,-26,-32,-50,-52,-47,-51,-52,-52,-63,-200,-200,-58,-59,-62,-67,-60,-64,-64,-50,-62,-67,-66,-67,-69,-200,-72,-200,-76,-200,-74,-74,-200,-200,-74,-70,-200,-74,-52,-200,-68,-200,-200,-85,-200,-52,-200,-200,-65,-200,-200,-200,-200,-75,-56,-72,-200,-200,-200,-200,-85,-86,-86,-90,-74,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457295506,-27,-33,-47,-50,-47,-54,-42,-52,-57,-200,-200,-61,-59,-62,-67,-62,-62,-62,-49,-62,-65,-66,-67,-69,-200,-78,-200,-76,-72,-74,-74,-79,-200,-74,-71,-200,-72,-81,-200,-81,-200,-200,-85,-200,-52,-200,-200,-64,-200,-200,-200,-200,-75,-57,-72,-200,-200,-200,-87,-84,-85,-86,-90,-74,-85,-89,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457298513,-27,-32,-47,-53,-47,-54,-51,-52,-57,-200,-90,-60,-60,-53,-67,-76,-65,-59,-51,-62,-65,-66,-200,-69,-200,-87,-78,-200,-72,-74,-74,-79,-200,-200,-71,-80,-83,-52,-200,-70,-200,-200,-85,-200,-52,-200,-200,-65,-90,-200,-200,-200,-200,-72,-84,-76,-200,-200,-87,-84,-85,-86,-200,-74,-85,-89,-80,-87,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457301517,-27,-32,-47,-52,-47,-53,-50,-52,-63,-200,-90,-60,-61,-62,-67,-64,-64,-61,-51,-62,-65,-66,-67,-67,-200,-71,-78,-74,-200,-200,-74,-79,-200,-200,-71,-80,-71,-81,-200,-70,-200,-200,-84,-200,-86,-200,-200,-76,-79,-200,-200,-200,-200,-56,-84,-74,-200,-200,-200,-200,-87,-200,-200,-75,-83,-89,-200,-200,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457304522,-27,-33,-46,-51,-47,-52,-43,-52,-57,-87,-82,-62,-59,-62,-67,-62,-65,-63,-50,-75,-65,-66,-67,-81,-200,-72,-78,-74,-200,-200,-73,-79,-200,-200,-71,-80,-79,-81,-200,-70,-200,-200,-85,-200,-86,-200,-200,-65,-79,-200,-200,-200,-77,-56,-84,-74,-200,-200,-200,-200,-87,-200,-200,-75,-83,-89,-200,-200,-84,-88,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
