,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:19:90,74:da:da:c1:3c:55,74:da:da:c1:3c:45,74:da:da:c1:3c:56,74:da:da:98:ea:5d,0c:73:eb:d0:76:18,0c:73:eb:d0:19:a0,74:da:da:98:90:94,74:da:da:c1:3c:85,74:da:da:c1:3c:4d,74:da:da:c0:d7:9d,0c:73:eb:d0:13:c8,74:da:da:98:66:cc,74:da:da:98:ea:50,74:da:da:98:ea:5c,74:da:da:c1:3c:11,50:3a:a0:ea:01:66,0c:73:eb:d0:13:b8,0c:73:eb:d0:19:88,74:da:da:98:ea:64,74:da:da:98:90:2c,0c:73:eb:d0:76:10,74:da:da:98:85:4c,0c:73:eb:d0:76:30,74:da:da:98:8f:30,74:da:da:c0:d8:3d,74:da:da:c1:3b:c9,74:da:da:98:8f:31,74:da:da:c1:3c:86,0c:73:eb:d0:76:28,74:da:da:c0:d7:01,74:da:da:98:ea:51,0c:73:eb:d0:13:b0,0c:73:eb:d0:7f:08,0c:73:eb:d0:2a:50,0c:73:eb:d0:76:38,74:da:da:c1:3c:46,0c:73:eb:d0:19:c8,0c:73:eb:d0:19:b8,74:da:da:98:85:60,74:da:da:c1:3c:12,74:da:da:c1:3c:4e,74:da:da:c0:d8:1d,74:da:da:98:90:95,74:da:da:c1:25:a1,0c:73:eb:d0:0e:d8,74:da:da:98:ea:4d,74:da:da:c1:3b:69,74:da:da:c1:3b:65,74:da:da:98:ea:65,74:da:da:98:ea:54,0c:73:eb:d0:0e:c8,c0:61:18:93:35:28,74:da:da:c0:d7:c5,74:da:da:98:85:1c,0c:73:eb:d0:2a:90,74:da:da:c0:d8:3e,74:da:da:c1:3b:29,0c:73:eb:d0:19:98,74:da:da:c1:4a:69,74:da:da:c1:03:21,0c:73:eb:d0:19:c0,0c:73:eb:d0:7f:10,0c:73:eb:d0:13:a0,74:da:da:c1:56:a1,74:da:da:98:85:00,0c:73:eb:d0:13:90,74:da:da:c1:25:d9,74:da:da:c1:3c:cd,74:da:da:c1:3b:cd,0c:73:eb:d0:11:c8,74:da:da:c0:d7:81,0c:73:eb:d0:19:80,74:da:da:c1:3c:8d,74:da:da:98:74:80,74:da:da:c0:d6:ed,74:da:da:c0:d7:11,74:da:da:98:90:2d,74:da:da:c0:d9:39,0c:73:eb:d0:0e:a0
1526458447912,-21,-32,-34,-43,-43,-44,-48,-49,-50,-54,-56,-58,-59,-60,-63,-63,-63,-64,-65,-66,-66,-67,-67,-68,-68,-68,-68,-69,-71,-71,-71,-72,-73,-74,-75,-75,-76,-76,-77,-78,-79,-80,-83,-84,-87,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458450918,-24,-30,-38,-47,-81,-52,-48,-63,-50,-50,-57,-59,-59,-73,-54,-63,-58,-64,-200,-82,-66,-42,-200,-68,-68,-200,-200,-200,-68,-59,-81,-72,-73,-74,-70,-75,-78,-200,-77,-78,-80,-71,-83,-82,-87,-88,-200,-81,-85,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458453926,-25,-32,-38,-47,-79,-49,-47,-63,-59,-51,-63,-53,-57,-73,-55,-63,-61,-200,-200,-82,-200,-36,-86,-79,-200,-200,-200,-200,-68,-90,-81,-47,-68,-90,-64,-200,-69,-200,-200,-90,-80,-71,-91,-82,-200,-200,-200,-81,-85,-86,-68,-72,-75,-79,-82,-84,-86,-86,-89,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458456975,-24,-31,-38,-46,-79,-49,-47,-54,-59,-50,-59,-56,-62,-75,-58,-63,-57,-77,-69,-67,-200,-37,-86,-79,-200,-200,-200,-200,-68,-58,-200,-73,-68,-90,-64,-200,-77,-67,-200,-90,-80,-47,-83,-84,-200,-200,-200,-200,-200,-200,-68,-72,-75,-79,-82,-82,-86,-86,-89,-89,-90,-72,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458460024,-24,-32,-38,-47,-79,-49,-46,-61,-59,-52,-64,-59,-60,-67,-54,-63,-57,-77,-69,-67,-77,-37,-86,-79,-70,-80,-200,-200,-68,-59,-200,-73,-68,-90,-63,-200,-78,-67,-200,-81,-82,-47,-81,-79,-200,-87,-200,-200,-200,-200,-68,-72,-75,-79,-82,-76,-85,-86,-89,-79,-90,-73,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458463031,-24,-31,-38,-47,-79,-49,-52,-61,-59,-52,-62,-50,-57,-67,-56,-62,-59,-70,-72,-67,-76,-37,-200,-83,-70,-80,-200,-200,-68,-59,-87,-73,-67,-75,-65,-200,-79,-66,-200,-81,-82,-69,-81,-82,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-85,-200,-200,-79,-200,-73,-85,-79,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458466035,-27,-33,-38,-47,-80,-51,-47,-57,-59,-51,-63,-49,-57,-70,-54,-57,-59,-60,-72,-68,-76,-42,-200,-83,-200,-200,-200,-91,-68,-57,-87,-73,-77,-75,-65,-200,-78,-66,-200,-200,-81,-71,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-82,-200,-200,-200,-80,-200,-200,-200,-79,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458469074,-24,-33,-38,-47,-80,-51,-51,-57,-59,-50,-57,-69,-63,-75,-55,-55,-56,-60,-200,-65,-200,-37,-200,-200,-200,-200,-200,-91,-68,-74,-76,-73,-68,-200,-66,-200,-77,-67,-200,-200,-83,-71,-92,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-82,-200,-200,-200,-80,-200,-200,-200,-200,-200,-74,-79,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458472109,-24,-27,-38,-47,-81,-50,-53,-59,-50,-50,-57,-85,-57,-75,-56,-62,-58,-71,-200,-65,-200,-37,-200,-200,-200,-200,-200,-200,-67,-57,-76,-73,-76,-200,-70,-79,-77,-68,-200,-200,-83,-72,-92,-82,-200,-200,-200,-200,-200,-85,-200,-200,-75,-78,-200,-81,-200,-200,-200,-200,-200,-77,-200,-200,-200,-74,-81,-91,-79,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
