,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011314,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:19:88,74:da:da:c0:d7:c5,74:da:da:98:ea:5c,74:da:da:c1:3b:cd,0c:73:eb:d0:19:a0,74:da:da:98:ea:5d,74:da:da:98:ea:50,0c:73:eb:d0:19:b8,74:da:da:c1:3b:c9,74:da:da:98:91:d4,74:da:da:c0:d7:c6,74:da:da:c1:3c:4d,0c:73:eb:d0:76:38,0c:73:eb:d0:76:50,74:da:da:c1:3c:cd,74:da:da:c1:3c:4e,74:da:da:98:ea:51,c0:61:18:93:3e:54,74:da:da:c0:d7:81,0c:73:eb:d0:76:30,74:da:da:c0:f3:01,74:da:da:c1:3c:ce,74:da:da:c0:d7:b9,c0:61:18:93:35:28,0c:73:eb:d0:7f:10,74:da:da:c0:d8:3d,74:da:da:c0:f3:05,0c:73:eb:d0:7e:f8,74:da:da:c1:3b:65,74:da:da:c0:f3:59,74:da:da:98:8f:30,0c:73:eb:d0:0e:b0,74:da:da:c1:3b:ce,74:da:da:c0:d8:1d,0c:73:eb:d0:11:e0,74:da:da:c1:3d:35,74:da:da:98:8f:31,74:da:da:c1:3c:85,74:da:da:98:90:94,0c:73:eb:d0:7f:08,74:da:da:c1:3b:6a,74:da:da:c1:3b:ca,74:da:da:c1:3c:8d,74:da:da:c1:48:bd,0c:73:eb:d0:76:18,74:da:da:c1:3c:55,74:da:da:c1:3d:05,0c:73:eb:d0:7c:08,74:da:da:98:8f:34,0c:73:eb:d0:7f:18,74:da:da:c1:3c:86,0c:73:eb:d0:0e:d8,0c:73:eb:d0:13:a0,0c:73:eb:d0:76:28,0c:73:eb:d0:76:48,0c:73:eb:d0:0e:90,0c:73:eb:d0:0e:a8,74:da:da:c1:3b:29,0c:73:eb:d0:19:98,0c:73:eb:d0:2a:90,74:da:da:c1:3c:45,74:da:da:c1:3b:45,0c:73:eb:d0:2a:50,74:da:da:c1:3c:56,74:da:da:c1:03:1d,74:da:da:98:85:00,74:da:da:c1:3b:19,0c:73:eb:d0:19:90,74:da:da:c1:3c:11,74:da:da:c1:3d:09,74:da:da:c0:f3:06,74:da:da:c1:3b:66,74:da:da:c1:3b:69,74:da:da:c1:3d:0d,74:da:da:98:85:1c,74:da:da:c1:56:a1,74:da:da:c1:03:61,0c:73:eb:d0:2a:40,74:da:da:98:8f:64,74:da:da:98:8f:3c,0c:73:eb:d0:13:c8,74:da:da:c1:61:69,74:da:da:c1:3c:12,74:da:da:c1:3a:dd,74:da:da:98:85:60,74:da:da:c1:3d:85,74:da:da:c0:f3:02,74:da:da:c1:3c:51,0c:73:eb:d0:13:a8,74:da:da:98:66:cc,74:da:da:c0:d7:0d,74:da:da:c1:3b:85,0c:73:eb:d0:11:c0,74:da:da:c0:f6:15,74:da:da:c0:d7:19,74:da:da:c1:3b:4d,0c:73:eb:d0:7c:38
1526463012378,-23,-36,-36,-43,-45,-47,-47,-50,-51,-52,-56,-56,-56,-56,-56,-57,-57,-57,-57,-59,-59,-63,-64,-65,-65,-66,-67,-67,-67,-67,-68,-68,-72,-72,-74,-74,-75,-75,-75,-75,-76,-76,-77,-77,-78,-78,-82,-83,-84,-85,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463015411,-30,-54,-40,-44,-44,-54,-42,-53,-57,-52,-55,-53,-47,-53,-56,-57,-59,-57,-66,-59,-59,-79,-64,-66,-64,-66,-59,-49,-67,-67,-84,-68,-72,-69,-74,-58,-76,-69,-67,-75,-80,-71,-57,-77,-77,-70,-82,-83,-84,-85,-77,-69,-70,-70,-71,-78,-78,-79,-82,-82,-83,-86,-87,-87,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463018416,-31,-48,-42,-44,-44,-53,-46,-54,-59,-200,-55,-56,-49,-52,-200,-77,-59,-68,-66,-59,-63,-75,-200,-66,-63,-200,-56,-72,-200,-73,-52,-200,-73,-69,-72,-58,-74,-68,-67,-200,-79,-71,-58,-200,-77,-70,-200,-82,-200,-200,-77,-69,-70,-70,-71,-78,-78,-83,-64,-82,-83,-86,-87,-84,-87,-56,-71,-72,-74,-88,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463021449,-31,-48,-42,-46,-44,-54,-45,-54,-56,-200,-55,-56,-65,-52,-58,-78,-60,-59,-66,-59,-63,-76,-200,-64,-66,-200,-54,-56,-200,-73,-57,-200,-73,-64,-71,-58,-76,-68,-200,-200,-79,-71,-58,-200,-200,-200,-200,-82,-81,-200,-76,-73,-200,-69,-71,-200,-78,-83,-64,-200,-200,-200,-200,-84,-200,-56,-71,-75,-75,-88,-89,-89,-57,-64,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463024498,-30,-48,-41,-45,-65,-53,-42,-52,-54,-60,-56,-62,-46,-53,-58,-80,-59,-58,-66,-53,-63,-75,-200,-63,-66,-72,-57,-51,-200,-200,-55,-72,-72,-64,-71,-58,-76,-71,-73,-200,-78,-71,-200,-200,-78,-67,-200,-79,-81,-200,-78,-72,-70,-70,-69,-200,-89,-200,-67,-200,-79,-200,-200,-200,-200,-200,-200,-75,-75,-200,-89,-89,-57,-64,-78,-85,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463027506,-38,-44,-56,-46,-44,-53,-43,-52,-54,-60,-55,-57,-47,-53,-200,-78,-59,-58,-64,-87,-63,-79,-200,-63,-69,-72,-57,-51,-200,-200,-54,-71,-73,-69,-200,-59,-72,-70,-73,-200,-55,-72,-59,-200,-73,-69,-200,-81,-200,-84,-55,-72,-69,-70,-72,-200,-89,-200,-67,-200,-79,-200,-84,-85,-200,-46,-200,-200,-200,-200,-89,-89,-64,-67,-78,-85,-87,-91,-76,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463030511,-30,-50,-42,-46,-44,-54,-42,-86,-79,-60,-55,-59,-46,-53,-59,-78,-60,-57,-64,-87,-63,-75,-200,-63,-69,-75,-81,-85,-200,-200,-54,-71,-71,-67,-200,-56,-54,-70,-73,-200,-80,-69,-58,-200,-74,-71,-200,-81,-200,-84,-78,-72,-68,-70,-71,-200,-89,-81,-65,-200,-79,-200,-84,-76,-200,-46,-200,-66,-200,-200,-89,-89,-64,-69,-79,-76,-87,-91,-76,-79,-86,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463033516,-38,-48,-42,-45,-44,-54,-43,-54,-55,-200,-55,-57,-49,-53,-58,-54,-60,-57,-71,-53,-200,-76,-71,-77,-69,-72,-54,-50,-73,-74,-55,-71,-72,-68,-71,-58,-77,-70,-74,-76,-79,-70,-58,-200,-76,-69,-200,-81,-200,-84,-55,-200,-68,-69,-71,-77,-200,-81,-65,-200,-200,-200,-84,-86,-200,-46,-200,-67,-200,-200,-200,-200,-57,-69,-79,-76,-200,-200,-76,-79,-84,-89,-90,-75,-80,-85,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463036567,-38,-47,-43,-45,-47,-53,-41,-53,-55,-200,-55,-57,-46,-52,-58,-77,-60,-58,-71,-53,-200,-60,-71,-63,-66,-72,-57,-50,-73,-74,-55,-200,-73,-68,-71,-58,-80,-70,-74,-76,-79,-70,-58,-200,-76,-69,-200,-200,-200,-200,-78,-200,-68,-69,-200,-77,-200,-200,-200,-200,-200,-200,-200,-86,-200,-59,-200,-73,-71,-200,-200,-200,-57,-69,-79,-76,-200,-200,-200,-200,-84,-200,-200,-75,-80,-85,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
