,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:E8,78:A5:04:41:E7:9D,78:A5:04:41:E9:82,78:A5:04:41:E9:8A,7C:66:9D:7B:47:FC,78:A5:04:41:EB:FE,78:A5:04:41:E9:D2,78:A5:04:41:E7:98,78:A5:04:41:E9:D7,78:A5:04:41:E9:8E,78:A5:04:41:E9:BE,BC:6A:29:BE:31:7F,78:A5:04:41:E9:BB,78:A5:04:41:E9:B3,78:A5:04:41:E9:A0,78:A5:04:41:E5:34,78:A5:04:41:E5:59,78:A5:04:41:E5:3E,78:A5:04:41:EB:AA,78:A5:04:41:E5:62,78:A5:04:41:EB:D1,78:A5:04:41:EE:08,78:A5:04:41:E7:D5,BC:6A:29:BE:2F:54,78:A5:04:41:EB:94,78:A5:04:41:EB:98,78:A5:04:41:E9:FB,78:A5:04:41:E9:F3,78:A5:04:41:EB:D8,78:A5:04:41:E9:EB,7C:66:9D:7B:2E:21,78:A5:04:41:EB:A5,78:A5:04:41:E9:CB,BC:6A:29:BE:31:17,78:A5:04:41:E7:A7,78:A5:04:41:EB:D4,78:A5:04:41:E9:AB,78:A5:04:41:EB:FB,78:A5:04:41:E9:E3,78:A5:04:41:E9:C8,78:A5:04:41:E9:92,78:A5:04:41:EB:B5,78:A5:04:41:EB:F1,78:A5:04:41:E9:A5,78:A5:04:41:E9:A7
1526450509459,-69,-84,-81,-88,-80,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450510575,-200,-200,-72,-200,-200,-200,-82,-93,-77,-74,-92,-80,-83,-84,-86,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450510699,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-87,-79,-80,-200,-200,-200,-85,-89,-87,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450511773,-200,-80,-200,-200,-200,-200,-80,-200,-200,-200,-78,-200,-200,-200,-200,-66,-86,-200,-200,-200,-72,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450512860,-200,-200,-73,-200,-200,-200,-200,-200,-81,-70,-200,-200,-83,-200,-200,-200,-85,-200,-200,-91,-76,-200,-91,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450513947,-74,-200,-70,-200,-200,-200,-78,-200,-200,-200,-200,-81,-86,-84,-200,-60,-200,-200,-200,-200,-73,-200,-200,-200,-200,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450515056,-72,-86,-76,-200,-85,-90,-200,-200,-79,-72,-200,-200,-200,-200,-88,-200,-200,-200,-200,-83,-75,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450516170,-81,-200,-72,-85,-200,-200,-200,-200,-200,-72,-200,-200,-84,-200,-200,-200,-200,-200,-200,-81,-200,-89,-200,-93,-200,-200,-90,-200,-86,-82,-74,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450517326,-200,-200,-75,-200,-77,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-61,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
