,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:82,78:A5:04:41:E9:D2,7C:66:9D:7B:47:FC,78:A5:04:41:E5:3E,78:A5:04:41:E9:BE,78:A5:04:41:E9:F3,78:A5:04:41:EB:E8,78:A5:04:41:E5:34,BC:6A:29:BE:31:7F,78:A5:04:41:E9:CB,78:A5:04:41:E5:59,BC:6A:29:BE:2F:54,78:A5:04:41:E9:E3,78:A5:04:41:E9:92,78:A5:04:41:EB:D1,78:A5:04:41:E9:8E,7C:66:9D:7B:2E:21,78:A5:04:41:E5:62,78:A5:04:41:E7:A7,78:A5:04:41:EE:08,78:A5:04:41:EB:D4,78:A5:04:41:E9:FB,78:A5:04:41:EE:0A,78:A5:04:41:E9:BB,78:A5:04:41:E9:C8,BC:6A:29:BE:31:17,78:A5:04:41:E9:EB,78:A5:04:41:E9:A0,78:A5:04:41:E9:B3,78:A5:04:41:E7:9D,78:A5:04:41:EB:AA,78:A5:04:41:E9:8A,78:A5:04:41:E7:88,78:A5:04:41:EB:FE,78:A5:04:41:E9:A7,78:A5:04:41:E9:98,78:A5:04:41:EB:F1,78:A5:04:41:EB:FB,78:A5:04:41:EB:D8,78:A5:04:41:EB:AB,78:A5:04:41:E9:AB,78:A5:04:41:EB:94,78:A5:04:41:E7:FE,78:A5:04:41:E9:D7,78:A5:04:41:E9:CC,78:A5:04:41:EB:DF,78:A5:04:41:EB:AC
1526447382369,-83,-89,-82,-86,-77,-76,-80,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447383487,-200,-91,-81,-200,-200,-74,-200,-200,-74,-94,-73,-88,-81,-87,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447384626,-200,-88,-78,-86,-200,-74,-200,-200,-85,-200,-200,-86,-200,-200,-200,-77,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447384725,-200,-87,-200,-200,-200,-200,-73,-200,-74,-200,-200,-200,-200,-200,-88,-200,-70,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447385786,-200,-89,-200,-200,-76,-200,-200,-200,-73,-200,-68,-200,-200,-200,-200,-200,-74,-200,-88,-81,-91,-93,-88,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447387972,-77,-87,-200,-77,-75,-200,-200,-200,-72,-88,-200,-93,-92,-94,-73,-200,-200,-200,-200,-84,-200,-92,-200,-72,-81,-92,-92,-80,-74,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447391311,-84,-200,-200,-200,-200,-200,-62,-200,-200,-81,-70,-200,-200,-200,-71,-70,-200,-200,-200,-81,-200,-200,-89,-72,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447393498,-200,-200,-78,-79,-200,-67,-200,-77,-200,-82,-72,-90,-200,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447394567,-200,-200,-200,-74,-200,-200,-66,-200,-73,-80,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-90,-200,-200,-200,-200,-200,-94,-86,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447395789,-200,-200,-83,-200,-200,-68,-73,-200,-200,-200,-75,-200,-200,-200,-86,-200,-75,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447396853,-200,-200,-200,-200,-76,-71,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-65,-83,-85,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447397978,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-68,-200,-200,-200,-200,-200,-62,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447399112,-200,-200,-80,-200,-200,-68,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-73,-200,-86,-200,-200,-200,-87,-200,-200,-200,-200,-81,-82,-200,-200,-200,-200,-200,-200,-200,-200,-84,-88,-95,-200,-200,-200,-200,-200,-200,-200
1526447400187,-200,-200,-200,-200,-200,-68,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526447401250,-200,-87,-77,-200,-74,-68,-200,-200,-72,-200,-200,-200,-200,-200,-200,-70,-68,-200,-200,-200,-200,-200,-87,-78,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526447402394,-200,-200,-78,-75,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447403460,-92,-200,-200,-200,-200,-70,-62,-76,-200,-200,-200,-200,-86,-200,-73,-70,-65,-200,-84,-200,-200,-200,-200,-80,-200,-200,-200,-76,-200,-200,-86,-200,-200,-200,-200,-87,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526447404612,-86,-200,-200,-75,-200,-70,-65,-200,-74,-200,-200,-200,-86,-200,-75,-70,-65,-200,-200,-81,-200,-200,-200,-200,-92,-77,-200,-77,-74,-70,-200,-200,-200,-200,-200,-90,-200,-200,-84,-200,-200,-93,-200,-200,-200,-200,-200
1526447405816,-200,-200,-200,-200,-200,-200,-200,-78,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447406869,-200,-200,-75,-78,-82,-200,-75,-200,-75,-200,-200,-200,-200,-200,-76,-70,-200,-87,-200,-200,-200,-200,-86,-200,-87,-200,-200,-80,-200,-74,-200,-200,-200,-89,-200,-200,-92,-200,-92,-200,-200,-200,-94,-200,-200,-200,-200
1526447407978,-83,-200,-200,-200,-200,-200,-200,-200,-73,-200,-72,-200,-200,-200,-200,-72,-65,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-92,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526447409051,-200,-200,-78,-74,-200,-200,-62,-200,-200,-200,-78,-200,-200,-200,-70,-200,-66,-200,-200,-200,-200,-200,-200,-79,-200,-78,-200,-77,-200,-70,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200
1526447410157,-88,-90,-200,-77,-200,-74,-72,-200,-74,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-72,-81,-200,-200,-76,-200,-73,-200,-200,-200,-89,-93,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526447411275,-200,-200,-90,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-64,-87,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526447412359,-200,-200,-200,-200,-74,-200,-62,-200,-200,-200,-71,-200,-200,-200,-200,-77,-77,-200,-200,-84,-200,-93,-200,-200,-87,-200,-200,-80,-200,-73,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-93,-200,-200,-200
1526447413513,-79,-83,-80,-200,-80,-75,-66,-76,-74,-200,-71,-200,-200,-200,-77,-74,-65,-88,-200,-75,-200,-200,-200,-78,-200,-200,-200,-76,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200
1526447414654,-200,-200,-200,-200,-73,-81,-62,-82,-68,-85,-200,-200,-84,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
