,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:59,78:A5:04:41:EB:AC,78:A5:04:41:EB:D1,BC:6A:29:BE:2F:54,78:A5:04:41:E9:BB,78:A5:04:41:EB:FB,78:A5:04:41:E5:62,78:A5:04:41:EB:D8,78:A5:04:41:E9:AB,78:A5:04:41:E9:8E,78:A5:04:41:E5:3E,78:A5:04:41:E9:F3,78:A5:04:41:E9:BE,78:A5:04:41:E9:E3,7C:66:9D:7B:2E:21,7C:66:9D:7B:47:FC,78:A5:04:41:EE:08,78:A5:04:41:E9:B3,BC:6A:29:BE:31:7F,78:A5:04:41:EB:E8,78:A5:04:41:E9:A0,BC:6A:29:BE:31:17,78:A5:04:41:E9:98,78:A5:04:41:E9:D2,78:A5:04:41:E7:A7,78:A5:04:41:E5:34,78:A5:04:41:E9:92,78:A5:04:41:EB:AA,78:A5:04:41:E7:9D,78:A5:04:41:EB:FE,78:A5:04:41:E9:CB,78:A5:04:41:E9:D7,78:A5:04:41:E9:82,78:A5:04:41:E9:8A,78:A5:04:41:E7:FE,78:A5:04:41:EB:F1,78:A5:04:41:EB:94,78:A5:04:41:EE:0A,78:A5:04:41:E9:A7,78:A5:04:41:E9:C8,78:A5:04:41:EB:C3,78:A5:04:41:EB:A5,78:A5:04:41:E9:CC,78:A5:04:41:EB:B7,78:A5:04:41:E9:A5,78:A5:04:41:EB:D4,78:A5:04:41:EB:AB
1526448281569,-70,-84,-82,-82,-75,-80,-85,-87,-87,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448281677,-74,-200,-78,-200,-200,-200,-84,-200,-200,-200,-83,-68,-88,-82,-77,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448282755,-70,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-73,-67,-81,-75,-82,-71,-74,-73,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448284979,-78,-200,-200,-200,-79,-82,-90,-200,-200,-69,-200,-72,-200,-200,-200,-200,-200,-72,-76,-68,-200,-200,-200,-85,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448286079,-200,-200,-95,-81,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-70,-67,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448287161,-200,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-72,-200,-200,-75,-73,-200,-72,-78,-72,-75,-76,-200,-90,-84,-84,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448288265,-200,-200,-200,-80,-77,-200,-200,-200,-200,-200,-79,-73,-200,-200,-200,-200,-200,-79,-200,-200,-200,-73,-200,-200,-200,-87,-200,-88,-77,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448289393,-72,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448290447,-67,-84,-87,-80,-74,-200,-200,-200,-200,-70,-200,-70,-200,-200,-75,-200,-200,-72,-82,-68,-77,-74,-93,-200,-200,-86,-200,-200,-200,-200,-96,-92,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448291647,-70,-200,-200,-200,-200,-200,-200,-200,-200,-72,-77,-200,-200,-200,-200,-73,-200,-72,-78,-75,-200,-75,-200,-200,-79,-200,-200,-200,-200,-92,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448292813,-200,-200,-200,-81,-200,-200,-200,-200,-200,-74,-200,-72,-200,-200,-200,-70,-200,-200,-200,-200,-200,-72,-200,-88,-84,-200,-200,-88,-76,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448294970,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-81,-76,-200,-200,-77,-81,-200,-76,-74,-200,-86,-200,-85,-200,-200,-200,-200,-98,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448296075,-68,-200,-200,-81,-200,-200,-200,-90,-200,-75,-200,-200,-200,-78,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-85,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448297153,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-74,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448298318,-84,-81,-200,-79,-81,-82,-88,-200,-200,-200,-83,-200,-77,-200,-200,-200,-78,-75,-78,-200,-200,-70,-200,-84,-200,-85,-200,-200,-200,-200,-200,-200,-71,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448300457,-200,-200,-200,-200,-200,-85,-200,-200,-200,-72,-200,-72,-76,-82,-69,-200,-200,-200,-200,-66,-200,-72,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448301558,-200,-80,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-75,-200,-71,-200,-79,-200,-200,-69,-71,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-73,-200,-92,-200,-88,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448301677,-75,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-76,-200,-200,-200,-75,-200,-75,-200,-90,-200,-200,-88,-200,-200,-76,-200,-81,-92,-200,-200,-200,-200,-200,-85,-97,-90,-200,-200,-200,-200,-200,-200,-200
1526448302825,-200,-81,-74,-200,-77,-200,-200,-90,-200,-200,-200,-200,-200,-200,-75,-68,-84,-81,-200,-200,-72,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200
1526448304967,-200,-200,-200,-81,-200,-85,-200,-200,-86,-200,-80,-71,-79,-200,-200,-200,-200,-200,-200,-200,-74,-200,-95,-200,-200,-200,-200,-200,-200,-200,-80,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448306071,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-67,-76,-200,-200,-70,-70,-200,-200,-87,-200,-200,-200,-200,-200,-76,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526448307168,-200,-200,-200,-83,-200,-75,-200,-200,-200,-200,-81,-200,-200,-200,-200,-70,-200,-200,-78,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-79,-200,-200,-70,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448308269,-200,-200,-200,-79,-200,-200,-200,-200,-86,-200,-83,-200,-74,-82,-200,-200,-200,-82,-200,-200,-70,-77,-200,-200,-200,-85,-200,-200,-200,-200,-81,-200,-73,-200,-200,-89,-200,-200,-200,-200,-200,-200,-92,-94,-200,-200,-200
1526448310481,-200,-200,-200,-84,-74,-200,-200,-93,-200,-200,-200,-200,-74,-200,-200,-200,-78,-89,-200,-69,-200,-200,-200,-91,-200,-84,-200,-200,-200,-87,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526448311651,-92,-200,-200,-80,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-70,-71,-75,-93,-87,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448313861,-200,-200,-200,-78,-200,-200,-200,-200,-200,-80,-200,-200,-73,-81,-200,-72,-200,-200,-74,-200,-72,-83,-93,-200,-200,-84,-200,-200,-200,-77,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526448316081,-73,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-71,-78,-84,-200,-200,-200,-200,-200,-68,-70,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448317173,-76,-83,-79,-200,-80,-82,-85,-90,-87,-200,-200,-68,-77,-200,-200,-66,-200,-76,-200,-200,-75,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448318313,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-74,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448319376,-200,-83,-83,-77,-200,-200,-200,-200,-200,-80,-78,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448320480,-73,-200,-200,-82,-200,-82,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526448321560,-77,-200,-200,-200,-200,-81,-87,-200,-200,-77,-78,-200,-75,-200,-200,-69,-200,-88,-85,-70,-73,-74,-200,-90,-86,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-87,-200,-200,-200,-90,-91,-200,-200
1526448322827,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526448323878,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-75,-200,-68,-200,-200,-200,-200,-68,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448324962,-70,-81,-79,-83,-200,-82,-200,-200,-86,-200,-200,-70,-200,-200,-200,-200,-73,-76,-83,-200,-200,-200,-200,-200,-86,-75,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-88,-200,-200,-94,-200,-200,-200,-200
1526448327167,-200,-200,-200,-200,-200,-200,-200,-95,-85,-78,-200,-200,-76,-200,-70,-200,-75,-79,-200,-70,-200,-75,-200,-93,-84,-200,-200,-91,-74,-78,-200,-200,-200,-200,-200,-200,-92,-83,-200,-200,-200,-97,-200,-200,-200,-200,-200
1526448328321,-200,-83,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448329362,-71,-85,-200,-85,-200,-76,-200,-200,-200,-78,-200,-200,-200,-85,-200,-200,-74,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
