,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0124.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0123.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:31:7F,BC:6A:29:BE:31:17,78:A5:04:41:E9:CC,78:A5:04:41:E9:AB,78:A5:04:41:EB:A5,78:A5:04:41:E7:D4,BC:6A:29:BE:2F:54,78:A5:04:41:E9:A0,78:A5:04:41:E9:D3,78:A5:04:41:E9:BB,78:A5:04:41:EB:E8,78:A5:04:41:E9:98,78:A5:04:41:E5:34,7C:66:9D:7B:47:FC,78:A5:04:41:EB:D1,78:A5:04:41:EB:91,78:A5:04:41:E5:6B,78:A5:04:41:E9:CB,78:A5:04:41:E7:9D,78:A5:04:41:EB:C3,78:A5:04:41:E5:3E,78:A5:04:41:E5:68,78:A5:04:41:EB:AD,78:A5:04:41:E9:82,78:A5:04:41:EB:B5,78:A5:04:41:E9:B3,78:A5:04:41:E9:FD,78:A5:04:41:E9:F3,78:A5:04:41:EB:BA,78:A5:04:41:E5:59,78:A5:04:41:E5:62,F4:B8:5E:AA:79:07,78:A5:04:41:E9:BF,78:A5:04:41:EE:06,78:A5:04:41:E9:8A,F4:B8:5E:AA:77:5C,78:A5:04:41:E9:BE,78:A5:04:41:EB:F1,78:A5:04:41:EE:17,78:A5:04:41:EB:CE,78:A5:04:41:E9:EB,7C:66:9D:7B:2E:21,78:A5:04:41:EB:9C,78:A5:04:41:E9:8E,78:A5:04:41:E9:D5,78:A5:04:41:E9:B4,78:A5:04:41:E7:88,78:A5:04:41:E9:CD,78:A5:04:41:E5:4E
1526454461529,-90,-64,-71,-66,-81,-89,-85,-80,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454462683,-200,-62,-71,-200,-87,-200,-200,-200,-92,-81,-92,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454463735,-89,-60,-200,-200,-89,-86,-90,-200,-200,-200,-200,-200,-87,-91,-91,-87,-83,-87,-75,-86,-92,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454464909,-200,-62,-200,-200,-200,-90,-200,-83,-200,-200,-200,-200,-200,-97,-200,-91,-200,-88,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454467012,-82,-75,-200,-71,-77,-200,-200,-82,-92,-200,-200,-81,-200,-84,-200,-200,-200,-89,-87,-200,-200,-200,-80,-90,-93,-89,-88,-89,-90,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454468181,-200,-200,-200,-200,-200,-86,-200,-200,-200,-83,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454469232,-80,-78,-200,-82,-86,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-77,-86,-200,-86,-77,-200,-200,-200,-200,-87,-200,-200,-94,-93,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454470351,-84,-63,-78,-79,-200,-200,-80,-200,-92,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-90,-200,-200,-200,-82,-97,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454471527,-200,-60,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-87,-200,-77,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-75,-94,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454472687,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-92,-200,-200,-200,-200,-200,-200,-200
1526454473737,-200,-62,-200,-200,-200,-200,-82,-84,-200,-78,-200,-76,-200,-200,-93,-200,-200,-200,-74,-200,-200,-200,-72,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526454474875,-200,-200,-81,-72,-80,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-81,-79,-200,-200,-88,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454477029,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-88,-84,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-86,-200,-90,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526454478166,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454479247,-81,-64,-78,-200,-78,-200,-80,-200,-200,-78,-200,-75,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-74,-200,-200,-200,-200,-88,-200,-200,-92,-200,-200,-200,-200,-200,-200,-75,-87,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526454481519,-200,-68,-74,-200,-200,-200,-88,-79,-200,-79,-200,-82,-200,-91,-200,-200,-200,-79,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-94,-200,-200,-200,-90,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526454482644,-200,-66,-200,-76,-200,-200,-89,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-77,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-93,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526454484923,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454485931,-200,-200,-76,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-89,-74,-200,-200,-200,-73,-200,-200,-88,-94,-200,-200,-200,-200,-84,-91,-86,-200,-92,-200,-72,-91,-87,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526454489271,-200,-200,-82,-200,-200,-200,-200,-200,-85,-76,-200,-200,-200,-200,-91,-200,-200,-87,-73,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454491464,-200,-70,-200,-78,-200,-200,-200,-83,-200,-82,-94,-200,-200,-200,-92,-200,-200,-200,-74,-87,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526454493625,-86,-63,-72,-71,-77,-200,-200,-200,-200,-200,-88,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200
1526454494728,-84,-200,-74,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526454495833,-200,-64,-200,-74,-85,-200,-200,-84,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454496940,-200,-65,-200,-74,-200,-200,-200,-82,-200,-200,-90,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
