,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:07,78:A5:04:41:E5:5F,78:A5:04:41:EB:C7
1526458316228,-88,-95,-90
1526458319508,-86,-89,-200
1526458320620,-86,-94,-200
1526458321783,-84,-94,-91
1526458323920,-86,-93,-200
1526458326209,-85,-94,-200
1526458327152,-85,-200,-200
1526458327260,-85,-200,-200
1526458327690,-85,-200,-200
1526458327800,-85,-200,-200
1526458327914,-85,-97,-92
1526458328290,-200,-90,-200
1526458328391,-84,-94,-200
1526458328538,-84,-200,-92
1526458329157,-86,-200,-92
1526458329261,-84,-200,-200
1526458330613,-85,-94,-200
1526458332081,-200,-94,-200
1526458333441,-84,-97,-200
1526458337938,-84,-88,-93
1526458338344,-84,-96,-92
1526458338573,-85,-95,-93
1526458338807,-85,-200,-93
1526458339010,-84,-200,-200
1526458340377,-84,-200,-94
1526458346332,-85,-90,-200
1526458347689,-86,-200,-200
1526458348115,-86,-200,-93
1526458349451,-84,-94,-200
1526458353817,-84,-90,-200
1526458355185,-85,-200,-200
1526458357073,-86,-200,-200
1526458357288,-86,-200,-200
1526458357922,-85,-90,-200
1526458361786,-86,-200,-200
1526458362421,-86,-200,-200
1526458363050,-85,-200,-200
1526458364420,-86,-200,-200
1526458365160,-86,-200,-200
1526458365792,-85,-95,-200
1526458367785,-84,-98,-200
1526458369778,-85,-200,-200
1526458370413,-86,-200,-200
1526458371774,-86,-200,-200
1526458373027,-86,-200,-96
1526458374282,-86,-89,-200
1526458375149,-86,-90,-94
1526458377778,-85,-200,-95
1526458378896,-85,-200,-92
1526458379637,-85,-200,-200
