,011f.0012-vlucci.com A1.4.0.1,011e.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
,F4:B8:5E:AA:77:7A,F4:B8:5E:AA:78:68,78:A5:04:41:E9:E0
1526461647328,-96,-97,-200
1526461647435,-91,-95,-200
1526461653036,-94,-200,-92
1526461659643,-95,-200,-91
1526461662926,-200,-200,-96
1526461670983,-97,-200,-91
1526461674034,-97,-200,-92
1526461679595,-97,-200,-92
1526461681796,-92,-90,-96
1526461688497,-200,-93,-200
1526461692081,-93,-92,-200
1526461692286,-93,-92,-200
1526461692499,-94,-92,-200
1526461692915,-200,-92,-94
1526461693226,-93,-92,-200
1526461693435,-92,-94,-200
1526461693761,-200,-91,-200
1526461693867,-92,-93,-200
1526461694604,-92,-92,-200
1526461694917,-200,-92,-200
1526461695226,-92,-92,-200
1526461695537,-93,-91,-93
1526461695952,-200,-93,-200
1526461696161,-93,-92,-200
1526461696371,-91,-91,-93
1526461698691,-91,-96,-200
1526461701905,-200,-94,-95
1526461709687,-200,-92,-200
