,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:F2,F4:B8:5E:AA:7A:3E,78:A5:04:41:EB:E4,78:A5:04:41:EB:B5
1526463352642,-92,-200,-200,-200
1526463353684,-86,-92,-200,-200
1526463355873,-92,-200,-200,-200
1526463359256,-86,-200,-200,-200
1526463360406,-88,-200,-200,-200
1526463364814,-90,-200,-200,-200
1526463365967,-92,-200,-200,-200
1526463369205,-93,-200,-200,-200
1526463371484,-94,-200,-96,-98
1526463392565,-93,-200,-200,-200
1526463398046,-89,-200,-200,-92
1526463401308,-200,-200,-200,-91
1526463408038,-200,-200,-200,-96
1526463411291,-200,-200,-200,-94
1526463411385,-200,-200,-200,-94
