,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c1:3a:8d,74:da:da:c1:03:2d,0c:73:eb:d0:13:d8,74:da:da:c1:02:8d,0c:73:eb:d0:11:d8,74:da:da:c1:03:1d,0c:73:eb:d0:7e:d0,0c:73:eb:d0:7c:40,74:da:da:c1:3a:81,0c:73:eb:d0:7f:00,74:da:da:c1:02:91,74:da:da:c1:03:21,d8:15:0d:6c:13:98,74:da:da:c1:3a:8e,0c:73:eb:d0:7c:28,74:da:da:c1:03:2e,0c:73:eb:d0:11:f8,0c:73:eb:d0:13:90,74:da:da:c1:02:8e,74:da:da:c1:3a:82,74:da:da:c0:f6:15,0c:73:eb:d0:13:b8,74:da:da:98:74:74,0c:73:eb:d0:11:c0,0c:73:eb:d0:13:98,74:da:da:c1:3a:dd,74:da:da:98:74:80,74:da:da:c1:03:1e,74:da:da:98:85:1c,0c:73:eb:d0:7f:18,0c:73:eb:d0:7c:08,74:da:da:c1:02:92,74:da:da:c1:3d:2d,74:da:da:c1:03:22,74:da:da:98:74:34,74:da:da:98:85:4c,74:da:da:c1:6b:4e,ec:26:ca:0b:d4:1e,74:da:da:c1:6b:4d,74:da:da:c1:3c:f5,0c:73:eb:d0:7a:68
1526452474181,-29,-31,-37,-38,-43,-44,-46,-50,-52,-55,-57,-59,-61,-63,-64,-67,-67,-72,-73,-74,-74,-74,-76,-77,-77,-77,-78,-79,-80,-81,-81,-82,-83,-84,-84,-84,-200,-200,-200,-200,-200
1526452477199,-44,-36,-40,-49,-48,-39,-42,-53,-53,-56,-57,-58,-58,-65,-60,-61,-58,-72,-76,-74,-74,-74,-76,-76,-77,-77,-73,-67,-80,-200,-81,-79,-83,-80,-81,-84,-92,-200,-200,-200,-200
1526452480214,-44,-36,-40,-49,-48,-39,-42,-45,-53,-56,-57,-58,-58,-65,-60,-61,-58,-72,-76,-74,-74,-200,-76,-76,-77,-77,-73,-67,-80,-200,-81,-79,-83,-80,-81,-84,-92,-200,-200,-200,-200
1526452483234,-36,-32,-39,-49,-49,-39,-44,-46,-60,-59,-57,-58,-53,-65,-60,-60,-66,-74,-76,-84,-74,-200,-68,-76,-77,-64,-69,-68,-80,-200,-81,-74,-83,-82,-82,-84,-92,-200,-200,-200,-200
1526452486247,-36,-32,-39,-49,-49,-39,-44,-52,-60,-59,-57,-58,-53,-65,-60,-60,-66,-74,-76,-84,-74,-200,-68,-76,-77,-64,-69,-68,-80,-200,-81,-74,-83,-82,-82,-84,-92,-200,-200,-200,-200
1526452489265,-36,-35,-47,-55,-48,-43,-40,-53,-55,-67,-51,-67,-53,-64,-61,-62,-66,-74,-80,-85,-74,-200,-68,-76,-77,-72,-70,-60,-80,-83,-81,-74,-83,-82,-82,-87,-92,-200,-200,-200,-200
1526452492288,-36,-35,-47,-55,-48,-43,-40,-53,-55,-67,-51,-67,-53,-64,-61,-62,-66,-74,-80,-85,-74,-200,-68,-76,-77,-72,-70,-60,-80,-83,-81,-74,-83,-82,-82,-87,-92,-200,-200,-200,-200
1526452495302,-36,-35,-41,-60,-56,-43,-42,-55,-55,-67,-51,-67,-53,-60,-61,-62,-66,-74,-80,-81,-74,-200,-68,-76,-200,-67,-69,-60,-200,-83,-81,-74,-200,-81,-82,-87,-92,-79,-200,-200,-200
1526452498318,-36,-35,-41,-60,-56,-43,-42,-51,-55,-67,-51,-67,-53,-60,-61,-62,-66,-74,-80,-81,-74,-200,-68,-76,-200,-67,-69,-60,-200,-83,-81,-74,-200,-81,-82,-87,-92,-79,-200,-200,-200
1526452501325,-34,-36,-40,-55,-56,-43,-43,-48,-55,-62,-53,-67,-53,-66,-61,-66,-60,-74,-80,-85,-75,-200,-68,-76,-200,-67,-70,-60,-200,-83,-200,-72,-200,-83,-82,-87,-92,-79,-55,-76,-200
1526452504342,-34,-36,-40,-55,-56,-43,-43,-50,-55,-62,-53,-67,-53,-66,-61,-66,-60,-74,-80,-85,-75,-200,-68,-76,-200,-67,-70,-60,-200,-83,-200,-72,-200,-83,-82,-87,-92,-79,-55,-76,-200
1526452507361,-34,-32,-40,-55,-56,-38,-41,-55,-55,-59,-53,-59,-61,-66,-61,-63,-60,-74,-76,-83,-75,-200,-68,-200,-200,-67,-72,-60,-200,-83,-200,-73,-200,-82,-82,-87,-200,-79,-55,-76,-78
1526452510374,-34,-32,-40,-55,-56,-38,-41,-56,-55,-59,-53,-59,-61,-66,-61,-63,-60,-74,-76,-83,-75,-200,-68,-200,-200,-67,-72,-60,-200,-83,-200,-73,-200,-82,-82,-87,-200,-79,-55,-76,-78
1526452513386,-38,-33,-38,-48,-44,-38,-43,-53,-55,-55,-57,-55,-60,-61,-61,-62,-60,-200,-77,-81,-75,-200,-200,-200,-200,-59,-75,-60,-200,-83,-200,-74,-200,-89,-82,-87,-200,-79,-69,-76,-78
1526452516398,-38,-33,-38,-48,-44,-38,-43,-53,-55,-55,-57,-55,-60,-61,-61,-62,-60,-200,-77,-81,-75,-200,-200,-200,-200,-59,-75,-60,-200,-83,-200,-74,-200,-89,-82,-87,-200,-79,-69,-76,-78
1526452519410,-38,-33,-38,-48,-44,-37,-41,-59,-200,-57,-57,-59,-68,-62,-200,-65,-59,-200,-74,-81,-85,-200,-200,-200,-200,-59,-78,-60,-200,-200,-200,-74,-200,-85,-82,-87,-200,-79,-69,-76,-78
1526452522418,-38,-33,-38,-48,-44,-37,-41,-56,-200,-57,-57,-59,-68,-62,-200,-65,-59,-200,-74,-81,-85,-200,-200,-200,-200,-59,-78,-60,-200,-200,-200,-74,-200,-85,-82,-87,-200,-79,-69,-76,-78
1526452525444,-36,-33,-39,-48,-44,-53,-45,-53,-55,-56,-57,-59,-68,-63,-200,-69,-58,-200,-74,-82,-85,-200,-200,-200,-200,-57,-76,-60,-200,-200,-200,-73,-200,-83,-82,-87,-200,-200,-69,-76,-78
1526452528458,-36,-33,-39,-48,-44,-53,-45,-55,-55,-56,-57,-59,-68,-63,-200,-69,-58,-200,-74,-82,-85,-200,-200,-200,-200,-57,-76,-60,-200,-200,-200,-73,-200,-83,-82,-87,-200,-200,-69,-76,-78
1526452531474,-35,-33,-39,-48,-45,-41,-38,-57,-55,-59,-57,-57,-68,-64,-69,-68,-58,-200,-74,-79,-85,-200,-200,-200,-200,-57,-75,-60,-200,-200,-200,-72,-200,-83,-79,-87,-200,-200,-69,-200,-78
1526452534499,-35,-33,-39,-48,-45,-41,-38,-55,-55,-59,-57,-57,-68,-64,-69,-68,-58,-200,-74,-79,-85,-200,-200,-200,-200,-57,-75,-60,-200,-200,-200,-72,-200,-83,-79,-87,-200,-200,-69,-200,-78
