,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,74:da:da:c1:03:2d,74:da:da:c1:3a:8d,0c:73:eb:d0:11:d8,74:da:da:c1:02:8d,0c:73:eb:d0:7e:d0,74:da:da:c1:03:21,0c:73:eb:d0:13:d8,74:da:da:c1:03:1d,74:da:da:c1:02:91,0c:73:eb:d0:7c:40,74:da:da:c1:3a:81,74:da:da:c1:03:2e,0c:73:eb:d0:7f:00,0c:73:eb:d0:13:90,74:da:da:c1:6b:4d,d8:15:0d:6c:13:98,0c:73:eb:d0:11:f8,74:da:da:c1:3a:8e,74:da:da:c1:03:1e,74:da:da:98:74:80,74:da:da:c1:02:8e,74:da:da:c1:02:92,74:da:da:c1:03:22,0c:73:eb:d0:11:c0,74:da:da:c0:f6:15,74:da:da:98:74:34,74:da:da:c1:3a:82,0c:73:eb:d0:7a:68,74:da:da:c0:d8:3d,0c:73:eb:d0:7c:28,74:da:da:c1:3d:2d,74:da:da:98:85:4c,0c:73:eb:d0:11:c8,74:da:da:98:74:74,74:da:da:98:90:94,0c:73:eb:d0:13:98,74:da:da:c1:3a:dd,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:08,0c:73:eb:d0:13:b0
1526452575308,-28,-40,-43,-43,-45,-47,-48,-50,-53,-58,-60,-61,-62,-63,-65,-67,-68,-70,-71,-72,-73,-76,-78,-78,-80,-82,-84,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452578317,-28,-40,-43,-46,-43,-59,-56,-43,-49,-55,-69,-57,-50,-63,-65,-62,-68,-71,-71,-68,-73,-76,-81,-78,-84,-82,-84,-90,-92,-73,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452581342,-28,-40,-43,-46,-43,-59,-56,-43,-49,-55,-69,-57,-50,-63,-65,-62,-68,-71,-71,-68,-73,-76,-81,-78,-84,-82,-84,-90,-92,-73,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452584372,-28,-41,-46,-46,-43,-59,-46,-45,-49,-54,-69,-59,-49,-63,-65,-65,-74,-71,-71,-68,-74,-74,-78,-75,-84,-85,-85,-90,-92,-73,-76,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526452587379,-28,-41,-46,-46,-43,-59,-46,-45,-49,-54,-69,-59,-49,-63,-65,-65,-74,-71,-71,-68,-74,-74,-78,-75,-84,-85,-85,-200,-200,-73,-76,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526452590390,-29,-43,-46,-45,-42,-61,-42,-44,-50,-57,-69,-58,-49,-63,-65,-65,-70,-71,-71,-68,-74,-73,-80,-75,-84,-85,-83,-200,-200,-73,-76,-83,-79,-200,-200,-200,-200,-200,-200,-200
1526452593401,-29,-43,-46,-45,-42,-61,-42,-44,-50,-57,-69,-58,-49,-63,-65,-65,-70,-71,-71,-68,-74,-73,-80,-75,-84,-85,-83,-200,-200,-73,-76,-83,-79,-200,-200,-200,-200,-200,-200,-200
1526452596414,-31,-44,-46,-49,-41,-54,-46,-44,-50,-54,-67,-58,-55,-200,-200,-65,-70,-71,-71,-71,-75,-81,-82,-75,-84,-85,-81,-200,-200,-73,-73,-83,-79,-77,-93,-200,-200,-200,-200,-200
1526452599427,-31,-44,-46,-49,-41,-54,-46,-44,-50,-54,-67,-58,-55,-200,-200,-65,-70,-71,-71,-71,-75,-81,-82,-75,-84,-85,-81,-200,-200,-73,-73,-83,-79,-77,-93,-200,-200,-200,-200,-200
