,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,74:da:da:c0:f3:01,74:da:da:c1:3a:81,74:da:da:c0:d7:19,0c:73:eb:d0:7f:18,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:00,74:da:da:c0:d7:b9,74:da:da:98:91:d4,74:da:da:c0:e2:d9,0c:73:eb:d0:13:a8,0c:73:eb:d0:11:e0,74:da:da:c0:f4:69,0c:73:eb:d0:7a:68,74:da:da:c1:48:bd,0c:73:eb:d0:7f:10,0c:73:eb:d0:13:d0,0c:73:eb:d0:7c:08,0c:73:eb:d0:7e:e0,74:da:da:c0:d7:0d,74:da:da:c1:3a:dd,74:da:da:c1:3c:51,74:da:da:98:92:14,0c:73:eb:d0:7c:38,74:da:da:c1:56:ed,0c:73:eb:d0:7e:f8,74:da:da:c1:56:a1,0c:73:eb:d0:11:f8,0c:73:eb:d0:7c:28,74:da:da:98:85:00,0c:73:eb:d0:7c:30,0c:73:eb:d0:11:e8,74:da:da:c1:3c:99,ec:26:ca:0b:d4:1e,74:da:da:98:85:60,0c:73:eb:d0:11:f0,74:da:da:c0:f3:02,0c:73:eb:d0:7f:08,0c:73:eb:d0:7c:40,0c:73:eb:d0:7e:e8,0c:73:eb:d0:76:38,74:da:da:c1:48:be,74:da:da:c1:3c:f6,74:da:da:c1:3a:82,74:da:da:c0:d7:1a,74:da:da:c0:d7:ba,c0:61:18:93:35:28,74:da:da:98:91:d5,74:da:da:c0:f6:15,74:da:da:c0:f4:6a,74:da:da:c1:56:a2,74:da:da:98:92:15,74:da:da:c0:d7:0e,74:da:da:c1:6b:4e,74:da:da:c1:3a:de,74:da:da:c1:56:ee,74:da:da:98:85:01,74:da:da:c1:3a:8e,74:da:da:c0:e0:69,0c:73:eb:d0:19:b8,0c:73:eb:d0:7e:f0,c0:61:18:93:3e:54,74:da:da:98:85:61,74:da:da:c1:3b:c9,0c:73:eb:d0:7c:18,74:da:da:c1:3c:f9,74:da:da:c1:3c:52,74:da:da:c1:6b:4d,74:da:da:c0:e0:71,74:da:da:c0:e0:6a,74:da:da:98:85:4c,0c:73:eb:d0:11:d8,0c:73:eb:d0:13:d8
1526447383030,-29,-30,-30,-32,-32,-35,-37,-39,-40,-44,-45,-45,-46,-46,-47,-47,-48,-48,-49,-51,-51,-52,-52,-52,-53,-53,-54,-54,-56,-58,-58,-58,-59,-59,-59,-63,-63,-64,-64,-64,-65,-65,-66,-67,-68,-70,-71,-75,-76,-77,-77,-79,-81,-81,-85,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447386061,-40,-30,-34,-36,-48,-43,-37,-39,-40,-44,-45,-45,-46,-46,-47,-51,-48,-48,-58,-51,-55,-52,-52,-60,-56,-53,-52,-54,-56,-58,-61,-58,-57,-58,-58,-67,-63,-64,-52,-64,-68,-66,-70,-61,-65,-70,-74,-75,-81,-81,-77,-83,-81,-81,-85,-87,-91,-59,-68,-72,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447389074,-44,-30,-36,-32,-45,-38,-37,-39,-44,-43,-49,-44,-48,-47,-55,-48,-45,-48,-53,-51,-55,-50,-49,-60,-52,-53,-57,-54,-49,-58,-61,-200,-60,-62,-55,-63,-63,-64,-52,-64,-68,-71,-75,-62,-70,-70,-73,-75,-81,-75,-86,-80,-81,-81,-200,-85,-91,-59,-68,-72,-84,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447392101,-46,-48,-36,-32,-42,-38,-37,-39,-52,-51,-56,-41,-47,-54,-41,-48,-45,-48,-49,-53,-49,-50,-51,-60,-52,-53,-51,-54,-49,-58,-61,-200,-60,-62,-52,-61,-63,-64,-52,-64,-68,-71,-70,-65,-66,-70,-72,-75,-80,-74,-86,-82,-81,-81,-200,-85,-91,-59,-68,-72,-84,-88,-56,-62,-64,-86,-200,-200,-200,-200,-200,-200
1526447395139,-46,-48,-33,-35,-42,-38,-37,-39,-50,-51,-56,-41,-43,-48,-41,-48,-45,-48,-48,-53,-49,-50,-51,-53,-52,-53,-51,-54,-54,-58,-61,-200,-55,-62,-53,-58,-63,-64,-52,-64,-70,-79,-70,-65,-70,-70,-73,-75,-81,-75,-86,-87,-88,-81,-200,-83,-91,-59,-68,-72,-84,-86,-56,-62,-64,-86,-200,-200,-200,-200,-200,-200
1526447398172,-42,-48,-37,-34,-43,-34,-44,-39,-48,-45,-47,-39,-41,-48,-39,-48,-45,-48,-48,-56,-49,-50,-49,-52,-51,-200,-51,-54,-54,-58,-61,-200,-55,-62,-53,-62,-58,-200,-52,-64,-68,-76,-72,-65,-66,-70,-70,-75,-77,-71,-85,-86,-88,-81,-200,-85,-91,-64,-68,-72,-84,-86,-54,-62,-64,-86,-200,-200,-200,-200,-200,-200
1526447401202,-42,-52,-39,-53,-46,-38,-47,-39,-48,-46,-47,-42,-45,-48,-47,-48,-46,-48,-47,-56,-49,-55,-50,-50,-52,-200,-48,-200,-50,-58,-61,-200,-51,-62,-53,-60,-62,-200,-51,-200,-69,-76,-72,-65,-72,-79,-78,-200,-80,-76,-88,-82,-88,-81,-200,-83,-91,-64,-68,-72,-84,-86,-54,-62,-64,-86,-200,-200,-200,-200,-200,-200
1526447404230,-41,-46,-35,-38,-42,-37,-47,-200,-48,-44,-43,-40,-45,-45,-45,-46,-49,-200,-47,-56,-50,-55,-51,-50,-52,-200,-48,-200,-61,-200,-61,-200,-55,-54,-52,-57,-59,-200,-51,-200,-74,-72,-71,-66,-72,-79,-74,-200,-75,-77,-88,-82,-88,-200,-87,-85,-200,-64,-68,-72,-84,-86,-54,-62,-64,-91,-200,-200,-200,-200,-200,-200
1526447407255,-41,-46,-35,-54,-42,-35,-42,-200,-52,-44,-46,-40,-45,-45,-39,-47,-49,-200,-49,-56,-50,-51,-51,-50,-55,-200,-48,-200,-61,-66,-65,-200,-58,-54,-52,-62,-59,-200,-55,-200,-73,-76,-72,-66,-68,-79,-73,-200,-79,-73,-88,-83,-89,-200,-84,-84,-200,-57,-200,-200,-200,-86,-54,-68,-64,-87,-61,-81,-200,-200,-200,-200
