,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c0:f3:01,0c:73:eb:d0:11:e0,74:da:da:98:91:d4,74:da:da:c0:f4:69,74:da:da:c0:d7:b9,0c:73:eb:d0:7e:f8,74:da:da:c1:48:bd,74:da:da:c0:d7:19,0c:73:eb:d0:7c:00,74:da:da:c1:3a:81,74:da:da:98:92:14,0c:73:eb:d0:7f:10,74:da:da:c1:56:a1,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:08,74:da:da:98:85:00,0c:73:eb:d0:13:a8,74:da:da:c0:e2:d9,0c:73:eb:d0:7f:18,74:da:da:c0:d7:0d,0c:73:eb:d0:7f:08,0c:73:eb:d0:7a:68,0c:73:eb:d0:7c:38,0c:73:eb:d0:13:d0,74:da:da:c1:3a:dd,74:da:da:c1:3c:51,0c:73:eb:d0:11:f8,0c:73:eb:d0:7e:e0,0c:73:eb:d0:7c:28,74:da:da:c0:d7:ba,74:da:da:c1:3b:cd,74:da:da:c0:f3:02,74:da:da:c1:56:ed,74:da:da:c0:d7:1a,74:da:da:c1:56:a2,ec:26:ca:0b:d4:1e,74:da:da:98:85:60,74:da:da:c1:6b:4d,c0:61:18:93:3e:54,0c:73:eb:d0:7e:e8,74:da:da:c1:3a:82,0c:73:eb:d0:11:e8,74:da:da:c1:48:be,0c:73:eb:d0:76:38,74:da:da:98:91:d5,74:da:da:c0:f4:6a,74:da:da:c1:3b:69,74:da:da:98:85:4c,0c:73:eb:d0:13:d8,0c:73:eb:d0:7c:40,74:da:da:c1:6b:4e,74:da:da:c0:d7:0e,74:da:da:98:85:01,74:da:da:c1:3c:f6,74:da:da:98:92:15,74:da:da:c1:3a:de,74:da:da:98:85:61,74:da:da:98:85:4d,74:da:da:c1:3a:8e,74:da:da:c1:3c:99,0c:73:eb:d0:11:f0,0c:73:eb:d0:7c:30,0c:73:eb:d0:11:d8,74:da:da:c1:3c:9a,0c:73:eb:d0:19:b8,0c:73:eb:d0:7c:18,74:da:da:c1:4b:05,0c:73:eb:d0:7c:10,74:da:da:c1:3c:f9,74:da:da:c1:3d:05,74:da:da:c1:03:2d
1526449084650,-34,-38,-38,-39,-40,-41,-42,-43,-43,-43,-44,-44,-45,-46,-49,-49,-50,-51,-53,-54,-54,-55,-55,-55,-55,-55,-56,-57,-58,-59,-59,-60,-60,-64,-64,-65,-66,-66,-67,-67,-68,-69,-70,-70,-72,-73,-74,-74,-76,-76,-81,-83,-83,-84,-85,-86,-87,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449087681,-37,-47,-38,-43,-42,-43,-46,-39,-35,-43,-52,-50,-45,-37,-49,-57,-50,-51,-37,-47,-54,-54,-51,-57,-55,-55,-56,-57,-200,-66,-59,-64,-60,-66,-72,-65,-66,-66,-200,-67,-68,-60,-70,-70,-64,-83,-74,-74,-200,-200,-86,-84,-84,-75,-85,-87,-87,-90,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449090693,-37,-49,-38,-45,-42,-43,-46,-38,-34,-43,-52,-53,-45,-33,-53,-57,-53,-53,-37,-46,-54,-54,-51,-50,-200,-59,-47,-57,-200,-69,-200,-65,-200,-70,-72,-68,-66,-66,-200,-200,-68,-60,-70,-63,-64,-83,-200,-74,-200,-200,-88,-84,-85,-74,-85,-87,-87,-200,-86,-56,-59,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449093727,-37,-64,-44,-50,-51,-44,-46,-40,-30,-43,-54,-51,-45,-31,-57,-57,-53,-49,-35,-50,-56,-57,-55,-49,-200,-59,-48,-57,-200,-70,-200,-65,-200,-66,-73,-64,-64,-66,-200,-200,-71,-60,-66,-64,-68,-79,-200,-74,-200,-200,-84,-86,-88,-70,-85,-86,-87,-200,-88,-56,-59,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449096754,-41,-52,-44,-50,-51,-46,-44,-38,-33,-39,-54,-51,-45,-34,-54,-57,-51,-45,-39,-50,-56,-54,-55,-45,-200,-59,-52,-57,-68,-70,-200,-61,-200,-65,-71,-62,-67,-66,-200,-200,-70,-52,-66,-64,-67,-80,-200,-74,-77,-200,-79,-86,-87,-66,-85,-87,-87,-200,-87,-56,-58,-66,-68,-91,-200,-200,-200,-200,-200,-200,-200
1526449099787,-42,-53,-47,-50,-49,-50,-44,-43,-31,-39,-52,-51,-45,-32,-55,-57,-51,-46,-39,-48,-56,-56,-56,-41,-200,-62,-52,-57,-68,-69,-200,-68,-200,-65,-68,-62,-67,-66,-200,-200,-67,-60,-65,-64,-66,-85,-200,-74,-77,-200,-79,-85,-87,-67,-85,-88,-88,-200,-89,-59,-58,-64,-62,-91,-200,-200,-200,-200,-200,-200,-200
1526449102813,-42,-50,-47,-49,-49,-50,-48,-42,-34,-39,-54,-52,-200,-32,-51,-57,-54,-46,-44,-44,-67,-56,-54,-40,-200,-62,-48,-57,-68,-69,-200,-61,-62,-69,-72,-62,-67,-66,-200,-200,-67,-54,-64,-64,-66,-83,-200,-200,-77,-69,-79,-86,-87,-65,-200,-90,-88,-200,-87,-59,-56,-68,-62,-91,-70,-200,-200,-200,-200,-200,-200
1526449105848,-40,-50,-47,-49,-49,-52,-44,-47,-34,-39,-54,-57,-200,-32,-51,-57,-54,-48,-37,-42,-67,-57,-54,-40,-200,-65,-46,-200,-68,-66,-200,-64,-71,-67,-73,-64,-67,-200,-200,-200,-66,-52,-64,-64,-66,-82,-66,-200,-77,-69,-83,-84,-87,-67,-200,-91,-86,-200,-87,-59,-50,-68,-62,-91,-70,-66,-200,-200,-200,-200,-200
1526449108873,-42,-56,-50,-50,-45,-48,-44,-47,-34,-37,-51,-47,-200,-32,-51,-200,-49,-45,-36,-46,-58,-57,-54,-43,-200,-65,-48,-200,-68,-67,-200,-69,-71,-63,-75,-64,-63,-200,-200,-200,-73,-52,-67,-64,-63,-79,-66,-200,-77,-69,-84,-88,-87,-67,-200,-91,-86,-200,-87,-58,-52,-68,-62,-91,-70,-66,-200,-200,-200,-200,-200
