,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
,0c:73:eb:d0:7c:18,74:da:da:c1:4b:01,74:da:da:c1:3c:f5,74:da:da:c1:3c:dd,0c:73:eb:d0:11:f0,0c:73:eb:d0:7c:00,0c:73:eb:d0:7c:10,74:da:da:c1:4b:05,74:da:da:c1:3c:99,74:da:da:c1:3b:49,74:da:da:c1:4b:59,74:da:da:c1:4a:f5,74:da:da:c0:e2:d9,0c:73:eb:d0:11:e8,74:da:da:c0:d7:19,74:da:da:c1:3c:f6,74:da:da:c1:3a:81,0c:73:eb:d0:7c:48,0c:73:eb:d0:7f:18,0c:73:eb:d0:13:d0,0c:73:eb:d0:7c:30,74:da:da:c1:3b:4a,74:da:da:c1:4b:02,74:da:da:c1:3c:de,0c:73:eb:d0:11:f8,74:da:da:c0:f2:fd,74:da:da:c0:e0:71,74:da:da:c1:4a:f6,0c:73:eb:d0:7e:f0,0c:73:eb:d0:76:58,0c:73:eb:d0:7a:68,74:da:da:c0:f4:6a,74:da:da:c1:3c:9a,74:da:da:c1:4b:06,74:da:da:c1:4b:5a,74:da:da:c0:f2:fe,0c:73:eb:d0:7e:f8,74:da:da:c1:48:be,74:da:da:98:8d:79,74:da:da:c1:3c:d1,74:da:da:c1:3c:e1,74:da:da:c1:3c:f9,bc:d1:77:5f:6a:b4,74:da:da:c1:3c:fa,0c:73:eb:d0:0e:c0,74:da:da:98:8d:78,74:da:da:98:74:94,74:da:da:c0:d7:b9,74:da:da:c1:4a:ed,74:da:da:c1:3c:ad,74:da:da:98:74:95,74:da:da:98:7a:4c
1526454606189,-34,-37,-39,-39,-41,-42,-45,-49,-49,-52,-53,-55,-55,-56,-59,-60,-60,-60,-61,-62,-62,-67,-68,-70,-73,-73,-74,-76,-76,-78,-79,-79,-81,-83,-83,-84,-84,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454609212,-26,-31,-36,-39,-45,-52,-45,-49,-49,-44,-53,-39,-55,-48,-59,-67,-60,-39,-61,-62,-61,-58,-64,-63,-73,-73,-74,-71,-200,-78,-79,-79,-79,-83,-79,-84,-84,-89,-71,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454611636,-26,-31,-36,-39,-45,-57,-45,-49,-49,-44,-53,-39,-55,-48,-59,-67,-60,-39,-61,-62,-61,-58,-64,-63,-73,-73,-74,-71,-200,-200,-79,-79,-79,-83,-79,-84,-84,-200,-71,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454614660,-51,-29,-36,-40,-49,-55,-48,-49,-49,-44,-53,-39,-55,-48,-59,-64,-60,-39,-61,-62,-64,-52,-66,-60,-73,-73,-74,-71,-200,-200,-79,-79,-82,-86,-77,-78,-84,-200,-69,-78,-57,-58,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454617678,-51,-29,-36,-40,-49,-54,-48,-49,-49,-44,-53,-39,-55,-48,-59,-64,-60,-39,-61,-62,-64,-52,-66,-60,-73,-73,-74,-71,-200,-200,-79,-79,-82,-86,-77,-78,-84,-200,-69,-78,-57,-58,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454620691,-39,-29,-36,-36,-52,-56,-48,-49,-49,-44,-47,-36,-55,-48,-59,-61,-60,-46,-61,-62,-60,-66,-58,-53,-73,-73,-77,-67,-200,-82,-79,-79,-78,-82,-77,-84,-84,-200,-70,-78,-57,-58,-63,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526454623712,-39,-29,-36,-36,-52,-56,-48,-49,-49,-44,-47,-36,-55,-48,-59,-61,-60,-46,-61,-62,-60,-66,-58,-53,-73,-73,-77,-67,-200,-82,-79,-79,-78,-82,-77,-84,-84,-200,-70,-78,-57,-58,-63,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526454626731,-37,-35,-36,-30,-44,-51,-55,-57,-49,-44,-46,-36,-64,-47,-200,-61,-200,-46,-61,-62,-55,-63,-58,-53,-200,-73,-77,-60,-200,-82,-200,-200,-78,-80,-77,-84,-84,-200,-75,-86,-57,-58,-63,-92,-91,-200,-200,-200,-200,-200,-200,-200
1526454629755,-37,-35,-36,-30,-44,-58,-55,-57,-49,-44,-46,-36,-64,-47,-200,-61,-200,-46,-61,-62,-55,-63,-58,-53,-200,-73,-77,-60,-200,-82,-200,-200,-78,-80,-77,-84,-84,-200,-75,-86,-57,-58,-63,-92,-91,-200,-200,-200,-200,-200,-200,-200
