,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:13:c8,74:da:da:98:90:94,74:da:da:c1:3c:11,74:da:da:98:90:2c,74:da:da:c1:3c:45,0c:73:eb:d0:13:b0,74:da:da:c0:d7:11,0c:73:eb:d0:11:c8,74:da:da:c1:3c:46,0c:73:eb:d0:76:18,0c:73:eb:d0:19:c0,74:da:da:98:66:cc,74:da:da:98:ea:54,50:3a:a0:ea:01:66,74:da:da:98:90:95,74:da:da:c1:3c:55,74:da:da:98:74:34,0c:73:eb:d0:13:90,0c:73:eb:d0:19:90,0c:73:eb:d0:19:c8,0c:73:eb:d0:76:10,0c:73:eb:d0:19:a0,74:da:da:98:74:80,74:da:da:c0:d6:f5,74:da:da:c1:3c:4d,74:da:da:c0:d6:ed,74:da:da:c1:3c:12,74:da:da:98:85:4c,0c:73:eb:d0:7f:00,74:da:da:98:66:cd,74:da:da:98:90:2d,c0:61:18:93:35:28,74:da:da:c1:3c:86,74:da:da:c1:3c:56,74:da:da:98:85:60,74:da:da:98:ea:5c,74:da:da:c1:3c:85,0c:73:eb:d0:2a:50,74:da:da:c0:d8:3d,74:da:da:c1:03:21,74:da:da:98:8f:30,74:da:da:98:ea:64,0c:73:eb:d0:19:88,0c:73:eb:d0:19:80,0c:73:eb:d0:13:98,74:da:da:c0:d9:39,74:da:da:c1:3c:cd,74:da:da:98:74:74,74:da:da:98:ea:50,74:da:da:c0:d8:1d
1526458388727,-35,-35,-39,-48,-49,-52,-53,-53,-55,-56,-56,-58,-58,-59,-60,-61,-61,-63,-64,-65,-72,-72,-73,-75,-77,-78,-79,-82,-82,-84,-86,-86,-88,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458391740,-34,-36,-53,-44,-53,-60,-49,-55,-54,-59,-52,-58,-200,-51,-59,-57,-58,-64,-61,-64,-74,-72,-71,-200,-69,-78,-77,-82,-82,-83,-71,-86,-84,-89,-92,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458394758,-34,-36,-53,-44,-53,-60,-49,-55,-54,-59,-52,-58,-200,-51,-59,-57,-58,-64,-61,-64,-74,-72,-71,-200,-69,-200,-77,-82,-82,-83,-71,-86,-84,-89,-92,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458397772,-34,-42,-44,-44,-53,-59,-57,-63,-54,-60,-59,-58,-200,-51,-61,-57,-62,-64,-58,-62,-74,-72,-71,-200,-69,-63,-79,-82,-82,-80,-69,-86,-87,-83,-92,-77,-56,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458400784,-34,-42,-44,-44,-53,-59,-57,-63,-54,-60,-59,-58,-200,-51,-61,-57,-62,-64,-58,-62,-74,-72,-71,-200,-69,-63,-79,-82,-82,-80,-69,-86,-87,-83,-92,-77,-56,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458403794,-35,-37,-44,-44,-47,-59,-57,-63,-52,-59,-54,-58,-200,-47,-61,-61,-58,-67,-53,-62,-74,-72,-72,-200,-69,-63,-79,-82,-82,-78,-68,-86,-87,-85,-92,-77,-56,-87,-89,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458406809,-35,-37,-44,-44,-47,-59,-57,-63,-52,-59,-54,-58,-200,-47,-61,-61,-58,-67,-53,-62,-74,-72,-72,-200,-69,-63,-79,-82,-82,-78,-68,-200,-87,-85,-200,-77,-56,-87,-89,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458409826,-35,-36,-44,-44,-47,-55,-51,-62,-51,-58,-54,-61,-200,-46,-61,-58,-57,-67,-57,-61,-74,-72,-72,-200,-73,-63,-79,-82,-82,-78,-68,-200,-87,-85,-200,-77,-56,-83,-89,-73,-69,-73,-83,-200,-200,-200,-200,-200,-200,-200
1526458412837,-35,-36,-44,-44,-47,-55,-51,-62,-51,-58,-54,-61,-200,-46,-61,-58,-57,-67,-57,-61,-74,-72,-72,-200,-73,-63,-79,-200,-200,-78,-68,-200,-87,-85,-200,-77,-56,-83,-89,-73,-69,-73,-83,-200,-200,-200,-200,-200,-200,-200
