,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro
,74:da:da:98:ea:65,74:da:da:c0:d7:9d,0c:73:eb:d0:76:10,74:da:da:98:ea:64,0c:73:eb:d0:76:28,0c:73:eb:d0:2a:50,74:da:da:c1:3c:55,0c:73:eb:d0:19:90,74:da:da:c1:3c:4d,74:da:da:98:ea:54,74:da:da:c0:d7:01,74:da:da:c0:d7:9e,74:da:da:c1:3c:45,74:da:da:c0:d6:f5,74:da:da:c0:d8:1d,74:da:da:98:90:94,74:da:da:c0:d7:81,0c:73:eb:d0:13:a0,0c:73:eb:d0:19:c8,0c:73:eb:d0:19:a0,0c:73:eb:d0:0e:a0,0c:73:eb:d0:0e:c8,74:da:da:c1:3c:85,0c:73:eb:d0:76:50,74:da:da:c0:d7:11,74:da:da:c0:d9:39,0c:73:eb:d0:2a:90,74:da:da:c1:3d:35,50:3a:a0:ea:01:66,74:da:da:c1:4a:69,74:da:da:c0:d7:02,74:da:da:c0:d6:f6,0c:73:eb:d0:19:80,74:da:da:c1:25:d9,0c:73:eb:d0:0e:d8,74:da:da:98:ea:55,74:da:da:c1:4a:85,0c:73:eb:d0:0e:b0,74:da:da:c0:d6:ed,0c:73:eb:d0:76:18,74:da:da:c0:d7:ea,0c:73:eb:d0:13:c8,0c:73:eb:d0:0e:90,74:da:da:98:ea:50,74:da:da:c1:3c:56,74:da:da:c0:d6:ee,74:da:da:c1:3d:0d,74:da:da:c1:3b:19,0c:73:eb:d0:19:c0,74:da:da:c1:25:e5,74:da:da:c1:25:69,74:da:da:98:ea:5c,0c:73:eb:d0:19:88,0c:73:eb:d0:11:c8,0c:73:eb:d0:2a:40,0c:73:eb:d0:13:90,0c:73:eb:d0:0e:a8,74:da:da:c1:25:a1,74:da:da:98:85:60,0c:73:eb:d0:2a:10,74:da:da:c0:d7:82,0c:73:eb:d0:13:b0,74:da:da:98:74:34,74:da:da:c0:d9:3a,74:da:da:c1:3d:85,74:da:da:98:66:cc,74:da:da:c0:d7:e9,74:da:da:c1:3c:11,74:da:da:c0:d8:1e,0c:73:eb:d0:13:b8,74:da:da:c0:d8:59,74:da:da:c1:3d:05,74:da:da:98:90:2c,74:da:da:c1:3b:cd,74:da:da:c0:d7:dd,c0:61:18:93:35:28,74:da:da:c0:f3:05
1526458469769,-36,-37,-41,-41,-44,-47,-50,-51,-51,-52,-54,-55,-55,-56,-56,-59,-60,-60,-61,-61,-62,-65,-65,-67,-67,-68,-69,-69,-70,-70,-71,-72,-73,-73,-74,-74,-74,-74,-75,-75,-76,-76,-77,-77,-78,-78,-78,-79,-80,-80,-81,-82,-82,-82,-83,-85,-85,-85,-86,-87,-88,-88,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458472819,-39,-36,-44,-40,-48,-50,-54,-47,-47,-67,-53,-57,-55,-56,-63,-59,-200,-62,-61,-62,-63,-66,-200,-70,-66,-71,-69,-77,-200,-71,-75,-71,-65,-73,-74,-73,-200,-74,-75,-78,-76,-76,-75,-77,-80,-79,-78,-79,-73,-85,-84,-82,-200,-90,-200,-85,-85,-200,-200,-89,-88,-88,-200,-90,-77,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458475871,-39,-38,-40,-40,-48,-50,-53,-47,-58,-52,-51,-57,-68,-77,-57,-59,-200,-58,-64,-64,-68,-66,-200,-70,-66,-70,-69,-77,-77,-71,-73,-71,-62,-72,-66,-74,-200,-77,-75,-78,-76,-76,-75,-77,-80,-80,-78,-80,-74,-85,-84,-82,-200,-90,-200,-85,-85,-200,-200,-89,-87,-88,-200,-88,-73,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458478924,-38,-38,-40,-43,-46,-49,-53,-52,-53,-52,-51,-55,-68,-73,-60,-200,-66,-59,-61,-64,-65,-70,-200,-71,-66,-71,-65,-77,-77,-71,-73,-71,-62,-72,-66,-75,-200,-77,-73,-78,-81,-76,-75,-79,-80,-80,-78,-80,-74,-85,-84,-200,-200,-90,-78,-200,-200,-200,-200,-89,-88,-200,-200,-88,-74,-88,-70,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458481973,-34,-38,-40,-44,-47,-47,-48,-48,-56,-57,-52,-55,-65,-80,-57,-200,-66,-60,-67,-58,-68,-74,-200,-70,-66,-71,-65,-65,-77,-71,-72,-70,-63,-72,-66,-73,-200,-77,-73,-78,-81,-76,-77,-79,-80,-82,-78,-81,-74,-85,-83,-200,-200,-90,-78,-200,-200,-200,-200,-89,-88,-200,-200,-86,-74,-88,-70,-79,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526458485033,-37,-36,-38,-43,-45,-49,-53,-45,-53,-54,-61,-56,-65,-80,-60,-200,-65,-60,-67,-58,-68,-74,-200,-76,-66,-71,-65,-65,-81,-71,-74,-73,-63,-72,-70,-75,-200,-77,-73,-78,-79,-76,-77,-79,-82,-82,-200,-81,-75,-85,-83,-86,-200,-90,-77,-200,-200,-200,-200,-89,-90,-200,-200,-86,-74,-88,-70,-79,-88,-90,-200,-200,-200,-200,-200,-200,-200
1526458488086,-39,-34,-43,-45,-47,-49,-49,-51,-53,-53,-53,-56,-79,-80,-60,-70,-65,-60,-66,-65,-65,-70,-200,-76,-200,-69,-65,-69,-81,-200,-74,-71,-66,-72,-66,-74,-200,-77,-73,-200,-79,-78,-78,-86,-79,-82,-200,-81,-75,-200,-81,-86,-200,-200,-77,-200,-200,-85,-200,-87,-90,-200,-200,-86,-74,-88,-70,-79,-88,-86,-200,-200,-200,-200,-200,-200,-200
1526458491139,-38,-38,-42,-44,-50,-52,-52,-52,-49,-53,-54,-56,-79,-80,-57,-70,-67,-62,-62,-65,-61,-70,-200,-79,-200,-69,-68,-67,-78,-200,-73,-70,-64,-79,-66,-74,-200,-200,-73,-77,-79,-78,-78,-81,-79,-82,-82,-81,-72,-200,-81,-86,-200,-85,-77,-200,-200,-85,-200,-87,-88,-200,-200,-88,-79,-85,-70,-79,-88,-86,-200,-200,-200,-200,-200,-200,-200
1526458494205,-38,-35,-39,-44,-46,-50,-47,-51,-42,-55,-51,-56,-67,-72,-60,-70,-64,-63,-64,-63,-63,-66,-200,-75,-200,-69,-67,-67,-78,-69,-70,-71,-63,-74,-66,-74,-80,-200,-73,-77,-79,-77,-78,-81,-79,-81,-82,-80,-74,-84,-81,-86,-200,-85,-77,-200,-200,-85,-200,-87,-88,-200,-200,-88,-79,-87,-200,-200,-88,-86,-90,-200,-200,-200,-200,-200,-200
