,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,DLINK_D02A48,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c0:d7:09,0c:73:eb:d0:2a:38,74:da:da:c0:d7:0a,74:da:da:c1:4a:7d,74:da:da:c1:4a:a5,74:da:da:c0:d7:ed,74:da:da:c1:47:cd,0c:73:eb:d0:2a:28,0c:73:eb:d0:19:b0,0c:73:eb:d0:2a:48,0c:73:eb:d0:2a:20,74:da:da:c1:4a:7e,74:da:da:c1:4a:c9,0c:73:eb:d0:0e:c0,74:da:da:c1:14:99,74:da:da:c1:17:76,74:da:da:c1:3b:e9,0c:73:eb:d0:0e:d0,74:da:da:c1:04:4d,74:da:da:c1:4a:a6,74:da:da:c1:17:75,0c:73:eb:d0:2a:88,74:da:da:c1:47:ce,74:da:da:c1:3c:6d,0c:73:eb:d0:2a:98,74:da:da:c1:02:95,74:da:da:c1:3b:45,74:da:da:c0:d7:ee,74:da:da:c0:d8:05,0c:73:eb:d0:76:20,74:da:da:98:db:44,74:da:da:c1:3c:91,74:da:da:c1:3d:09,0c:73:eb:d0:11:d0,74:da:da:c1:4a:ca,74:da:da:c0:d8:06,74:da:da:c1:14:9a,74:da:da:c1:3c:d1,74:da:da:c0:d7:ea,0c:73:eb:d0:76:40,74:da:da:98:8f:64,74:da:da:c1:3b:85,74:da:da:c1:04:49,74:da:da:c1:4b:59,0c:73:eb:d0:2a:30,74:da:da:c1:3b:4d,0c:73:eb:d0:2a:10,74:da:da:c1:3c:6e,74:da:da:c1:3b:9d,0c:73:eb:d0:19:a8,74:da:da:c1:03:61,74:da:da:c1:4b:05,74:da:da:98:8f:3c,74:da:da:98:92:14,74:da:da:c0:f3:59,74:da:da:c1:3c:e1,74:da:da:c1:04:45,74:da:da:c0:d7:c5,74:da:da:c1:3b:29,74:da:da:c1:61:69,0c:73:eb:d0:0e:b8,74:da:da:c0:d7:81,0c:73:eb:d0:76:58,0c:73:eb:d0:19:98,74:da:da:c0:d8:59,74:da:da:c0:d8:25,0c:73:eb:d0:2a:18,74:da:da:c0:de:2d,0c:73:eb:d0:76:48,0c:73:eb:d0:2a:58,74:da:da:c1:3b:79,0c:73:eb:d0:0e:d8,74:da:da:c1:3b:19,0c:73:eb:d0:11:b0,74:da:da:c0:d7:e9,74:da:da:c1:25:a1,74:da:da:c1:25:e5
1526460834410,-26,-31,-36,-37,-39,-41,-44,-46,-47,-51,-51,-52,-53,-55,-56,-59,-59,-60,-61,-62,-62,-62,-62,-63,-63,-64,-66,-67,-67,-68,-70,-71,-73,-75,-76,-76,-77,-77,-77,-77,-77,-79,-79,-80,-80,-80,-81,-81,-82,-82,-82,-85,-86,-87,-87,-88,-88,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460837465,-29,-25,-36,-41,-36,-37,-49,-47,-38,-56,-47,-51,-53,-61,-55,-49,-68,-51,-61,-60,-56,-61,-65,-68,-63,-62,-60,-74,-69,-68,-70,-70,-73,-75,-82,-76,-79,-74,-74,-77,-77,-79,-79,-80,-80,-82,-81,-81,-82,-82,-82,-85,-86,-87,-87,-88,-88,-89,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460840530,-25,-21,-37,-42,-38,-42,-50,-47,-34,-53,-47,-50,-54,-62,-56,-48,-68,-51,-64,-57,-56,-57,-64,-68,-63,-62,-58,-72,-68,-66,-200,-69,-73,-200,-81,-200,-78,-74,-76,-78,-200,-200,-79,-200,-200,-82,-200,-81,-200,-200,-84,-200,-200,-200,-87,-200,-88,-200,-200,-70,-82,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460843604,-29,-27,-34,-41,-35,-38,-50,-51,-38,-55,-46,-50,-53,-62,-56,-47,-68,-48,-61,-59,-56,-57,-64,-70,-65,-60,-58,-72,-68,-67,-200,-69,-73,-200,-81,-200,-78,-74,-74,-78,-200,-200,-79,-200,-200,-85,-200,-81,-200,-200,-84,-200,-200,-200,-88,-200,-88,-200,-200,-70,-82,-85,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460846644,-29,-51,-36,-41,-45,-42,-50,-50,-38,-54,-44,-50,-52,-63,-54,-47,-64,-52,-63,-59,-55,-57,-63,-70,-63,-60,-57,-72,-70,-68,-200,-68,-73,-200,-80,-200,-78,-73,-74,-67,-200,-200,-79,-200,-200,-79,-87,-81,-200,-83,-84,-200,-200,-200,-88,-200,-88,-200,-200,-70,-82,-85,-79,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460849703,-27,-32,-35,-40,-31,-42,-50,-50,-38,-54,-48,-49,-52,-61,-54,-47,-65,-48,-64,-60,-56,-59,-63,-71,-63,-60,-58,-72,-70,-71,-200,-68,-200,-200,-80,-200,-81,-73,-74,-67,-84,-200,-200,-200,-200,-79,-87,-200,-200,-83,-84,-200,-200,-200,-88,-200,-200,-200,-200,-70,-82,-85,-79,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460852756,-27,-30,-36,-40,-37,-42,-50,-49,-37,-47,-47,-50,-52,-58,-60,-47,-65,-47,-64,-60,-58,-59,-67,-71,-62,-60,-58,-70,-65,-70,-200,-71,-200,-77,-80,-200,-84,-75,-74,-74,-84,-200,-200,-200,-200,-79,-87,-200,-200,-83,-84,-200,-200,-200,-88,-200,-200,-200,-200,-70,-82,-85,-79,-89,-63,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460855811,-27,-26,-36,-39,-39,-44,-50,-47,-37,-53,-48,-50,-52,-56,-60,-47,-65,-48,-60,-59,-55,-63,-65,-69,-71,-60,-59,-70,-65,-70,-77,-71,-74,-80,-80,-200,-80,-75,-73,-70,-84,-200,-200,-200,-200,-77,-87,-200,-200,-83,-200,-200,-200,-200,-88,-200,-200,-200,-200,-73,-85,-200,-84,-89,-63,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460858878,-27,-26,-36,-39,-39,-39,-50,-50,-34,-50,-47,-50,-49,-59,-60,-47,-61,-46,-67,-59,-57,-63,-64,-69,-63,-60,-57,-70,-65,-66,-76,-68,-71,-80,-80,-200,-79,-75,-73,-70,-84,-200,-200,-200,-200,-77,-87,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-83,-200,-84,-89,-63,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
