,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,DLINK_D00E98,DLINK_D02A58,DLINK_D02A98,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
,74:da:da:c1:04:4a,74:da:da:c1:04:49,74:da:da:c1:04:45,0c:73:eb:d0:2a:30,74:da:da:c0:d8:59,74:da:da:c1:25:9d,74:da:da:c1:04:4d,74:da:da:c1:02:95,74:da:da:c1:04:46,0c:73:eb:d0:0e:b8,74:da:da:c1:04:4e,74:da:da:c1:25:9e,0c:73:eb:d0:2a:88,0c:73:eb:d0:0e:98,0c:73:eb:d0:2a:58,0c:73:eb:d0:2a:98,0c:73:eb:d0:2a:60,74:da:da:c1:25:e5,74:da:da:c1:5e:ed,74:da:da:c1:5e:ee,74:da:da:c1:02:96,74:da:da:c0:d8:05,0c:73:eb:d0:2a:40,74:da:da:c1:03:61,74:da:da:c1:03:62,74:da:da:c1:3b:79,74:da:da:98:ea:4c,0c:73:eb:d0:0e:c0,74:da:da:c1:25:a2,0c:73:eb:d0:2a:68,74:da:da:c0:de:2d,74:da:da:c1:25:a1,74:da:da:c0:d8:7e,74:da:da:c1:25:e6,74:da:da:c1:25:69,0c:73:eb:d0:2a:10,0c:73:eb:d0:0e:a8,74:da:da:c1:25:d9,0c:73:eb:d0:2a:28,74:da:da:c0:de:2e,74:da:da:c0:d7:e9,0c:73:eb:d0:0e:a0,74:da:da:c0:d8:7d,74:da:da:c1:14:99,74:da:da:c1:47:cd,74:da:da:c0:d7:ed,74:da:da:c1:25:6a,74:da:da:c0:f3:5a,0c:73:eb:d0:13:a0,74:da:da:c1:3b:9d,74:da:da:c0:f3:59,74:da:da:98:8f:34,0c:73:eb:d0:2a:90,74:da:da:c1:3c:8d,0c:73:eb:d0:19:a8,0c:73:eb:d0:76:48,74:da:da:c1:17:75,0c:73:eb:d0:2a:48,74:da:da:c1:4a:7d,74:da:da:c0:d7:09,74:da:da:c1:3b:7a,74:da:da:c1:3d:85,74:da:da:98:db:44,0c:73:eb:d0:2a:38,74:da:da:c1:3b:45,0c:73:eb:d0:0e:d8,0c:73:eb:d0:2a:20,74:da:da:c1:4a:c9,0c:73:eb:d0:2a:18,74:da:da:c1:3d:09,0c:73:eb:d0:0e:d0,74:da:da:c1:4a:a5,0c:73:eb:d0:0e:b0,0c:73:eb:d0:0e:c8,74:da:da:c0:d7:81
1526455343048,-35,-35,-37,-38,-44,-48,-49,-50,-52,-52,-55,-56,-56,-57,-59,-60,-62,-63,-63,-65,-65,-65,-65,-66,-68,-68,-68,-69,-70,-70,-73,-73,-74,-74,-74,-76,-76,-76,-77,-78,-78,-78,-78,-79,-80,-80,-80,-81,-82,-83,-83,-84,-84,-84,-85,-85,-86,-86,-86,-86,-87,-87,-88,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455346096,-35,-35,-43,-41,-61,-54,-47,-56,-52,-52,-55,-52,-56,-57,-60,-52,-56,-63,-63,-65,-64,-62,-64,-66,-68,-74,-68,-69,-66,-70,-73,-61,-74,-74,-79,-76,-68,-76,-77,-78,-78,-80,-66,-79,-65,-72,-200,-81,-82,-83,-83,-84,-84,-84,-200,-85,-86,-71,-86,-86,-87,-87,-88,-88,-200,-74,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526455349140,-35,-35,-43,-40,-62,-54,-43,-57,-52,-64,-54,-54,-53,-54,-66,-46,-58,-63,-200,-65,-64,-62,-64,-200,-68,-66,-85,-69,-63,-70,-73,-61,-76,-75,-79,-76,-68,-76,-77,-78,-84,-80,-66,-200,-62,-74,-200,-77,-200,-200,-83,-200,-82,-200,-79,-85,-200,-71,-200,-200,-87,-200,-200,-86,-200,-75,-83,-85,-85,-200,-200,-200,-200,-200,-200
1526455352173,-35,-34,-45,-44,-62,-56,-47,-57,-53,-62,-54,-52,-53,-54,-66,-46,-61,-63,-65,-65,-64,-60,-64,-200,-68,-64,-85,-69,-64,-69,-73,-66,-76,-77,-79,-79,-68,-82,-77,-78,-84,-78,-73,-200,-64,-72,-200,-78,-200,-200,-83,-200,-82,-200,-79,-85,-200,-71,-200,-83,-88,-87,-200,-86,-200,-75,-83,-85,-85,-200,-200,-200,-200,-200,-200
1526455355221,-35,-36,-43,-39,-61,-56,-43,-60,-51,-55,-54,-52,-56,-59,-68,-44,-57,-63,-65,-65,-64,-60,-64,-200,-68,-65,-87,-69,-64,-73,-73,-66,-76,-76,-79,-85,-80,-82,-77,-78,-74,-78,-66,-77,-64,-72,-200,-78,-200,-200,-83,-200,-82,-200,-79,-92,-200,-76,-200,-83,-88,-87,-200,-86,-200,-75,-83,-85,-85,-81,-200,-200,-200,-200,-200
1526455358283,-37,-35,-43,-39,-58,-56,-43,-60,-51,-55,-54,-53,-56,-59,-68,-44,-63,-200,-65,-65,-64,-60,-64,-200,-67,-64,-87,-200,-63,-70,-73,-61,-76,-76,-72,-77,-80,-82,-80,-78,-74,-78,-66,-77,-64,-72,-200,-78,-200,-200,-200,-200,-82,-200,-79,-92,-200,-76,-200,-83,-88,-87,-200,-86,-200,-75,-83,-85,-85,-81,-200,-200,-200,-200,-200
1526455361314,-37,-35,-44,-39,-64,-58,-43,-57,-52,-55,-56,-53,-53,-57,-57,-45,-59,-200,-68,-65,-64,-60,-67,-200,-69,-67,-87,-200,-64,-70,-73,-76,-81,-76,-72,-77,-80,-82,-80,-78,-74,-78,-66,-80,-64,-72,-200,-78,-200,-200,-200,-200,-82,-200,-79,-92,-200,-76,-200,-83,-87,-87,-200,-87,-200,-78,-200,-85,-85,-81,-88,-200,-200,-200,-200
1526455364382,-36,-38,-44,-41,-64,-57,-43,-57,-53,-55,-56,-52,-54,-58,-57,-46,-55,-200,-68,-63,-65,-60,-67,-200,-68,-67,-87,-200,-64,-75,-73,-68,-77,-76,-72,-77,-80,-82,-79,-78,-82,-79,-65,-80,-64,-72,-200,-78,-200,-200,-200,-200,-200,-200,-200,-92,-200,-76,-200,-86,-87,-88,-200,-87,-200,-74,-200,-200,-200,-81,-88,-87,-89,-200,-200
1526455367423,-36,-39,-44,-46,-61,-53,-44,-61,-53,-56,-56,-51,-58,-63,-59,-46,-56,-58,-70,-64,-66,-57,-70,-63,-69,-67,-87,-71,-64,-76,-73,-68,-77,-76,-72,-77,-80,-200,-75,-77,-82,-79,-65,-74,-63,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-92,-86,-77,-200,-86,-87,-88,-200,-87,-200,-75,-200,-200,-200,-81,-84,-87,-89,-200,-200
1526455370486,-36,-35,-43,-45,-61,-53,-44,-63,-51,-54,-54,-53,-58,-59,-59,-53,-58,-58,-70,-64,-65,-58,-70,-64,-69,-65,-89,-67,-64,-72,-73,-67,-77,-75,-71,-81,-200,-88,-75,-77,-78,-79,-65,-75,-62,-82,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-83,-77,-200,-86,-87,-88,-200,-83,-200,-75,-200,-81,-200,-200,-84,-87,-89,-200,-200
1526455373529,-35,-35,-40,-42,-62,-54,-44,-56,-51,-54,-54,-53,-55,-59,-58,-53,-55,-58,-70,-66,-65,-58,-70,-63,-69,-65,-87,-67,-62,-73,-200,-62,-77,-76,-71,-78,-200,-88,-78,-77,-82,-78,-65,-76,-62,-82,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-83,-73,-200,-84,-87,-88,-200,-83,-95,-75,-200,-81,-200,-200,-84,-87,-89,-88,-200
1526455376563,-35,-34,-46,-42,-59,-52,-47,-57,-50,-57,-54,-55,-53,-56,-62,-50,-54,-58,-70,-65,-64,-58,-70,-66,-69,-69,-85,-67,-63,-72,-68,-73,-77,-76,-85,-78,-200,-88,-78,-77,-76,-78,-65,-76,-60,-73,-200,-76,-200,-200,-200,-200,-77,-200,-200,-200,-83,-77,-200,-84,-87,-88,-200,-83,-95,-77,-200,-81,-200,-200,-84,-87,-89,-88,-200
1526455379602,-35,-35,-42,-46,-59,-56,-42,-63,-49,-54,-54,-53,-54,-60,-62,-48,-56,-58,-70,-66,-66,-61,-70,-66,-68,-69,-82,-67,-63,-73,-78,-68,-200,-78,-85,-82,-200,-88,-75,-77,-80,-79,-67,-73,-64,-73,-200,-76,-200,-200,-200,-200,-77,-87,-200,-200,-84,-70,-200,-84,-88,-200,-200,-83,-95,-72,-81,-81,-200,-81,-84,-200,-200,-88,-200
1526455382646,-36,-37,-45,-48,-59,-55,-42,-63,-50,-60,-54,-55,-53,-60,-62,-54,-55,-200,-64,-69,-67,-57,-200,-63,-68,-69,-81,-77,-64,-73,-78,-68,-200,-78,-85,-82,-82,-88,-79,-77,-80,-77,-67,-77,-64,-75,-200,-76,-200,-200,-200,-86,-77,-87,-200,-87,-84,-70,-87,-84,-89,-200,-200,-83,-93,-72,-81,-81,-200,-81,-200,-200,-200,-88,-200
1526455385718,-36,-40,-45,-44,-57,-52,-42,-63,-52,-60,-53,-53,-52,-58,-62,-49,-55,-62,-64,-67,-63,-61,-200,-65,-68,-71,-81,-80,-63,-73,-71,-72,-78,-80,-85,-82,-74,-200,-73,-77,-86,-77,-75,-77,-66,-73,-200,-75,-200,-200,-200,-86,-74,-87,-200,-87,-85,-79,-87,-84,-89,-200,-200,-84,-93,-76,-85,-200,-200,-81,-90,-200,-200,-88,-200
1526455388775,-32,-42,-45,-48,-60,-51,-42,-59,-52,-58,-53,-53,-53,-61,-65,-50,-59,-62,-62,-69,-65,-60,-67,-65,-66,-70,-81,-70,-68,-74,-70,-72,-76,-81,-85,-82,-74,-200,-73,-77,-75,-80,-75,-82,-64,-73,-200,-79,-200,-200,-200,-86,-74,-87,-200,-87,-85,-79,-89,-84,-89,-87,-200,-84,-93,-74,-85,-200,-200,-81,-90,-200,-200,-200,-200
1526455391818,-30,-36,-45,-48,-57,-54,-40,-59,-49,-51,-53,-52,-53,-57,-61,-55,-51,-61,-62,-70,-65,-61,-67,-65,-66,-71,-81,-70,-68,-70,-70,-72,-76,-75,-200,-79,-74,-81,-74,-200,-71,-80,-75,-82,-62,-73,-200,-79,-200,-200,-77,-86,-74,-87,-200,-87,-85,-79,-85,-81,-88,-84,-200,-84,-93,-74,-85,-200,-200,-81,-90,-200,-200,-200,-200
1526455394900,-30,-36,-45,-50,-58,-58,-40,-51,-51,-51,-53,-54,-56,-60,-58,-59,-52,-61,-62,-70,-66,-61,-72,-64,-66,-72,-81,-70,-69,-72,-70,-60,-75,-76,-200,-79,-74,-81,-74,-200,-71,-80,-75,-81,-62,-73,-200,-79,-200,-200,-77,-86,-74,-87,-200,-91,-79,-79,-85,-81,-88,-87,-200,-85,-90,-74,-85,-200,-200,-200,-90,-200,-200,-200,-83
1526455397927,-30,-36,-49,-47,-58,-60,-40,-54,-51,-50,-53,-53,-55,-53,-59,-52,-53,-61,-67,-68,-66,-61,-72,-64,-66,-72,-200,-75,-69,-71,-70,-60,-75,-76,-200,-79,-85,-81,-74,-200,-71,-80,-75,-86,-65,-73,-200,-79,-200,-200,-77,-200,-74,-87,-200,-91,-79,-79,-85,-81,-88,-87,-200,-85,-90,-74,-85,-200,-200,-200,-87,-200,-200,-200,-83
1526455400967,-30,-40,-47,-45,-59,-56,-40,-54,-50,-49,-55,-53,-55,-53,-63,-53,-80,-61,-67,-68,-70,-58,-72,-61,-68,-66,-81,-75,-68,-73,-70,-60,-75,-76,-200,-78,-85,-81,-77,-80,-75,-80,-200,-81,-67,-85,-200,-79,-200,-200,-79,-200,-200,-87,-78,-86,-79,-79,-82,-81,-88,-87,-200,-86,-88,-79,-200,-80,-200,-200,-86,-200,-200,-200,-83
