,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309
,0c:73:eb:d0:19:80,74:da:da:c0:d6:ed,74:da:da:c0:d7:11,0c:73:eb:d0:19:c0,74:da:da:c0:d7:12,74:da:da:c0:d9:39,74:da:da:c0:d6:f5,74:da:da:98:90:2c,74:da:da:c0:d6:ee,74:da:da:c0:d7:01,0c:73:eb:d0:19:c8,74:da:da:c0:d9:3a,74:da:da:98:ea:64,0c:73:eb:d0:2a:50,74:da:da:c0:d6:f6,74:da:da:98:ea:54,74:da:da:c1:3c:11,0c:73:eb:d0:0e:c8,74:da:da:98:66:cc,0c:73:eb:d0:13:b0,0c:73:eb:d0:76:18,74:da:da:c1:4a:85,0c:73:eb:d0:13:98,0c:73:eb:d0:76:10,74:da:da:98:90:94,74:da:da:98:74:74,74:da:da:c1:03:61,74:da:da:98:ea:55,0c:73:eb:d0:76:28,74:da:da:c0:d7:02,74:da:da:c1:4a:69,74:da:da:c1:02:91,74:da:da:c1:3c:85,0c:73:eb:d0:13:c8,74:da:da:c1:3d:2d,0c:73:eb:d0:2a:90,74:da:da:98:90:2d,74:da:da:c1:03:1d,0c:73:eb:d0:19:90,74:da:da:c1:25:d9,74:da:da:c0:e0:6d,74:da:da:c1:3c:45,0c:73:eb:d0:0e:a0,74:da:da:c0:d7:81,74:da:da:c0:d8:1d,74:da:da:c1:25:a1,0c:73:eb:d0:7e:d0,74:da:da:98:74:34,0c:73:eb:d0:2a:40,74:da:da:c1:03:21,74:da:da:c0:f6:15,74:da:da:c0:d8:3d,74:da:da:98:74:80,74:da:da:98:91:d4,74:da:da:c1:3d:0d,0c:73:eb:d0:76:50,74:da:da:c1:3b:29,74:da:da:c1:5e:ed,0c:73:eb:d0:13:90,74:da:da:c1:3b:19,0c:73:eb:d0:0e:d8,74:da:da:c0:d8:25,74:da:da:c1:3b:45,74:da:da:c0:f3:59,74:da:da:c1:25:69,0c:73:eb:d0:7f:18,74:da:da:c1:3c:4d,74:da:da:c1:3c:51,74:da:da:c0:d7:b9,74:da:da:c1:56:a1,74:da:da:c1:3c:55,74:da:da:c1:3d:05,74:da:da:c0:d7:9d,50:3a:a0:ea:01:66,0c:73:eb:d0:0e:a8,74:da:da:c0:f3:05,74:da:da:c1:3b:65,0c:73:eb:d0:13:a0,0c:73:eb:d0:19:88,0c:73:eb:d0:19:98,74:da:da:c0:d8:7d,74:da:da:c1:04:4d,0c:73:eb:d0:11:c8,0c:73:eb:d0:7e:e0,74:da:da:c1:3c:6d,74:da:da:c0:d7:c5,0c:73:eb:d0:0e:b0,0c:73:eb:d0:2a:18,74:da:da:98:ea:65,0c:73:eb:d0:7f:10,0c:73:eb:d0:7c:08,74:da:da:c1:4a:a5,74:da:da:c1:3a:dd,0c:73:eb:d0:19:a0,74:da:da:c1:25:e5,c0:61:18:93:3e:54
1526447542229,-40,-45,-46,-48,-52,-53,-56,-58,-59,-59,-61,-65,-67,-68,-69,-69,-70,-75,-75,-77,-77,-78,-80,-82,-83,-84,-84,-85,-85,-86,-86,-86,-86,-87,-87,-88,-88,-89,-89,-90,-90,-90,-90,-90,-90,-92,-92,-92,-92,-93,-93,-93,-94,-94,-95,-95,-95,-95,-95,-96,-96,-96,-96,-97,-97,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447544595,-46,-47,-38,-49,-80,-48,-49,-60,-59,-60,-64,-62,-75,-63,-67,-59,-64,-76,-72,-66,-82,-89,-80,-75,-76,-83,-84,-90,-85,-89,-84,-86,-86,-84,-83,-88,-84,-94,-200,-90,-90,-88,-90,-90,-90,-92,-200,-200,-92,-93,-87,-93,-86,-94,-200,-95,-95,-95,-95,-76,-96,-96,-96,-91,-200,-97,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447545269,-46,-47,-38,-49,-80,-48,-49,-60,-59,-60,-64,-62,-75,-63,-67,-59,-64,-76,-72,-66,-82,-89,-80,-75,-76,-83,-84,-90,-85,-89,-84,-86,-86,-84,-83,-88,-84,-94,-200,-90,-90,-88,-90,-90,-90,-92,-200,-200,-92,-93,-87,-93,-86,-94,-200,-95,-95,-95,-95,-76,-96,-96,-96,-91,-200,-97,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447547646,-40,-37,-42,-51,-60,-45,-43,-54,-56,-63,-61,-66,-81,-56,-72,-62,-65,-75,-68,-67,-86,-89,-80,-75,-80,-87,-84,-93,-87,-91,-79,-200,-86,-88,-84,-88,-85,-95,-91,-200,-86,-90,-92,-92,-90,-89,-86,-200,-92,-98,-87,-93,-90,-94,-94,-95,-93,-91,-96,-87,-97,-96,-95,-91,-93,-200,-95,-91,-94,-95,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447548312,-40,-37,-42,-51,-60,-45,-43,-54,-56,-63,-61,-66,-81,-56,-72,-62,-65,-75,-68,-67,-86,-89,-80,-75,-80,-87,-84,-93,-87,-91,-79,-200,-86,-88,-84,-88,-85,-95,-91,-200,-86,-90,-92,-92,-90,-89,-86,-200,-92,-98,-87,-93,-90,-94,-94,-95,-93,-91,-96,-87,-97,-96,-95,-91,-93,-200,-95,-91,-94,-95,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447550689,-42,-43,-42,-52,-60,-47,-50,-55,-58,-67,-66,-63,-71,-69,-77,-59,-55,-78,-68,-65,-84,-83,-84,-78,-75,-88,-200,-85,-92,-86,-80,-90,-88,-85,-84,-89,-84,-92,-91,-200,-86,-90,-93,-92,-92,-89,-86,-89,-95,-98,-87,-95,-90,-94,-94,-200,-94,-91,-96,-80,-94,-96,-95,-97,-93,-200,-93,-91,-94,-95,-96,-95,-77,-92,-93,-93,-95,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447551368,-42,-43,-42,-52,-60,-47,-50,-55,-58,-67,-66,-63,-71,-69,-77,-59,-55,-78,-68,-65,-84,-83,-84,-78,-75,-88,-200,-85,-92,-86,-80,-90,-88,-85,-84,-89,-84,-92,-91,-200,-86,-90,-93,-92,-92,-89,-86,-89,-95,-98,-87,-95,-90,-94,-94,-200,-94,-91,-96,-80,-94,-96,-95,-97,-93,-200,-93,-91,-94,-95,-96,-95,-77,-92,-93,-93,-95,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447553723,-39,-49,-38,-50,-63,-42,-47,-59,-61,-60,-60,-63,-74,-67,-65,-58,-65,-78,-68,-67,-88,-83,-84,-79,-80,-83,-200,-87,-94,-84,-80,-87,-88,-84,-83,-91,-83,-92,-200,-94,-85,-88,-91,-92,-91,-88,-86,-89,-95,-98,-200,-94,-91,-94,-94,-94,-94,-92,-96,-86,-94,-200,-94,-97,-200,-200,-94,-93,-96,-95,-96,-95,-77,-94,-93,-93,-95,-99,-91,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447554416,-39,-49,-38,-50,-63,-42,-47,-59,-61,-60,-60,-63,-74,-67,-65,-58,-65,-78,-68,-67,-88,-83,-84,-79,-80,-83,-200,-87,-94,-84,-80,-87,-88,-84,-83,-91,-83,-92,-200,-94,-85,-88,-91,-92,-91,-88,-86,-89,-95,-98,-200,-94,-91,-94,-94,-94,-94,-92,-96,-86,-94,-200,-94,-97,-200,-200,-94,-93,-96,-95,-96,-95,-77,-94,-93,-93,-95,-99,-91,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
