,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro
,0c:73:eb:d0:19:80,74:da:da:c0:d9:39,74:da:da:98:ea:54,0c:73:eb:d0:13:b0,74:da:da:c0:d9:3a,74:da:da:c0:d6:f5,74:da:da:c0:d7:11,74:da:da:c0:d6:ed,0c:73:eb:d0:19:c8,0c:73:eb:d0:19:c0,74:da:da:c0:d6:ee,74:da:da:98:66:cc,74:da:da:98:ea:64,0c:73:eb:d0:2a:50,74:da:da:98:90:2c,74:da:da:c0:d6:f6,74:da:da:c0:d7:02,0c:73:eb:d0:76:18,74:da:da:c0:d7:9d,0c:73:eb:d0:0e:c8,0c:73:eb:d0:76:10,74:da:da:c1:3c:11,0c:73:eb:d0:76:28,74:da:da:98:ea:55,74:da:da:98:90:94,0c:73:eb:d0:13:c8,74:da:da:c1:4a:69,74:da:da:c1:3c:45,74:da:da:98:74:74,74:da:da:c0:d7:12,74:da:da:c0:d8:1d,74:da:da:c1:3d:2d,0c:73:eb:d0:0e:a0,0c:73:eb:d0:19:90,0c:73:eb:d0:2a:40,74:da:da:c1:25:d9,50:3a:a0:ea:01:66,74:da:da:98:90:2d,74:da:da:c0:d8:3d,74:da:da:98:ea:65,0c:73:eb:d0:7e:d0,0c:73:eb:d0:76:50,74:da:da:c1:3c:4d,0c:73:eb:d0:7e:e0,0c:73:eb:d0:0e:b0,74:da:da:c1:3d:0d,74:da:da:c1:3c:51,74:da:da:98:91:d4,74:da:da:c1:3c:6d,74:da:da:c0:d7:01,74:da:da:c0:e0:6d,74:da:da:c1:3b:19,74:da:da:c1:02:91,74:da:da:c0:f6:15,74:da:da:c1:3b:29,74:da:da:c1:4a:85,74:da:da:98:74:80,74:da:da:c0:f3:05,0c:73:eb:d0:7e:f8,74:da:da:c0:f3:59,74:da:da:c0:d7:81,74:da:da:98:66:cd,74:da:da:c1:3b:45,0c:73:eb:d0:19:98,0c:73:eb:d0:19:a0,0c:73:eb:d0:13:90,74:da:da:c1:25:a1,74:da:da:98:db:44,0c:73:eb:d0:2a:90,0c:73:eb:d0:0e:a8,74:da:da:c1:03:1d,0c:73:eb:d0:19:b0,74:da:da:c1:3c:85,74:da:da:c1:3c:55,74:da:da:c1:25:69,74:da:da:c1:25:e5,74:da:da:98:85:4c,74:da:da:c1:3d:35,74:da:da:c1:3b:69,74:da:da:c1:5e:ed,74:da:da:98:74:34,0c:73:eb:d0:2a:68,0c:73:eb:d0:13:98,0c:73:eb:d0:19:88,74:da:da:c1:03:21,0c:73:eb:d0:2a:18,0c:73:eb:d0:11:c8,0c:73:eb:d0:13:a0,74:da:da:c0:d8:25,74:da:da:c0:d7:e9,74:da:da:c1:04:4d,0c:73:eb:d0:0e:d8,74:da:da:98:ea:5c
1526447259696,-42,-43,-47,-48,-52,-52,-54,-54,-55,-59,-60,-62,-62,-65,-65,-68,-73,-73,-74,-75,-76,-77,-77,-78,-79,-80,-81,-81,-81,-82,-84,-86,-86,-88,-88,-89,-90,-91,-91,-91,-93,-94,-94,-95,-96,-96,-97,-97,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447262726,-49,-37,-68,-64,-52,-49,-58,-62,-49,-57,-58,-61,-55,-67,-76,-76,-85,-68,-74,-74,-82,-74,-85,-78,-88,-79,-200,-76,-85,-200,-87,-92,-91,-91,-96,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-57,-78,-87,-90,-90,-91,-91,-92,-94,-95,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447265765,-53,-33,-59,-61,-53,-51,-59,-62,-61,-59,-57,-61,-55,-69,-76,-79,-87,-68,-75,-73,-81,-77,-97,-78,-88,-80,-88,-75,-87,-88,-88,-80,-91,-91,-96,-95,-87,-200,-95,-92,-200,-95,-200,-200,-200,-200,-200,-200,-200,-66,-84,-89,-90,-90,-91,-91,-95,-94,-95,-97,-91,-94,-95,-96,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447268803,-48,-39,-52,-64,-53,-49,-56,-62,-62,-60,-56,-62,-57,-66,-73,-77,-84,-67,-74,-75,-81,-74,-90,-76,-88,-80,-89,-77,-87,-89,-88,-81,-91,-89,-96,-96,-87,-200,-95,-90,-200,-95,-200,-200,-200,-96,-200,-94,-200,-67,-84,-88,-85,-91,-91,-91,-95,-94,-95,-94,-91,-92,-95,-96,-98,-86,-95,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447271848,-51,-39,-62,-62,-53,-52,-59,-63,-55,-56,-58,-57,-54,-68,-77,-77,-85,-67,-75,-77,-78,-71,-90,-78,-86,-83,-89,-73,-87,-83,-88,-53,-92,-92,-200,-96,-91,-200,-95,-90,-93,-95,-200,-200,-200,-95,-200,-96,-200,-65,-84,-91,-85,-93,-200,-87,-95,-94,-200,-94,-91,-92,-95,-96,-98,-86,-95,-97,-80,-92,-93,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447274899,-51,-37,-58,-63,-54,-52,-56,-61,-58,-59,-58,-59,-52,-65,-77,-77,-85,-67,-76,-76,-77,-72,-88,-81,-85,-81,-93,-74,-86,-83,-88,-78,-91,-94,-200,-96,-86,-200,-95,-93,-86,-96,-200,-200,-97,-95,-200,-96,-200,-65,-200,-91,-87,-93,-95,-87,-200,-200,-200,-94,-200,-92,-95,-96,-200,-83,-88,-97,-80,-92,-93,-98,-89,-89,-93,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447277943,-48,-37,-64,-61,-58,-49,-57,-59,-60,-57,-60,-56,-56,-67,-77,-77,-87,-65,-76,-74,-82,-72,-88,-78,-85,-78,-89,-75,-85,-84,-90,-76,-89,-94,-200,-96,-88,-200,-95,-93,-86,-92,-200,-200,-97,-95,-200,-90,-200,-61,-79,-91,-87,-93,-94,-87,-200,-200,-200,-200,-200,-200,-200,-96,-200,-83,-91,-200,-80,-92,-93,-98,-89,-89,-93,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447280990,-49,-38,-67,-62,-55,-49,-58,-60,-53,-57,-58,-62,-57,-67,-78,-77,-88,-68,-76,-78,-82,-74,-90,-80,-85,-84,-89,-75,-87,-82,-90,-77,-91,-92,-200,-96,-88,-200,-93,-88,-92,-94,-200,-200,-97,-95,-200,-96,-200,-61,-79,-91,-89,-200,-94,-87,-200,-96,-200,-97,-200,-200,-200,-96,-200,-83,-91,-200,-82,-200,-200,-200,-89,-89,-92,-98,-96,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447284033,-48,-36,-65,-64,-51,-51,-55,-63,-54,-59,-59,-75,-57,-66,-73,-76,-87,-71,-79,-75,-79,-72,-85,-86,-92,-85,-87,-80,-85,-82,-87,-86,-92,-92,-93,-200,-90,-200,-93,-88,-90,-95,-200,-200,-96,-94,-200,-94,-200,-61,-79,-200,-89,-200,-94,-84,-200,-96,-200,-94,-200,-200,-200,-200,-200,-200,-91,-200,-82,-200,-91,-200,-200,-89,-92,-200,-96,-96,-97,-92,-96,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
