,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,whu2011314,whu2011309,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c0:d7:9d,0c:73:eb:d0:76:28,74:da:da:c0:d8:1d,74:da:da:98:ea:64,74:da:da:c0:d7:01,0c:73:eb:d0:76:10,0c:73:eb:d0:2a:50,74:da:da:c1:3c:4d,0c:73:eb:d0:76:50,0c:73:eb:d0:13:a0,74:da:da:c0:d7:81,0c:73:eb:d0:19:a0,74:da:da:c0:d7:9e,74:da:da:c0:f3:05,0c:73:eb:d0:0e:a0,74:da:da:98:ea:50,0c:73:eb:d0:0e:90,74:da:da:c1:3d:85,74:da:da:c1:3d:0d,74:da:da:c1:3d:09,74:da:da:98:ea:54,74:da:da:c1:3c:55,74:da:da:c0:d7:e9,0c:73:eb:d0:19:c8,74:da:da:c1:25:d9,0c:73:eb:d0:0e:d8,0c:73:eb:d0:0e:b0,74:da:da:c0:d7:02,74:da:da:98:ea:5c,0c:73:eb:d0:0e:c8,74:da:da:c1:25:69,0c:73:eb:d0:19:90,74:da:da:c0:d8:1e,74:da:da:c0:d7:11,74:da:da:c0:d6:f5,74:da:da:c1:3d:35,74:da:da:c1:3b:19,0c:73:eb:d0:2a:90,74:da:da:98:ea:65,0c:73:eb:d0:2a:40,74:da:da:c1:25:a1,0c:73:eb:d0:19:c0,74:da:da:c1:3c:45,74:da:da:c0:d8:05,0c:73:eb:d0:19:80,0c:73:eb:d0:19:b8,74:da:da:c0:d7:82,0c:73:eb:d0:76:38,74:da:da:c0:d7:c5,0c:73:eb:d0:2a:10,74:da:da:98:90:94,74:da:da:98:85:60,74:da:da:98:ea:55,0c:73:eb:d0:13:c8,0c:73:eb:d0:76:18,74:da:da:c0:f3:06,74:da:da:c1:17:75,74:da:da:c1:3b:1a,0c:73:eb:d0:2a:18,74:da:da:c1:3b:c9,74:da:da:c1:3c:4e,74:da:da:c0:e0:6e,0c:73:eb:d0:13:b8,74:da:da:c1:3d:05,74:da:da:c0:e0:6d,0c:73:eb:d0:2a:58,74:da:da:c1:4a:85,74:da:da:c1:3c:85,74:da:da:c1:4a:69,74:da:da:c1:3b:cd,0c:73:eb:d0:76:30,74:da:da:c1:47:cd,74:da:da:c0:f3:59,74:da:da:c0:d8:25,74:da:da:c1:25:e5,74:da:da:98:85:00,74:da:da:c1:3c:cd,74:da:da:c1:3c:8d,74:da:da:98:ea:51,0c:73:eb:d0:2a:98,74:da:da:98:8f:30,0c:73:eb:d0:0e:a8,74:da:da:c0:d7:dd,0c:73:eb:d0:2a:68,c0:61:18:93:35:28,c0:61:18:93:3e:54,0c:73:eb:d0:76:48,0c:73:eb:d0:0e:98,74:da:da:c0:d6:ed,0c:73:eb:d0:19:88,74:da:da:c1:04:4d,74:da:da:c1:56:a1,74:da:da:c1:3b:69
1526449644654,-36,-42,-49,-53,-53,-53,-55,-55,-58,-58,-59,-61,-61,-61,-62,-65,-67,-68,-68,-68,-69,-69,-70,-71,-71,-71,-73,-74,-74,-74,-74,-75,-75,-75,-76,-77,-78,-79,-80,-81,-84,-84,-84,-85,-86,-86,-87,-87,-87,-88,-88,-88,-88,-88,-90,-91,-91,-92,-92,-93,-95,-95,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449647687,-39,-41,-48,-54,-58,-58,-61,-68,-54,-52,-64,-53,-61,-73,-56,-74,-200,-73,-73,-82,-68,-72,-74,-75,-69,-200,-200,-71,-86,-86,-200,-66,-79,-74,-73,-72,-200,-200,-83,-83,-80,-84,-200,-200,-200,-200,-88,-200,-200,-82,-91,-200,-91,-200,-200,-200,-93,-95,-200,-88,-200,-200,-200,-65,-76,-80,-83,-86,-87,-88,-90,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449650734,-38,-40,-48,-53,-56,-65,-66,-73,-54,-49,-57,-58,-52,-71,-57,-75,-200,-69,-74,-82,-69,-64,-78,-73,-69,-74,-200,-70,-84,-84,-79,-67,-78,-73,-82,-67,-78,-200,-83,-76,-80,-84,-87,-200,-200,-91,-90,-89,-200,-86,-91,-200,-92,-200,-91,-200,-94,-95,-200,-88,-94,-200,-200,-67,-75,-86,-83,-86,-87,-88,-89,-96,-82,-83,-87,-89,-90,-90,-93,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449653787,-37,-40,-48,-54,-60,-58,-70,-69,-58,-48,-59,-55,-52,-68,-57,-76,-71,-68,-73,-82,-73,-66,-75,-72,-64,-75,-76,-71,-82,-85,-82,-65,-77,-74,-77,-69,-76,-200,-86,-79,-78,-86,-86,-200,-85,-91,-89,-89,-200,-91,-91,-200,-92,-200,-88,-200,-94,-95,-89,-90,-94,-200,-200,-66,-75,-86,-83,-87,-87,-89,-90,-96,-84,-83,-86,-89,-92,-90,-94,-92,-70,-83,-86,-87,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526449656831,-43,-37,-48,-56,-59,-53,-64,-64,-54,-51,-62,-54,-54,-71,-62,-76,-78,-68,-73,-200,-68,-65,-71,-70,-66,-71,-77,-70,-82,-82,-82,-69,-79,-71,-74,-63,-73,-72,-81,-79,-82,-88,-84,-200,-87,-91,-95,-88,-200,-88,-200,-89,-92,-200,-88,-200,-96,-200,-80,-90,-94,-200,-200,-64,-82,-86,-200,-87,-87,-90,-89,-94,-86,-85,-88,-89,-90,-90,-95,-92,-70,-83,-91,-87,-89,-94,-200,-200,-200,-200,-200,-200,-200
1526449659888,-37,-43,-48,-52,-55,-58,-65,-71,-59,-52,-56,-59,-57,-70,-61,-73,-79,-68,-73,-200,-69,-64,-74,-71,-65,-71,-75,-68,-83,-82,-82,-62,-77,-73,-74,-68,-78,-81,-78,-85,-83,-83,-84,-200,-87,-88,-90,-96,-200,-84,-200,-92,-96,-200,-88,-95,-97,-95,-82,-89,-94,-200,-200,-66,-78,-86,-200,-86,-86,-88,-90,-93,-85,-86,-89,-200,-89,-200,-95,-92,-70,-83,-91,-87,-86,-94,-99,-200,-200,-200,-200,-200,-200
1526449662938,-37,-37,-49,-53,-53,-58,-65,-63,-59,-50,-62,-60,-56,-72,-55,-72,-79,-67,-73,-200,-70,-68,-73,-70,-69,-72,-71,-73,-79,-89,-200,-63,-76,-73,-73,-67,-83,-81,-79,-88,-83,-85,-84,-200,-87,-88,-87,-91,-85,-87,-200,-92,-96,-200,-88,-95,-97,-95,-92,-88,-94,-200,-200,-67,-78,-86,-200,-84,-86,-88,-89,-94,-85,-87,-89,-200,-89,-200,-95,-90,-200,-200,-91,-200,-86,-94,-99,-86,-200,-200,-200,-200,-200
1526449665990,-35,-43,-48,-53,-57,-55,-67,-74,-51,-53,-60,-59,-56,-69,-60,-77,-79,-67,-65,-81,-69,-66,-77,-68,-63,-72,-77,-73,-78,-80,-200,-66,-79,-73,-73,-69,-78,-81,-79,-80,-81,-85,-87,-200,-200,-85,-87,-91,-85,-89,-91,-92,-96,-200,-88,-95,-97,-95,-92,-88,-200,-200,-200,-70,-76,-89,-86,-84,-86,-88,-93,-94,-85,-87,-88,-200,-84,-200,-95,-90,-200,-200,-85,-200,-88,-200,-99,-86,-200,-200,-200,-200,-200
1526449669038,-36,-40,-47,-56,-53,-58,-66,-65,-58,-52,-60,-59,-59,-69,-59,-73,-70,-69,-74,-81,-76,-65,-77,-67,-66,-71,-72,-73,-77,-93,-200,-67,-77,-77,-73,-70,-82,-73,-79,-81,-81,-85,-87,-200,-200,-89,-88,-89,-85,-88,-91,-200,-200,-200,-88,-91,-92,-96,-78,-88,-200,-200,-200,-66,-77,-89,-86,-84,-200,-200,-94,-94,-85,-87,-88,-200,-84,-200,-95,-90,-200,-83,-85,-200,-88,-200,-200,-86,-85,-200,-200,-200,-200
