,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018
,74:da:da:c0:d7:81,0c:73:eb:d0:76:50,74:da:da:c0:f3:05,74:da:da:98:ea:5c,74:da:da:c0:d8:1d,0c:73:eb:d0:13:a0,0c:73:eb:d0:0e:d8,0c:73:eb:d0:0e:a8,74:da:da:c0:d7:82,0c:73:eb:d0:0e:b0,74:da:da:98:ea:64,74:da:da:c1:25:a1,0c:73:eb:d0:2a:90,74:da:da:c1:3d:0d,0c:73:eb:d0:19:88,0c:73:eb:d0:2a:40,74:da:da:c0:f3:59,0c:73:eb:d0:0e:90,74:da:da:c0:d8:1e,74:da:da:c0:f3:06,74:da:da:c0:d7:9d,0c:73:eb:d0:76:10,0c:73:eb:d0:19:a0,74:da:da:c1:3d:09,0c:73:eb:d0:76:28,74:da:da:c1:3d:05,74:da:da:98:ea:54,74:da:da:c0:d7:e9,74:da:da:98:8f:30,74:da:da:c0:d7:01,74:da:da:c1:3d:85,74:da:da:c0:d7:c5,74:da:da:c1:25:e5,0c:73:eb:d0:19:90,74:da:da:c0:d7:ea,74:da:da:c1:3d:06,74:da:da:c1:3c:4d,0c:73:eb:d0:2a:48,74:da:da:c1:3b:cd,74:da:da:c1:47:cd,0c:73:eb:d0:11:e0,0c:73:eb:d0:76:30,74:da:da:c0:d7:11,0c:73:eb:d0:19:c0,0c:73:eb:d0:0e:c8,74:da:da:98:ea:65,74:da:da:c1:3c:55,74:da:da:c1:56:a1,74:da:da:c1:3d:0e,0c:73:eb:d0:2a:58,74:da:da:c1:4a:69,74:da:da:98:ea:5d,74:da:da:c0:d7:dd,74:da:da:c0:d7:9e,74:da:da:c1:47:ce,74:da:da:c0:d6:f5,0c:73:eb:d0:2a:10,c0:61:18:93:35:28,74:da:da:c0:d7:ed,74:da:da:c1:3b:69,0c:73:eb:d0:76:38,74:da:da:c0:d7:02,74:da:da:c0:d7:de,74:da:da:c0:d8:7d,74:da:da:c1:3b:65,74:da:da:c1:3d:36,0c:73:eb:d0:13:a8,74:da:da:c1:3c:85,74:da:da:c1:25:69,74:da:da:c1:3d:35,74:da:da:98:ea:50,74:da:da:c1:25:d9,0c:73:eb:d0:0e:98,74:da:da:c0:d8:25,0c:73:eb:d0:19:b8,74:da:da:c1:3b:c9,74:da:da:c1:3c:cd,0c:73:eb:d0:76:48,74:da:da:c1:3d:86,0c:73:eb:d0:2a:60,74:da:da:98:ea:51,0c:73:eb:d0:2a:18,74:da:da:c0:d8:05,74:da:da:c0:d8:59,0c:73:eb:d0:2a:68,0c:73:eb:d0:2a:50,74:da:da:c1:04:4d,c0:61:18:93:3e:54,0c:73:eb:d0:0e:a0,74:da:da:c1:6b:4d,0c:73:eb:d0:2a:98,0c:73:eb:d0:2a:30,0c:73:eb:d0:19:98,74:da:da:98:85:60,74:da:da:c1:03:61,74:da:da:c1:04:45,0c:73:eb:d0:19:c8,74:da:da:c1:3b:19,74:da:da:98:91:d4,74:da:da:c1:17:75,74:da:da:c0:de:2d,0c:73:eb:d0:7f:08,74:da:da:c1:3c:8d,0c:73:eb:d0:7a:68
1526450519544,-38,-44,-46,-50,-50,-53,-53,-55,-56,-58,-58,-60,-63,-63,-66,-66,-66,-67,-67,-68,-68,-69,-69,-71,-72,-72,-73,-73,-74,-74,-75,-75,-76,-77,-77,-79,-79,-80,-81,-82,-83,-83,-83,-84,-84,-84,-84,-84,-85,-85,-86,-88,-88,-89,-89,-89,-89,-90,-90,-90,-91,-91,-92,-92,-92,-93,-94,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450522582,-48,-58,-61,-69,-38,-44,-57,-200,-67,-59,-83,-200,-200,-60,-200,-55,-200,-53,-59,-78,-59,-75,-58,-75,-56,-68,-200,-70,-200,-200,-61,-200,-66,-88,-83,-200,-72,-200,-200,-83,-200,-85,-200,-95,-200,-200,-74,-92,-200,-80,-200,-200,-80,-87,-200,-90,-77,-200,-91,-200,-88,-200,-200,-200,-200,-83,-200,-200,-56,-57,-58,-72,-74,-76,-77,-80,-85,-91,-91,-91,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450525628,-47,-52,-56,-71,-37,-40,-67,-200,-68,-58,-85,-73,-72,-61,-78,-56,-200,-57,-58,-79,-61,-76,-62,-77,-55,-66,-200,-69,-200,-80,-55,-78,-66,-83,-83,-96,-71,-88,-86,-83,-200,-81,-200,-95,-200,-200,-74,-92,-200,-79,-200,-200,-69,-85,-200,-88,-79,-82,-90,-200,-85,-200,-200,-90,-200,-82,-200,-200,-61,-60,-59,-72,-74,-79,-78,-78,-81,-91,-93,-91,-95,-73,-80,-84,-86,-87,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450528690,-45,-56,-60,-69,-36,-41,-60,-200,-66,-59,-77,-73,-72,-57,-78,-56,-200,-54,-61,-76,-58,-84,-57,-74,-55,-65,-200,-71,-200,-82,-56,-79,-70,-83,-83,-94,-71,-89,-88,-83,-200,-83,-200,-95,-200,-200,-75,-92,-200,-79,-200,-200,-68,-84,-200,-90,-79,-82,-90,-200,-85,-200,-200,-90,-200,-90,-200,-90,-58,-55,-56,-73,-74,-79,-82,-79,-83,-88,-91,-91,-94,-66,-81,-83,-86,-78,-90,-93,-81,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450531745,-45,-54,-59,-67,-39,-42,-59,-82,-68,-57,-83,-72,-72,-62,-81,-52,-89,-50,-58,-82,-60,-88,-54,-74,-55,-65,-95,-70,-200,-79,-55,-79,-67,-83,-82,-95,-71,-85,-87,-83,-200,-89,-200,-94,-200,-200,-74,-200,-95,-87,-200,-200,-70,-84,-200,-92,-79,-82,-93,-96,-88,-200,-200,-90,-200,-82,-200,-90,-61,-59,-59,-70,-200,-76,-72,-79,-82,-88,-91,-200,-92,-76,-81,-84,-86,-85,-90,-93,-80,-98,-86,-94,-96,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450534797,-46,-58,-61,-70,-39,-45,-56,-82,-67,-59,-81,-71,-77,-62,-80,-58,-89,-48,-57,-74,-58,-75,-55,-75,-56,-64,-95,-69,-200,-79,-58,-74,-69,-200,-83,-95,-71,-85,-86,-83,-200,-89,-200,-86,-92,-200,-75,-93,-95,-76,-200,-200,-70,-84,-200,-89,-200,-81,-91,-96,-87,-200,-200,-91,-200,-90,-200,-91,-56,-59,-57,-71,-75,-76,-72,-78,-83,-88,-91,-200,-93,-79,-81,-83,-200,-85,-200,-200,-80,-98,-86,-95,-96,-97,-93,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526450537842,-45,-53,-52,-66,-39,-47,-58,-82,-67,-59,-77,-66,-64,-62,-80,-56,-89,-55,-58,-73,-59,-77,-57,-74,-58,-67,-95,-73,-200,-78,-56,-80,-69,-200,-83,-95,-71,-88,-86,-86,-200,-88,-200,-86,-92,-200,-74,-93,-95,-82,-200,-200,-70,-88,-200,-92,-75,-81,-91,-96,-86,-200,-200,-91,-200,-83,-200,-91,-65,-56,-59,-70,-76,-77,-81,-81,-85,-90,-88,-200,-93,-79,-81,-87,-200,-85,-200,-200,-80,-200,-86,-94,-100,-97,-95,-95,-85,-92,-200,-200,-200,-200,-200,-200
1526450540887,-44,-51,-64,-69,-37,-43,-58,-200,-68,-59,-77,-71,-64,-61,-80,-53,-200,-54,-63,-81,-58,-86,-58,-76,-57,-64,-200,-70,-200,-78,-56,-78,-68,-200,-82,-91,-71,-88,-87,-86,-200,-88,-200,-86,-92,-200,-74,-93,-95,-81,-200,-200,-67,-84,-200,-92,-79,-82,-91,-200,-88,-200,-200,-91,-200,-82,-200,-91,-61,-62,-57,-72,-76,-70,-83,-80,-85,-90,-90,-93,-91,-76,-81,-87,-83,-80,-200,-91,-200,-200,-200,-94,-98,-97,-94,-95,-85,-92,-200,-200,-200,-200,-200,-200
1526450543941,-45,-54,-59,-70,-40,-43,-56,-200,-67,-57,-83,-70,-64,-61,-78,-55,-200,-49,-63,-77,-62,-76,-61,-73,-61,-64,-200,-72,-200,-82,-58,-78,-70,-200,-83,-92,-69,-85,-88,-84,-200,-81,-200,-200,-95,-200,-75,-200,-200,-81,-200,-200,-72,-85,-200,-90,-79,-82,-92,-200,-88,-200,-200,-91,-200,-82,-200,-91,-63,-61,-61,-77,-76,-71,-78,-80,-85,-94,-91,-93,-93,-78,-80,-84,-83,-80,-200,-91,-200,-200,-200,-94,-97,-200,-94,-200,-85,-92,-200,-200,-200,-200,-200,-200
